node_from,node_to,weight
1213,1274,1
1213,1075,1
1213,1692,1
1274,97,1
1274,944,1
104,1518,1
104,76,1
104,1901,1
1518,180,1
1518,652,1
458,847,1
458,441,1
458,1552,1
847,1904,1
847,241,1
231,539,1
231,1457,1
231,372,1
539,290,1
539,600,1
401,987,1
401,551,1
401,688,1
987,1789,1
987,445,1
195,473,1
195,818,1
195,1181,1
473,1132,1
473,1165,1
1246,1716,1
1246,313,1
1246,705,1
1716,1896,1
1716,884,1
152,1594,1
152,922,1
152,493,1
1594,581,1
1594,443,1
477,1125,1
477,30,1
477,911,1
1125,89,1
1125,878,1
136,1735,1
136,1707,1
136,676,1
1735,311,1
1735,1889,1
254,1053,1
254,946,1
254,1337,1
1053,778,1
1053,1268,1
904,1952,1
904,126,1
904,1928,1
1952,322,1
1952,1344,1
147,432,1
147,1150,1
147,1777,1
432,1526,1
432,23,1
282,1151,1
282,1713,1
282,871,1
1151,529,1
1151,971,1
204,1726,1
204,716,1
204,1659,1
1726,1086,1
1726,1611,1
597,1837,1
597,822,1
597,626,1
1837,1277,1
1837,476,1
638,1838,1
638,1340,1
638,1794,1
1838,1454,1
1838,792,1
1702,1968,1
1702,186,1
1702,304,1
1968,1696,1
1968,18,1
29,333,1
29,1533,1
29,228,1
333,1872,1
333,1979,1
154,593,1
154,881,1
154,732,1
593,1448,1
593,648,1
909,1020,1
909,1339,1
909,663,1
1020,146,1
1020,554,1
367,1869,1
367,208,1
367,1853,1
1869,1705,1
1869,803,1
127,310,1
127,812,1
127,351,1
310,388,1
310,882,1
259,615,1
259,1243,1
259,1111,1
615,1806,1
615,1489,1
1404,1636,1
1404,1916,1
1404,1315,1
1636,339,1
1636,1852,1
162,1994,1
162,901,1
162,592,1
1994,1814,1
1994,803,1
1556,1999,1
1556,320,1
1556,759,1
1999,585,1
1999,1622,1
518,1629,1
518,1608,1
518,1913,1
1629,1764,1
1629,1583,1
804,823,1
804,1752,1
804,99,1
823,1488,1
823,1979,1
734,1024,1
734,1223,1
734,1802,1
1024,901,1
1024,410,1
741,883,1
741,1910,1
741,903,1
883,467,1
883,1969,1
1421,1545,1
1421,1054,1
1421,1588,1
1545,643,1
1545,880,1
707,1973,1
707,77,1
707,753,1
1973,263,1
1973,31,1
159,1696,1
159,346,1
159,999,1
1696,656,1
83,654,1
83,391,1
83,1652,1
654,1870,1
654,648,1
1061,1913,1
1061,875,1
1061,688,1
1913,669,1
17,71,1
17,1741,1
17,1868,1
71,506,1
71,1551,1
730,1813,1
730,1561,1
730,1746,1
1813,780,1
1813,67,1
533,890,1
533,1265,1
533,632,1
890,935,1
890,861,1
636,1540,1
636,1497,1
636,1985,1
1540,437,1
1540,1619,1
372,793,1
372,1257,1
793,416,1
793,620,1
1229,1905,1
1229,1243,1
1229,914,1
1905,1992,1
1905,1964,1
1613,1751,1
1613,1634,1
1613,424,1
1751,418,1
1751,520,1
515,1250,1
515,177,1
515,915,1
1250,1335,1
1250,50,1
301,998,1
301,251,1
301,1074,1
998,130,1
998,1035,1
1054,1644,1
1054,879,1
1644,1787,1
1644,1824,1
1310,1570,1
1310,524,1
1310,784,1
1570,718,1
1570,1207,1
1133,1937,1
1133,1300,1
1133,857,1
1937,497,1
1937,514,1
1197,1284,1
1197,986,1
1197,73,1
1284,439,1
1284,169,1
584,1057,1
584,318,1
584,625,1
1057,525,1
1057,379,1
873,931,1
873,607,1
873,785,1
931,1411,1
931,1791,1
510,1257,1
510,1425,1
510,1628,1
1257,565,1
872,1115,1
872,434,1
872,681,1
1115,1717,1
1115,1628,1
689,1488,1
689,1687,1
689,245,1
1488,606,1
4,1156,1
4,827,1
4,93,1
1156,1614,1
1156,1684,1
1332,1365,1
1332,489,1
1332,1171,1
1365,928,1
1365,567,1
1534,1988,1
1534,565,1
1534,771,1
1988,574,1
1988,1725,1
459,1291,1
459,735,1
459,916,1
1291,450,1
1291,1042,1
1083,1298,1
1083,375,1
1083,531,1
1298,1287,1
1298,1200,1
826,1493,1
826,1205,1
826,1088,1
1493,1349,1
1493,1393,1
1493,3127,1
1530,1609,1
1530,1481,1
1530,480,1
1609,1161,1
1609,1538,1
1292,1966,1
1292,966,1
1292,308,1
1966,1145,1
1966,1021,1
710,1547,1
710,381,1
710,1767,1
1547,81,1
1547,828,1
576,1467,1
576,1211,1
576,948,1
1467,146,1
1467,1360,1
799,1130,1
799,794,1
799,700,1
1130,1798,1
1130,1138,1
98,1577,1
98,803,1
98,1863,1
1577,481,1
1577,511,1
663,1206,1
663,604,1
1206,1867,1
1206,23,1
1263,1759,1
1263,409,1
1263,1965,1
1759,1539,1
1759,834,1
150,312,1
150,439,1
150,1190,1
312,732,1
312,858,1
1561,262,1
1561,745,1
395,1162,1
395,267,1
395,1483,1
1162,191,1
1162,1712,1
735,1496,1
735,1755,1
1496,387,1
1496,1275,1
444,1841,1
444,697,1
444,309,1
1841,472,1
1841,1639,1
936,1486,1
936,1693,1
936,1011,1
1486,1989,1
1486,74,1
771,924,1
771,1581,1
924,493,1
924,1585,1
643,1004,1
643,1650,1
1004,1526,1
1004,782,1
1040,1723,1
1040,427,1
1040,1883,1
1723,90,1
1723,466,1
463,1711,1
463,75,1
463,908,1
1711,414,1
1711,1075,1
1443,1582,1
1443,369,1
1443,445,1
1582,1073,1
1582,1972,1
386,1836,1
386,1610,1
386,811,1
1836,981,1
1836,445,1
1205,785,1
1205,119,1
248,1228,1
248,747,1
248,1942,1
1228,181,1
1228,430,1
1432,1689,1
1432,1046,1
1432,342,1
1689,1873,1
1689,863,1
1306,1842,1
1306,1139,1
1306,1595,1
1842,1663,1
1842,1945,1
891,1334,1
891,635,1
891,711,1
1334,151,1
1334,528,1
442,721,1
442,483,1
442,608,1
721,1862,1
721,1587,1
1134,1586,1
1134,579,1
1134,1815,1
1586,1858,1
1586,1840,1
1172,1878,1
1172,49,1
1172,1402,1
1878,1181,1
1878,1014,1
249,1458,1
249,144,1
249,430,1
1458,1453,1
1458,1148,1
1862,10,1
1862,546,1
128,1168,1
128,1491,1
128,1016,1
1168,281,1
1168,769,1
478,1317,1
478,645,1
478,59,1
1317,1752,1
1317,94,1
381,311,1
381,542,1
1756,1934,1
1756,1388,1
1756,1748,1
1934,1470,1
1934,1169,1
272,1972,1
272,1867,1
272,451,1
1972,453,1
668,889,1
668,661,1
668,1341,1
889,1771,1
889,1750,1
1485,1965,1
1485,1208,1
1485,814,1
1965,1095,1
1164,1879,1
1164,544,1
1164,137,1
1879,631,1
1879,346,1
1579,1829,1
1579,1668,1
1579,497,1
1829,1724,1
1829,297,1
489,810,1
489,1264,1
1300,1919,1
1300,1961,1
1919,746,1
1919,379,1
919,1819,1
919,1450,1
919,1463,1
1819,1149,1
1819,393,1
1670,1867,1
1670,846,1
1670,498,1
1752,1093,1
736,1697,1
736,1459,1
736,28,1
1697,171,1
1697,142,1
732,1224,1
1786,1898,1
1786,1744,1
1786,1207,1
1898,1375,1
1898,505,1
1521,1743,1
1521,1978,1
1521,362,1
1743,11,1
1743,806,1
802,1126,1
802,1943,1
802,1673,1
1126,942,1
1126,813,1
854,1136,1
854,1694,1
854,684,1
1136,1261,1
1136,404,1
1355,1567,1
1355,549,1
1355,1108,1
1567,1936,1
1567,978,1
51,1864,1
51,1349,1
51,0,1
1864,750,1
1864,1356,1
649,1441,1
649,219,1
649,1384,1
1441,1785,1
1441,905,1
716,1351,1
716,774,1
1351,166,1
1351,846,1
86,1184,1
86,662,1
86,1712,1
1184,1576,1
1184,1710,1
534,1231,1
534,1011,1
534,181,1
1231,932,1
1231,1272,1
601,992,1
601,1522,1
601,1056,1
992,1638,1
992,1634,1
669,1468,1
669,505,1
130,1550,1
130,786,1
1698,1942,1
1698,1219,1
1698,399,1
1942,990,1
145,223,1
145,1128,1
145,640,1
223,894,1
223,962,1
633,1438,1
633,1557,1
633,917,1
1438,1159,1
1438,612,1
415,1624,1
415,1078,1
415,1631,1
1624,794,1
1624,956,1
391,1038,1
391,1529,1
1038,1002,1
1038,77,1
96,1090,1
96,1423,1
96,487,1
1090,1971,1
1090,75,1
652,1079,1
652,1118,1
1079,1983,1
1079,1656,1
886,980,1
886,303,1
886,115,1
980,1002,1
980,1638,1
1587,1344,1
1587,1889,1
317,1354,1
317,1409,1
317,1775,1
1354,1460,1
1354,325,1
133,1911,1
133,1637,1
133,405,1
1911,587,1
1911,66,1
495,1769,1
495,167,1
495,706,1
1769,1405,1
1769,109,1
1910,639,1
1910,1196,1
452,1398,1
452,1974,1
452,1987,1
1398,1095,1
1398,805,1
1060,1812,1
1060,1177,1
1060,1500,1
1812,1392,1
1812,403,1
674,953,1
674,1535,1
674,1572,1
953,529,1
953,1573,1
918,1808,1
918,294,1
918,1564,1
1808,1415,1
1808,1174,1
1396,1581,1
1396,760,1
1396,527,1
1581,514,1
1858,283,1
1858,1086,1
326,1295,1
326,562,1
326,475,1
1295,1885,1
1295,13,1
364,467,1
364,882,1
364,1357,1
467,389,1
829,1241,1
829,1152,1
829,1804,1
1241,348,1
1241,1357,1
38,74,1
38,423,1
38,996,1
74,1420,1
448,875,1
448,1462,1
448,1969,1
875,316,1
1806,240,1
1806,1706,1
884,1851,1
884,910,1
1851,1877,1
1851,1848,1
1,335,1
1,1614,1
1,850,1
335,1251,1
335,1299,1
437,1077,1
437,825,1
801,999,1
801,397,1
801,1006,1
999,1055,1
862,1683,1
862,1012,1
862,1510,1
1683,331,1
1683,26,1
353,494,1
353,1333,1
353,1065,1
494,836,1
494,948,1
739,795,1
739,1736,1
739,1313,1
795,1144,1
795,1191,1
605,715,1
605,356,1
605,1546,1
715,1935,1
715,865,1
722,971,1
722,497,1
722,52,1
971,717,1
1454,1823,1
1454,1189,1
1823,396,1
1823,320,1
507,817,1
507,337,1
507,376,1
817,319,1
817,1220,1
10,1817,1
10,982,1
1817,1442,1
1817,675,1
586,1604,1
586,678,1
586,1618,1
1604,1459,1
1604,1230,1
69,1494,1
69,1749,1
69,1646,1
1494,1531,1
1494,675,1
388,1256,1
388,158,1
92,1069,1
92,292,1
92,1728,1
1069,650,1
1069,191,1
897,1762,1
897,1290,1
897,1757,1
1762,1648,1
1762,1859,1
394,1699,1
394,1899,1
394,915,1
1699,764,1
1699,613,1
869,1929,1
869,1477,1
869,1012,1
1929,183,1
1929,675,1
580,1826,1
580,1091,1
580,87,1
1826,1471,1
1826,587,1
882,140,1
791,1106,1
791,740,1
791,1455,1
1106,15,1
1106,1584,1
1245,1542,1
1245,1920,1
1245,1308,1
1542,1427,1
1542,560,1
196,1800,1
196,1384,1
196,1416,1
1800,538,1
1800,469,1
528,1141,1
528,1489,1
1141,1507,1
1141,105,1
168,1881,1
168,876,1
168,701,1
1881,1568,1
1881,1969,1
1539,359,1
1539,1722,1
760,1649,1
760,404,1
1649,659,1
1649,574,1
1450,1830,1
1450,299,1
1830,1387,1
1830,1927,1
75,361,1
1589,1845,1
1589,972,1
1589,1195,1
1845,1227,1
1845,1883,1
1414,1764,1
1414,1622,1
1414,1340,1
1764,696,1
1406,1760,1
1406,1118,1
1406,184,1
1760,815,1
1760,1975,1
48,1183,1
48,767,1
48,1957,1
1183,1182,1
1183,146,1
431,655,1
431,679,1
431,627,1
655,1372,1
655,101,1
678,968,1
678,1434,1
1137,1455,1
1137,667,1
1137,1616,1
1455,1419,1
290,536,1
290,1776,1
536,573,1
536,485,1
1002,454,1
1481,949,1
1481,504,1
1223,428,1
1223,827,1
85,548,1
85,1397,1
85,811,1
548,812,1
548,1532,1
220,1267,1
220,1544,1
220,1537,1
1267,1946,1
1267,244,1
392,705,1
392,1456,1
392,314,1
705,1157,1
1017,1431,1
1017,40,1
1017,1527,1
1431,1479,1
1431,925,1
468,960,1
468,1935,1
468,1597,1
960,1196,1
960,699,1
337,1672,1
337,1460,1
1672,1440,1
1672,670,1
1225,1954,1
1225,544,1
1225,509,1
1954,222,1
1954,1409,1
547,844,1
547,113,1
547,350,1
844,161,1
844,1603,1
506,482,1
506,1047,1
1178,1650,1
1178,1408,1
1178,1001,1
1650,1094,1
1050,1693,1
1050,32,1
1050,1056,1
1693,1435,1
794,1113,1
714,1515,1
714,562,1
714,1170,1
1515,1093,1
1515,1721,1
1375,912,1
1375,1408,1
1008,1318,1
1008,1220,1
1008,1379,1
1318,1715,1
1318,270,1
308,1730,1
308,1352,1
1730,970,1
1730,1018,1
163,180,1
163,727,1
163,1753,1
180,1402,1
79,1907,1
79,1657,1
79,927,1
1907,1676,1
1907,1986,1
114,696,1
114,84,1
114,148,1
696,881,1
1687,521,1
1687,524,1
429,1382,1
429,1987,1
429,246,1
1382,1731,1
1382,866,1
316,1096,1
316,512,1
1096,237,1
1096,315,1
1789,786,1
1789,250,1
894,1747,1
894,1986,1
1747,1601,1
1747,1459,1
846,447,1
264,1314,1
264,1391,1
264,1320,1
1314,1963,1
1314,106,1
1145,834,1
1145,197,1
738,1170,1
738,551,1
738,746,1
1170,979,1
1373,1452,1
1373,852,1
1373,1682,1
1452,1045,1
1452,1294,1
877,1514,1
877,293,1
877,1358,1
1514,45,1
1514,1541,1
1749,1369,1
1749,679,1
742,1469,1
742,1380,1
742,440,1
1469,60,1
1469,964,1
1673,1713,1
1673,1560,1
1713,1324,1
822,1950,1
822,134,1
1533,1412,1
1533,34,1
454,439,1
454,1980,1
1614,280,1
628,809,1
628,1734,1
628,1720,1
809,1927,1
809,173,1
1405,1669,1
1405,1218,1
1669,1052,1
1669,336,1
981,743,1
981,1062,1
275,1939,1
275,120,1
275,1073,1
1939,238,1
1939,1637,1
1961,1437,1
1961,1303,1
55,1032,1
55,433,1
55,1616,1
1032,932,1
1032,1005,1
132,349,1
132,471,1
132,1850,1
349,1598,1
349,1029,1
1535,763,1
1535,1457,1
200,224,1
200,954,1
200,1621,1
224,820,1
224,748,1
456,967,1
456,787,1
456,589,1
967,470,1
967,686,1
268,767,1
268,733,1
268,1051,1
767,1374,1
522,769,1
522,683,1
522,1537,1
769,157,1
3,878,1
3,1269,1
3,1843,1
878,532,1
1612,1940,1
1612,1655,1
1612,1591,1
1940,321,1
1940,262,1
1453,1044,1
1453,1847,1
1311,1603,1
1311,755,1
1311,604,1
1603,63,1
545,1426,1
545,1307,1
545,1938,1
1426,991,1
1426,1703,1
1189,1348,1
1189,559,1
1348,1464,1
1348,1418,1
1073,921,1
41,352,1
41,129,1
41,118,1
352,1425,1
352,370,1
509,1360,1
509,1508,1
509,2685,1
1360,1818,1
228,1081,1
228,1476,1
1081,1768,1
1081,578,1
111,267,1
111,623,1
111,639,1
267,952,1
813,1771,1
813,1903,1
1771,800,1
289,682,1
289,895,1
289,380,1
682,345,1
682,766,1
815,1286,1
815,1746,1
1286,893,1
1286,1066,1
1571,1678,1
1571,1877,1
1571,835,1
1678,667,1
1678,1362,1
376,1361,1
376,729,1
1361,1524,1
1361,997,1
52,446,1
52,1893,1
446,1447,1
446,1790,1
1578,1839,1
1578,651,1
1578,43,1
1839,1625,1
1839,896,1
472,660,1
472,996,1
660,1861,1
660,194,1
58,1200,1
58,102,1
58,328,1
1200,1487,1
30,952,1
30,1527,1
952,1472,1
807,1138,1
807,57,1
807,1774,1
1138,818,1
172,627,1
172,1766,1
172,1890,1
627,182,1
265,1758,1
265,72,1
265,796,1
1758,1367,1
1758,1792,1
73,1179,1
73,325,1
1179,1163,1
1179,845,1
1507,1635,1
1507,1754,1
1635,302,1
1635,1642,1
1526,251,1
294,1436,1
294,1918,1
1757,1926,1
1757,1109,1
1926,1325,1
1926,834,1
1335,1218,1
1335,1148,1
348,1792,1
348,569,1
1792,397,1
278,1468,1
278,274,1
278,350,1
1468,810,1
1109,1216,1
1109,211,1
1216,255,1
1216,599,1
157,1389,1
157,865,1
1511,1641,1
1511,1833,1
1511,1023,1
1641,95,1
1641,906,1
855,1336,1
855,1891,1
855,257,1
1336,1150,1
1336,556,1
591,1784,1
591,382,1
591,745,1
1784,1329,1
1784,186,1
1270,1435,1
1270,1301,1
1270,1886,1
1435,1510,1
887,1288,1
887,758,1
887,76,1
1288,1894,1
1288,1271,1
770,1377,1
770,1174,1
770,1429,1
1377,193,1
1377,360,1
387,1420,1
387,1691,1
1149,64,1
1149,499,1
1983,761,1
1983,656,1
624,914,1
624,320,1
624,974,1
914,1148,1
1987,1873,1
356,155,1
356,371,1
818,1948,1
1948,1645,1
1948,1221,1
1615,1734,1
1615,346,1
1615,334,1
1734,1694,1
1935,1645,1
194,1446,1
194,1553,1
1446,277,1
1446,1192,1
37,596,1
37,340,1
37,1602,1
596,1945,1
596,482,1
50,1847,1
50,930,1
1847,991,1
488,1255,1
488,341,1
488,1779,1
1255,354,1
1255,1787,1
798,923,1
798,7,1
798,1460,1
923,1411,1
923,1147,1
963,990,1
963,1874,1
963,1326,1
990,167,1
728,1236,1
728,543,1
728,14,1
1236,1278,1
1236,1370,1
40,341,1
40,212,1
341,1381,1
53,1592,1
53,1163,1
53,930,1
1592,324,1
1592,1102,1
303,1209,1
303,552,1
1209,1321,1
1209,1575,1
994,1917,1
994,215,1
994,1484,1
1917,644,1
1917,656,1
240,286,1
240,1009,1
286,1299,1
286,80,1
1666,1821,1
1666,1380,1
1666,1447,1
1821,1775,1
1821,647,1
1477,1731,1
1477,1280,1
49,1329,1
49,1715,1
1329,792,1
1409,324,1
374,860,1
374,33,1
374,84,1
860,1849,1
860,851,1
27,1719,1
27,1347,1
27,95,1
1719,1930,1
1719,363,1
61,1074,1
61,1321,1
61,1877,1
1074,1491,1
1052,1369,1
1052,1247,1
1369,1085,1
422,1202,1
422,208,1
422,1407,1
1202,1104,1
1202,420,1
1512,1848,1
1512,796,1
1512,1349,1
1848,1732,1
780,578,1
780,961,1
1010,1601,1
1010,1006,1
1010,108,1
1601,1297,1
45,1215,1
45,947,1
1215,484,1
1215,135,1
129,1623,1
129,238,1
