,nodeID_from,nodeID_to,mode,line,year
0,0,1,heavy_rail,Metro - M54,1980
1,0,7,heavy_rail,Metro - M54,1980
2,1,11,heavy_rail,Metro - M54,1980
3,2,12,heavy_rail,Metro - M54,1977
4,2,10,heavy_rail,Metro - M54,1977
5,3,14,heavy_rail,Metro - M54,1982
6,3,4,heavy_rail,Metro - M54,1982
7,5,10,heavy_rail,Metro - M54,1977
8,5,6,heavy_rail,Metro - M54,1977
9,6,7,heavy_rail,Metro - M54,1977
10,8,12,heavy_rail,Metro - M54,1977
11,8,13,heavy_rail,Metro - M54,1977
12,9,13,heavy_rail,Metro - M54,1977
13,9,14,heavy_rail,Metro - M54,1982
14,15,16,heavy_rail,Metro - M53,1980
15,15,26,heavy_rail,Metro - M53,1980
16,16,28,heavy_rail,Metro - M53,1980
17,17,23,heavy_rail,Metro - M53,1977
18,18,27,heavy_rail,Metro - M53,1977
19,18,20,heavy_rail,Metro - M53,1977
20,19,22,heavy_rail,Metro - M53,1977
21,19,21,heavy_rail,Metro - M53,1977
22,20,21,heavy_rail,Metro - M53,1977
23,22,23,heavy_rail,Metro - M53,1977
24,24,27,heavy_rail,Metro - M53,1977
25,24,25,heavy_rail,Metro - M53,1977
26,25,26,heavy_rail,Metro - M53,1977
27,21,22,heavy_rail,Metro - M53,1977
28,29,31,heavy_rail,Metro - M52,2018
29,29,30,heavy_rail,Metro - M52,2018
30,30,34,heavy_rail,Metro - M52,2018
31,31,35,heavy_rail,Metro - M52,2018
32,32,36,heavy_rail,Metro - M52,2018
33,33,35,heavy_rail,Metro - M52,2018
34,36,33,heavy_rail,Metro - M52,2018
35,37,52,heavy_rail,Metro - M51,1997
36,37,38,heavy_rail,Metro - M51,1997
37,38,41,heavy_rail,Metro - M51,1997
38,39,55,heavy_rail,Metro - M51,1997
39,39,50,heavy_rail,Metro - M51,1997
40,40,54,heavy_rail,Metro - M51,1997
41,40,53,heavy_rail,Metro - M51,1997
42,41,54,heavy_rail,Metro - M51,1997
43,42,43,heavy_rail,Metro - M51,1980
44,42,46,heavy_rail,Metro - M51,1980
45,43,48,heavy_rail,Metro - M51,1980
46,44,47,heavy_rail,Metro - M51,1990
47,44,45,heavy_rail,Metro - M51,1977
48,45,46,heavy_rail,Metro - M51,1977
49,47,49,heavy_rail,Metro - M51,1990
50,51,52,heavy_rail,Metro - M51,1990
51,51,45,heavy_rail,Metro - M51,1990
52,53,55,heavy_rail,Metro - M51,1997
53,56,72,heavy_rail,Metro - M50,1997
54,56,57,heavy_rail,Metro - M50,1997
55,57,60,heavy_rail,Metro - M50,1997
56,58,75,heavy_rail,Metro - M50,1997
57,58,70,heavy_rail,Metro - M50,1997
58,59,74,heavy_rail,Metro - M50,1997
59,59,73,heavy_rail,Metro - M50,1997
60,60,74,heavy_rail,Metro - M50,1997
61,61,66,heavy_rail,Metro - M50,1977
62,61,69,heavy_rail,Metro - M50,1990
63,62,68,heavy_rail,Metro - M50,1982
64,62,63,heavy_rail,Metro - M50,1982
65,64,66,heavy_rail,Metro - M50,1977
66,64,67,heavy_rail,Metro - M50,1977
67,65,67,heavy_rail,Metro - M50,1977
68,65,68,heavy_rail,Metro - M50,1982
69,71,72,heavy_rail,Metro - M50,1990
70,71,69,heavy_rail,Metro - M50,1990
71,73,75,heavy_rail,Metro - M50,1997
