nodeID_from,nodeID_to,mode,line,year
0,1,light_rail,Tramway - A,2011
0,6,light_rail,Tramway - A,2011
2,8,light_rail,Tramway - A,2011
3,4,light_rail,Tramway - A,2011
3,5,light_rail,Tramway - A,2011
5,7,light_rail,Tramway - A,2011
6,7,light_rail,Tramway - A,2011
8,9,light_rail,Tramway - A,2011
9,10,light_rail,Tramway - A,2011
11,12,light_rail,Tramway - A,2011
11,10,light_rail,Tramway - A,2011
13,14,light_rail,Tramway - A,2011
14,15,light_rail,Tramway - A,2011
15,18,light_rail,Tramway - A,2011
16,19,light_rail,Tramway - A,2011
16,20,light_rail,Tramway - A,2011
17,20,light_rail,Tramway - A,2011
21,22,light_rail,Tramway - A,2011
21,42,light_rail,Tramway - A,2011
23,24,light_rail,Tramway - A,2011
24,28,light_rail,Tramway - A,2011
25,26,light_rail,Tramway - A,2011
26,34,light_rail,Tramway - A,2011
27,49,light_rail,Tramway - A,2022
27,36,light_rail,Tramway - A,2022
28,29,light_rail,Tramway - A,2011
28,32,light_rail,Tramway - A,2011
30,43,light_rail,Tramway - A,2011
30,22,light_rail,Tramway - A,2011
31,32,light_rail,Tramway - A,2011
33,35,light_rail,Tramway - A,2011
33,39,light_rail,Tramway - A,2011
34,36,light_rail,Tramway - A,2011
35,34,light_rail,Tramway - A,2011
37,39,light_rail,Tramway - A,2011
38,48,light_rail,Tramway - A,2011
38,40,light_rail,Tramway - A,2011
41,46,light_rail,Tramway - A,2011
41,42,light_rail,Tramway - A,2011
44,45,light_rail,Tramway - A,2011
45,25,light_rail,Tramway - A,2011
47,40,light_rail,Tramway - A,2011
47,30,light_rail,Tramway - A,2011
49,32,light_rail,Tramway - A,2022
1,23,light_rail,Tramway - A,2011
31,45,light_rail,Tramway - A,2011
39,46,light_rail,Tramway - A,2011
50,63,light_rail,Tramway - B,2022
50,51,light_rail,Tramway - B,2022
51,52,light_rail,Tramway - B,2022
52,64,light_rail,Tramway - B,2022
53,54,light_rail,Tramway - B,2022
53,66,light_rail,Tramway - B,2022
54,55,light_rail,Tramway - B,2022
55,56,light_rail,Tramway - B,2022
56,67,light_rail,Tramway - B,2022
57,58,light_rail,Tramway - B,2022
57,67,light_rail,Tramway - B,2022
59,61,light_rail,Tramway - B,2022
59,60,light_rail,Tramway - B,2022
61,62,light_rail,Tramway - B,2022
62,63,light_rail,Tramway - B,2022
64,65,light_rail,Tramway - B,2022
65,66,light_rail,Tramway - B,2022
51,63,light_rail,Tramway - B,2022
68,75,light_rail,Tramway - C,2022
68,69,light_rail,Tramway - C,2022
69,70,light_rail,Tramway - C,2022
70,76,light_rail,Tramway - C,2022
71,73,light_rail,Tramway - C,2022
71,72,light_rail,Tramway - C,2022
73,74,light_rail,Tramway - C,2022
74,75,light_rail,Tramway - C,2022
69,75,light_rail,Tramway - C,2022
