nodeID_from,nodeID_to,mode,line,year
0,26,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
0,1,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
1,2,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
2,3,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
3,27,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
4,28,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
4,5,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
5,6,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
6,29,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
7,8,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
7,32,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
8,9,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
9,10,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
10,11,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
11,20,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
12,33,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
12,20,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
13,21,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
13,15,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
14,15,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
16,22,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
17,18,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
17,16,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
18,19,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
19,24,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
21,23,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
22,23,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
24,25,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
25,26,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
27,28,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
29,30,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
30,31,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
31,32,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
33,34,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
34,35,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
35,36,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2007
13,1,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
32,33,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 5,2004
37,62,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 4,2004
37,38,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 4,2004
38,39,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 4,2004
39,40,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 4,2004
40,63,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 4,2004
41,42,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 4,2004
42,50,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 4,2004
43,57,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 4,2004
43,45,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 4,2004
44,45,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 4,2004
46,58,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 4,2004
47,48,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 4,2004
47,46,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 4,2004
48,49,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 4,2004
49,60,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 4,2004
50,51,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 4,2004
51,52,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 4,2004
52,53,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 4,2004
53,54,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 4,2004
54,55,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 4,2004
55,56,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 4,2004
56,63,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 4,2004
57,59,light_rail,Σύγχρονο Τραμ / Modern Tram - Γραμμή 4,2004
