,nodeID_from,nodeID_to,mode,line,year
0,0,11,tram,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Atlanta Streetcar,2014
1,1,10,tram,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Atlanta Streetcar,2014
2,1,11,tram,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Atlanta Streetcar,2014
3,2,10,tram,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Atlanta Streetcar,2014
4,2,9,tram,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Atlanta Streetcar,2014
5,3,8,tram,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Atlanta Streetcar,2014
6,3,4,tram,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Atlanta Streetcar,2014
7,4,5,tram,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Atlanta Streetcar,2014
8,5,7,tram,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Atlanta Streetcar,2014
9,6,7,tram,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Atlanta Streetcar,2014
10,8,9,tram,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Atlanta Streetcar,2014
11,12,13,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Blue Line,1979
12,12,25,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Blue Line,1993
13,13,14,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Blue Line,1979
14,14,18,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Blue Line,1979
15,15,26,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Blue Line,1979
16,15,16,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Blue Line,1979
17,17,18,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Blue Line,1979
18,17,16,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Blue Line,1979
19,19,20,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Blue Line,1979
20,19,21,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Blue Line,1979
21,21,22,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Blue Line,1979
22,22,23,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Blue Line,1979
23,23,26,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Blue Line,1979
24,24,25,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Blue Line,1993
25,27,35,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Green Line,1979
26,27,28,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Green Line,1979
27,29,30,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Green Line,1979
28,29,28,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Green Line,1979
29,31,32,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Green Line,1979
30,31,34,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Green Line,1992
31,32,33,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Green Line,1979
32,33,35,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Green Line,1979
33,36,37,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Gold Line,1981
34,37,38,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Gold Line,1981
35,38,39,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Gold Line,1981
36,39,40,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Gold Line,1981
37,40,41,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Gold Line,1982
38,41,42,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Gold Line,1982
39,43,45,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Gold Line,1984
40,43,36,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Gold Line,1984
41,44,45,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Gold Line,1984
42,44,47,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Gold Line,1986
43,46,51,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Gold Line,1984
44,46,42,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Gold Line,1984
45,47,49,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Gold Line,1988
46,48,49,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Gold Line,1988
47,50,51,heavy_rail,Metropolitan Atlanta Rapid Transit Authority (MARTA) - Gold Line,1984
