nodeID_from,nodeID_to,mode,line,year
0,2,commuter_rail,Rodalies - R4,1992
1,2,commuter_rail,Rodalies - R4,1926
3,11,commuter_rail,Rodalies - R4,1886
3,4,commuter_rail,Rodalies - R4,1886
5,4,commuter_rail,Rodalies - R4,1855
5,6,commuter_rail,Rodalies - R4,1855
6,7,commuter_rail,Rodalies - R4,1855
7,8,commuter_rail,Rodalies - R4,1856
9,10,commuter_rail,Rodalies - R4,1854
10,0,commuter_rail,Rodalies - R4,1992
3,1,commuter_rail,Rodalies - R4,1926
12,13,commuter_rail,Rodalies - R8,1854
13,14,commuter_rail,Rodalies - R8,1958
17,19,commuter_rail,Rodalies - R12,1992
18,19,commuter_rail,Rodalies - R12,1926
20,26,commuter_rail,Rodalies - R12,1886
20,21,commuter_rail,Rodalies - R12,1886
22,21,commuter_rail,Rodalies - R12,1855
22,23,commuter_rail,Rodalies - R12,1855
23,24,commuter_rail,Rodalies - R12,1855
24,25,commuter_rail,Rodalies - R12,1856
20,18,commuter_rail,Rodalies - R12,1926
38,39,inter_city_rail,Rodalies - R2 Sud,1881
40,42,inter_city_rail,Rodalies - R3,1992
41,42,inter_city_rail,Rodalies - R3,1926
43,49,inter_city_rail,Rodalies - R3,1886
43,53,inter_city_rail,Rodalies - R3,1886
44,53,inter_city_rail,Rodalies - R3,1886
44,54,inter_city_rail,Rodalies - R3,1886
45,46,inter_city_rail,Rodalies - R3,1875
46,47,inter_city_rail,Rodalies - R3,1875
47,55,inter_city_rail,Rodalies - R3,1875
48,50,inter_city_rail,Rodalies - R3,1875
48,55,inter_city_rail,Rodalies - R3,1875
50,51,inter_city_rail,Rodalies - R3,1875
52,51,inter_city_rail,Rodalies - R3,1875
45,54,inter_city_rail,Rodalies - R3,1886
49,41,inter_city_rail,Rodalies - R3,1926
56,59,inter_city_rail,Rodalies - R7,1886
56,57,inter_city_rail,Rodalies - R7,1886
58,57,inter_city_rail,Rodalies - R7,1855
66,67,inter_city_rail,FGC - S1,1917
67,68,inter_city_rail,FGC - S1,1917
69,70,inter_city_rail,FGC - S2,1917
69,71,inter_city_rail,FGC - S2,1922
72,71,inter_city_rail,FGC - S2,1925
73,70,inter_city_rail,FGC - S2,1917
74,75,inter_city_rail,Rodalies - R1,1861
75,76,inter_city_rail,Rodalies - R1,1861
76,84,inter_city_rail,Rodalies - R1,1861
77,92,inter_city_rail,Rodalies - R1,1861
77,86,inter_city_rail,Rodalies - R1,1861
78,82,inter_city_rail,Rodalies - R1,1848
78,88,inter_city_rail,Rodalies - R1,1848
79,81,inter_city_rail,Rodalies - R1,1992
80,81,inter_city_rail,Rodalies - R1,1926
80,95,inter_city_rail,Rodalies - R1,1992
82,83,inter_city_rail,Rodalies - R1,1848
83,95,inter_city_rail,Rodalies - R1,1992
84,85,inter_city_rail,Rodalies - R1,1861
85,86,inter_city_rail,Rodalies - R1,1861
87,94,inter_city_rail,Rodalies - R1,1861
87,88,inter_city_rail,Rodalies - R1,1848
89,74,inter_city_rail,Rodalies - R1,1861
90,91,inter_city_rail,Rodalies - R1,1854
91,79,inter_city_rail,Rodalies - R1,1992
92,93,inter_city_rail,Rodalies - R1,1861
93,94,inter_city_rail,Rodalies - R1,1861
86,92,inter_city_rail,Rodalies - R1,1861
96,102,inter_city_rail,Rodalies - R2,1881
97,99,inter_city_rail,Rodalies - R2,1854
97,98,inter_city_rail,Rodalies - R2,1854
99,100,inter_city_rail,Rodalies - R2,1854
101,98,inter_city_rail,Rodalies - R2,1958
102,100,inter_city_rail,Rodalies - R2,1854
