,nodeID_from,nodeID_to,mode,line,year
0,0,12,default,Transmilenio - Troncal A - Caracas,2000
1,1,13,default,Transmilenio - Troncal A - Caracas,2000
2,1,7,default,Transmilenio - Troncal A - Caracas,2000
3,2,8,default,Transmilenio - Troncal A - Caracas,2000
4,2,7,default,Transmilenio - Troncal A - Caracas,2000
5,3,9,default,Transmilenio - Troncal A - Caracas,2000
6,3,8,default,Transmilenio - Troncal A - Caracas,2000
7,4,9,default,Transmilenio - Troncal A - Caracas,2000
8,4,10,default,Transmilenio - Troncal A - Caracas,2000
9,5,10,default,Transmilenio - Troncal A - Caracas,2000
10,5,11,default,Transmilenio - Troncal A - Caracas,2000
11,6,13,default,Transmilenio - Troncal A - Caracas,2000
12,6,12,default,Transmilenio - Troncal A - Caracas,2000
13,10,6,default,Transmilenio - Troncal A - Caracas,2000
14,14,19,default,Transmilenio - Troncal B - Norte,2001
15,14,18,default,Transmilenio - Troncal B - Norte,2001
16,15,19,default,Transmilenio - Troncal B - Norte,2001
17,15,22,default,Transmilenio - Troncal B - Norte,2001
18,16,23,default,Transmilenio - Troncal B - Norte,2001
19,16,22,default,Transmilenio - Troncal B - Norte,2001
20,17,21,default,Transmilenio - Troncal B - Norte,2001
21,17,20,default,Transmilenio - Troncal B - Norte,2001
22,18,21,default,Transmilenio - Troncal B - Norte,2001
23,23,27,default,Transmilenio - Troncal B - Norte,2001
24,24,27,default,Transmilenio - Troncal B - Norte,2001
25,24,28,default,Transmilenio - Troncal B - Norte,2001
26,25,28,default,Transmilenio - Troncal B - Norte,2001
27,25,29,default,Transmilenio - Troncal B - Norte,2001
28,26,30,default,Transmilenio - Troncal B - Norte,2012
29,26,29,default,Transmilenio - Troncal B - Norte,2012
30,28,18,default,Transmilenio - Troncal B - Norte,2001
31,31,32,default,Tren de la Sabana - Tren Turístico (Del Norte),1894
32,33,35,default,TransmiCable - Ciudad Bolivar,2018
33,34,36,default,TransmiCable - Ciudad Bolivar,2018
34,35,36,default,TransmiCable - Ciudad Bolivar,2018
