nodeID_from,nodeID_to,mode,line,year
0,4,default,Tramway de Bordeaux - A,2007
0,3,default,Tramway de Bordeaux - A,2007
1,22,default,Tramway de Bordeaux - A,2007
1,8,default,Tramway de Bordeaux - A,2007
2,20,default,Tramway de Bordeaux - A,2007
3,30,default,Tramway de Bordeaux - A,2007
5,23,default,Tramway de Bordeaux - A,2007
6,9,default,Tramway de Bordeaux - A,2007
7,25,default,Tramway de Bordeaux - A,2007
8,17,default,Tramway de Bordeaux - A,2007
9,17,default,Tramway de Bordeaux - A,2007
10,16,default,Tramway de Bordeaux - A,2007
10,6,default,Tramway de Bordeaux - A,2007
11,14,default,Tramway de Bordeaux - A,2008
12,13,default,Tramway de Bordeaux - A,2003
12,18,default,Tramway de Bordeaux - A,2003
14,40,default,Tramway de Bordeaux - A,2008
15,18,default,Tramway de Bordeaux - A,2003
19,28,default,Tramway de Bordeaux - A,2008
19,13,default,Tramway de Bordeaux - A,2008
20,21,default,Tramway de Bordeaux - A,2007
21,33,default,Tramway de Bordeaux - A,2007
23,25,default,Tramway de Bordeaux - A,2007
24,42,default,Tramway de Bordeaux - A,2003
24,32,default,Tramway de Bordeaux - A,2003
26,48,default,Tramway de Bordeaux - A,2003
27,41,default,Tramway de Bordeaux - A,2003
29,40,default,Tramway de Bordeaux - A,2008
30,45,default,Tramway de Bordeaux - A,2003
30,42,default,Tramway de Bordeaux - A,2003
31,60,default,Tramway de Bordeaux - A,2003
31,41,default,Tramway de Bordeaux - A,2003
32,43,default,Tramway de Bordeaux - A,2003
33,5,default,Tramway de Bordeaux - A,2007
34,44,default,Tramway de Bordeaux - A,2003
34,46,default,Tramway de Bordeaux - A,2003
35,50,default,Tramway de Bordeaux - A,2003
35,51,default,Tramway de Bordeaux - A,2003
36,47,default,Tramway de Bordeaux - A,2003
37,49,default,Tramway de Bordeaux - A,2003
37,26,default,Tramway de Bordeaux - A,2003
38,46,default,Tramway de Bordeaux - A,2003
39,51,default,Tramway de Bordeaux - A,2003
39,44,default,Tramway de Bordeaux - A,2003
41,15,default,Tramway de Bordeaux - A,2003
47,48,default,Tramway de Bordeaux - A,2003
52,63,default,Tramway de Bordeaux - A,2003
52,53,default,Tramway de Bordeaux - A,2003
53,62,default,Tramway de Bordeaux - A,2003
54,70,default,Tramway de Bordeaux - A,2005
55,64,default,Tramway de Bordeaux - A,2003
55,65,default,Tramway de Bordeaux - A,2003
56,65,default,Tramway de Bordeaux - A,2003
57,67,default,Tramway de Bordeaux - A,2003
