nodeID_from,nodeID_to,mode,line,year
0,2,default,Tramway - A,2012
0,17,default,Tramway - A,2012
1,5,default,Tramway - A,2012
3,4,default,Tramway - A,2012
3,7,default,Tramway - A,2012
5,10,default,Tramway - A,2012
6,7,default,Tramway - A,2012
6,22,default,Tramway - A,2012
8,10,default,Tramway - A,2012
8,12,default,Tramway - A,2012
9,22,default,Tramway - A,2012
11,16,default,Tramway - A,2012
12,13,default,Tramway - A,2012
14,15,default,Tramway - A,2012
15,21,default,Tramway - A,2012
16,22,default,Tramway - A,2012
17,21,default,Tramway - A,2012
18,23,default,Tramway - A,2012
18,11,default,Tramway - A,2012
19,20,default,Tramway - A,2012
20,27,default,Tramway - A,2012
24,39,default,Tramway - A,2012
24,52,default,Tramway - A,2012
25,52,default,Tramway - A,2012
26,53,default,Tramway - A,2012
26,25,default,Tramway - A,2012
27,28,default,Tramway - A,2012
28,37,default,Tramway - A,2012
29,31,default,Tramway - A,2012
29,32,default,Tramway - A,2012
30,33,default,Tramway - A,2012
30,49,default,Tramway - A,2012
32,35,default,Tramway - A,2012
34,36,default,Tramway - A,2012
36,37,default,Tramway - A,2012
37,51,default,Tramway - A,2012
38,49,default,Tramway - A,2012
38,44,default,Tramway - A,2012
40,41,default,Tramway - A,2012
41,43,default,Tramway - A,2012
42,44,default,Tramway - A,2012
43,45,default,Tramway - A,2012
44,46,default,Tramway - A,2012
46,47,default,Tramway - A,2012
48,50,default,Tramway - A,2012
48,47,default,Tramway - A,2012
33,23,default,Tramway - A,2012
36,50,default,Tramway - A,2012
13,9,default,Tramway - A,2012
34,24,default,Tramway - A,2012
54,55,default,Téléphérique - C,2016
