nodeID_from,nodeID_to,mode,line,year
5,6,heavy_rail,Subte - D,1997
7,10,heavy_rail,Subte - H,999999
8,12,heavy_rail,Subte - H,2018
9,10,heavy_rail,Subte - H,2007
9,11,heavy_rail,Subte - H,2007
11,12,heavy_rail,Subte - H,2018
13,15,heavy_rail,Subte - E,2019
14,13,heavy_rail,Subte - E,2019
15,16,heavy_rail,Subte - E,2019
17,19,tram,Subte - Premetro,1987
17,18,tram,Subte - Premetro,1987
19,27,tram,Subte - Premetro,1987
20,32,tram,Subte - Premetro,1987
21,22,tram,Subte - Premetro,1987
21,28,tram,Subte - Premetro,1987
22,29,tram,Subte - Premetro,1987
23,25,tram,Subte - Premetro,1987
23,29,tram,Subte - Premetro,1987
24,31,tram,Subte - Premetro,1987
24,30,tram,Subte - Premetro,1987
26,30,tram,Subte - Premetro,1987
26,23,tram,Subte - Premetro,1987
27,20,tram,Subte - Premetro,1987
28,34,tram,Subte - Premetro,1987
32,33,tram,Subte - Premetro,1987
33,35,tram,Subte - Premetro,1987
34,35,tram,Subte - Premetro,1987
20,23,tram,Subte - Premetro,1987
36,37,brt,Metrobus - Ruta 8,2017
37,38,brt,Metrobus - Ruta 8,2017
38,39,brt,Metrobus - Ruta 8,2017
39,41,brt,Metrobus - Ruta 8,2017
40,42,brt,Metrobus - Ruta 8,2017
40,43,brt,Metrobus - Ruta 8,2019
41,42,brt,Metrobus - Ruta 8,2017
43,44,brt,Metrobus - Ruta 8,2019
44,45,brt,Metrobus - Ruta 8,2019
45,46,brt,Metrobus - Ruta 8,2019
46,47,brt,Metrobus - Ruta 8,2019
47,48,brt,Metrobus - Ruta 8,2019
48,49,brt,Metrobus - Ruta 8,2019
49,50,brt,Metrobus - Ruta 8,2019
50,51,brt,Metrobus - Ruta 8,2019
52,54,brt,Metrobus - Ruta 8,2019
52,53,brt,Metrobus - Ruta 8,2019
54,51,brt,Metrobus - Ruta 8,2019
55,56,brt,Metrobus - Oeste,2018
56,57,brt,Metrobus - Oeste,2018
57,58,brt,Metrobus - Oeste,2018
58,61,brt,Metrobus - Oeste,2018
59,60,brt,Metrobus - Oeste,2018
59,61,brt,Metrobus - Oeste,2018
62,74,brt,Metrobus - Norte,2016
63,72,brt,Metrobus - Norte,2016
63,64,brt,Metrobus - Norte,2016
65,68,brt,Metrobus - Norte,2016
65,90,brt,Metrobus - Norte,2016
66,67,brt,Metrobus - Norte,2016
67,69,brt,Metrobus - Norte,2016
68,73,brt,Metrobus - Norte,2016
69,70,brt,Metrobus - Norte,2016
71,94,brt,Metrobus - Norte,2016
71,75,brt,Metrobus - Norte,2016
72,70,brt,Metrobus - Norte,2016
73,91,brt,Metrobus - Norte,2016
74,76,brt,Metrobus - Norte,2016
75,80,brt,Metrobus - Norte,2016
76,77,brt,Metrobus - Norte,2016
77,79,brt,Metrobus - Norte,2016
78,98,brt,Metrobus - Norte,2015
78,99,brt,Metrobus - Norte,2015
79,81,brt,Metrobus - Norte,2016
80,84,brt,Metrobus - Norte,2016
81,82,brt,Metrobus - Norte,2016
82,83,brt,Metrobus - Norte,2016
84,88,brt,Metrobus - Norte,2015
85,86,brt,Metrobus - Norte,2016
85,83,brt,Metrobus - Norte,2016
86,87,brt,Metrobus - Norte,2016
88,92,brt,Metrobus - Norte,2015
89,90,brt,Metrobus - Norte,2016
89,87,brt,Metrobus - Norte,2016
91,93,brt,Metrobus - Norte,2016
92,95,brt,Metrobus - Norte,2015
93,94,brt,Metrobus - Norte,2016
95,96,brt,Metrobus - Norte,2015
96,97,brt,Metrobus - Norte,2015
97,98,brt,Metrobus - Norte,2015
99,100,brt,Metrobus - Norte,2015
100,101,brt,Metrobus - Norte,2015
101,102,brt,Metrobus - Norte,2015
102,103,brt,Metrobus - Norte,2015
103,104,brt,Metrobus - Norte,2015
104,106,brt,Metrobus - Norte,2015
105,121,brt,Metrobus - Norte,2015
105,109,brt,Metrobus - Norte,2015
106,107,brt,Metrobus - Norte,2015
107,108,brt,Metrobus - Norte,2015
108,110,brt,Metrobus - Norte,2015
109,122,brt,Metrobus - Norte,2015
111,110,brt,Metrobus - Norte,2015
111,112,brt,Metrobus - Norte,2015
112,113,brt,Metrobus - Norte,2015
113,114,brt,Metrobus - Norte,2015
114,115,brt,Metrobus - Norte,2015
115,116,brt,Metrobus - Norte,2015
116,117,brt,Metrobus - Norte,2015
117,118,brt,Metrobus - Norte,2015
118,119,brt,Metrobus - Norte,2015
119,120,brt,Metrobus - Norte,2015
120,121,brt,Metrobus - Norte,2015
122,123,brt,Metrobus - Norte,2015
123,124,brt,Metrobus - Norte,2015
124,125,brt,Metrobus - Norte,2015
125,126,brt,Metrobus - Norte,2015
126,127,brt,Metrobus - Norte,2015
98,125,brt,Metrobus - Norte,2015
71,72,brt,Metrobus - Norte,2016
128,129,brt,Metrobus - La Matanza,2017
128,144,brt,Metrobus - La Matanza,2017
129,130,brt,Metrobus - La Matanza,2017
130,131,brt,Metrobus - La Matanza,2017
132,133,brt,Metrobus - La Matanza,2017
133,134,brt,Metrobus - La Matanza,2017
134,135,brt,Metrobus - La Matanza,2017
135,136,brt,Metrobus - La Matanza,2017
136,137,brt,Metrobus - La Matanza,2017
138,139,brt,Metrobus - La Matanza,2017
139,141,brt,Metrobus - La Matanza,2017
140,142,brt,Metrobus - La Matanza,2017
140,141,brt,Metrobus - La Matanza,2017
142,143,brt,Metrobus - La Matanza,2017
143,144,brt,Metrobus - La Matanza,2017
140,135,brt,Metrobus - La Matanza,2017
145,146,brt,Metrobus - Juan B. Justo,2011
145,147,brt,Metrobus - Juan B. Justo,2011
147,165,brt,Metrobus - Juan B. Justo,2019
148,165,brt,Metrobus - Juan B. Justo,2019
148,149,brt,Metrobus - Juan B. Justo,2011
149,150,brt,Metrobus - Juan B. Justo,2011
150,151,brt,Metrobus - Juan B. Justo,2011
151,152,brt,Metrobus - Juan B. Justo,2011
152,153,brt,Metrobus - Juan B. Justo,2011
153,154,brt,Metrobus - Juan B. Justo,2011
154,155,brt,Metrobus - Juan B. Justo,2011
155,156,brt,Metrobus - Juan B. Justo,2011
156,157,brt,Metrobus - Juan B. Justo,2011
157,158,brt,Metrobus - Juan B. Justo,2011
158,159,brt,Metrobus - Juan B. Justo,2011
159,160,brt,Metrobus - Juan B. Justo,2011
160,161,brt,Metrobus - Juan B. Justo,2011
161,162,brt,Metrobus - Juan B. Justo,2011
162,163,brt,Metrobus - Juan B. Justo,2011
164,163,brt,Metrobus - Juan B. Justo,2011
166,173,brt,Metrobus - del Bajo,2017
166,167,brt,Metrobus - del Bajo,2017
167,169,brt,Metrobus - del Bajo,2017
168,180,brt,Metrobus - del Bajo,2017
169,170,brt,Metrobus - del Bajo,2017
170,174,brt,Metrobus - del Bajo,2017
171,172,brt,Metrobus - del Bajo,2017
172,181,brt,Metrobus - del Bajo,2017
174,175,brt,Metrobus - del Bajo,2017
175,176,brt,Metrobus - del Bajo,2017
176,177,brt,Metrobus - del Bajo,2017
177,178,brt,Metrobus - del Bajo,2017
179,180,brt,Metrobus - del Bajo,2017
179,178,brt,Metrobus - del Bajo,2017
168,171,brt,Metrobus - del Bajo,2017
182,184,brt,Metrobus - Sur,2013
182,185,brt,Metrobus - Sur,2013
183,184,brt,Metrobus - Sur,2013
185,186,brt,Metrobus - Sur,2013
187,188,brt,Metrobus - Sur,2013
188,186,brt,Metrobus - Sur,2013
189,190,brt,Metrobus - Sur,2013
190,191,brt,Metrobus - Sur,2013
191,192,brt,Metrobus - Sur,2013
191,193,brt,Metrobus - Sur,2013
194,196,brt,Metrobus - Sur,2013
194,193,brt,Metrobus - Sur,2013
195,219,brt,Metrobus - Sur,2013
196,197,brt,Metrobus - Sur,2013
197,232,brt,Metrobus - Sur,2013
198,221,brt,Metrobus - Sur,2013
199,200,brt,Metrobus - Sur,2013
200,201,brt,Metrobus - Sur,2013
201,203,brt,Metrobus - Sur,2013
202,207,brt,Metrobus - Sur,2013
202,198,brt,Metrobus - Sur,2013
203,204,brt,Metrobus - Sur,2013
204,206,brt,Metrobus - Sur,2013
205,218,brt,Metrobus - Sur,2013
205,225,brt,Metrobus - Sur,2013
206,208,brt,Metrobus - Sur,2013
207,211,brt,Metrobus - Sur,2013
208,209,brt,Metrobus - Sur,2013
209,210,brt,Metrobus - Sur,2013
210,212,brt,Metrobus - Sur,2013
212,213,brt,Metrobus - Sur,2013
213,214,brt,Metrobus - Sur,2013
214,216,brt,Metrobus - Sur,2013
215,211,brt,Metrobus - Sur,2013
216,217,brt,Metrobus - Sur,2013
217,195,brt,Metrobus - Sur,2013
218,226,brt,Metrobus - Sur,2013
219,222,brt,Metrobus - Sur,2013
220,223,brt,Metrobus - Sur,2013
221,222,brt,Metrobus - Sur,2013
223,224,brt,Metrobus - Sur,2013
225,224,brt,Metrobus - Sur,2013
226,227,brt,Metrobus - Sur,2013
227,213,brt,Metrobus - Sur,2013
228,229,brt,Metrobus - Sur,2013
228,210,brt,Metrobus - Sur,2013
229,230,brt,Metrobus - Sur,2013
230,231,brt,Metrobus - Sur,2013
231,232,brt,Metrobus - Sur,2013
188,198,brt,Metrobus - Sur,2013
198,225,brt,Metrobus - Sur,2013
233,234,brt,Metrobus - San Martín,2016
234,235,brt,Metrobus - San Martín,2016
235,236,brt,Metrobus - San Martín,2016
236,237,brt,Metrobus - San Martín,2016
237,238,brt,Metrobus - San Martín,2016
238,239,brt,Metrobus - San Martín,2016
239,240,brt,Metrobus - San Martín,2016
240,241,brt,Metrobus - San Martín,2016
242,243,brt,Metrobus - San Martín,2016
242,241,brt,Metrobus - San Martín,2016
243,244,brt,Metrobus - San Martín,2016
245,250,brt,Metrobus - Calchaquí,2019
246,247,brt,Metrobus - Calchaquí,2019
247,248,brt,Metrobus - Calchaquí,2019
248,249,brt,Metrobus - Calchaquí,2019
250,251,brt,Metrobus - Calchaquí,2019
252,251,brt,Metrobus - Calchaquí,2019
252,253,brt,Metrobus - Calchaquí,2019
253,254,brt,Metrobus - Calchaquí,2019
254,255,brt,Metrobus - Calchaquí,2019
255,256,brt,Metrobus - Calchaquí,2019
256,257,brt,Metrobus - Calchaquí,2019
249,245,brt,Metrobus - Calchaquí,2019
258,259,brt,Metrobus - 9 de Julio,2013
258,268,brt,Metrobus - 9 de Julio,2013
259,269,brt,Metrobus - 9 de Julio,2013
260,264,brt,Metrobus - 9 de Julio,2013
260,263,brt,Metrobus - 9 de Julio,2013
261,262,brt,Metrobus - 9 de Julio,2013
262,263,brt,Metrobus - 9 de Julio,2013
264,265,brt,Metrobus - 9 de Julio,2013
266,267,brt,Metrobus - 9 de Julio,2013
267,268,brt,Metrobus - 9 de Julio,2013
269,270,brt,Metrobus - 9 de Julio,2013
270,271,brt,Metrobus - 9 de Julio,2013
271,272,brt,Metrobus - 9 de Julio,2013
272,273,brt,Metrobus - 9 de Julio,2013
273,274,brt,Metrobus - 9 de Julio,2013
263,272,brt,Metrobus - 9 de Julio,2013
275,276,light_rail,Trenes Metropolitanos - Tren Universitario,2013
276,277,light_rail,Trenes Metropolitanos - Tren Universitario,2013
277,278,light_rail,Trenes Metropolitanos - Tren Universitario,2013
278,279,light_rail,Trenes Metropolitanos - Tren Universitario,2013
279,280,light_rail,Trenes Metropolitanos - Tren Universitario,2013
280,281,light_rail,Trenes Metropolitanos - Tren Universitario,2013
