nodeID_from,nodeID_to,mode,line,year
0,38,heavy_rail,Busan Metro - Line 1,1987
0,34,heavy_rail,Busan Metro - Line 1,1985
1,34,heavy_rail,Busan Metro - Line 1,1985
1,28,heavy_rail,Busan Metro - Line 1,1985
2,33,heavy_rail,Busan Metro - Line 1,1985
2,3,heavy_rail,Busan Metro - Line 1,1985
3,29,heavy_rail,Busan Metro - Line 1,1985
4,31,heavy_rail,Busan Metro - Line 1,1985
4,5,heavy_rail,Busan Metro - Line 1,1985
5,32,heavy_rail,Busan Metro - Line 1,1985
6,7,heavy_rail,Busan Metro - Line 1,1985
6,32,heavy_rail,Busan Metro - Line 1,1985
7,8,heavy_rail,Busan Metro - Line 1,1986
9,39,heavy_rail,Busan Metro - Line 1,1988
9,10,heavy_rail,Busan Metro - Line 1,1990
10,11,heavy_rail,Busan Metro - Line 1,1990
12,21,heavy_rail,Busan Metro - Line 1,1994
12,14,heavy_rail,Busan Metro - Line 1,1994
13,23,heavy_rail,Busan Metro - Line 1,1994
13,11,heavy_rail,Busan Metro - Line 1,1994
14,15,heavy_rail,Busan Metro - Line 1,2017
15,16,heavy_rail,Busan Metro - Line 1,2017
15,21,heavy_rail,Busan Metro - Line 1,2017
16,17,heavy_rail,Busan Metro - Line 1,2017
17,18,heavy_rail,Busan Metro - Line 1,2017
18,19,heavy_rail,Busan Metro - Line 1,2017
19,20,heavy_rail,Busan Metro - Line 1,2017
21,22,heavy_rail,Busan Metro - Line 1,1994
22,23,heavy_rail,Busan Metro - Line 1,1994
24,27,heavy_rail,Busan Metro - Line 1,1987
24,26,heavy_rail,Busan Metro - Line 1,1987
25,26,heavy_rail,Busan Metro - Line 1,1987
25,36,heavy_rail,Busan Metro - Line 1,1987
27,38,heavy_rail,Busan Metro - Line 1,1987
28,33,heavy_rail,Busan Metro - Line 1,1985
29,30,heavy_rail,Busan Metro - Line 1,1985
30,35,heavy_rail,Busan Metro - Line 1,1985
31,35,heavy_rail,Busan Metro - Line 1,1985
36,37,heavy_rail,Busan Metro - Line 1,1988
37,39,heavy_rail,Busan Metro - Line 1,1988
27,26,heavy_rail,Busan Metro - Line 1,1987
33,3,heavy_rail,Busan Metro - Line 1,1985
40,41,heavy_rail,Busan Metro - Line 3,2005
40,53,heavy_rail,Busan Metro - Line 3,2005
41,42,heavy_rail,Busan Metro - Line 3,2005
42,50,heavy_rail,Busan Metro - Line 3,2005
43,45,heavy_rail,Busan Metro - Line 3,2005
43,44,heavy_rail,Busan Metro - Line 3,2005
45,54,heavy_rail,Busan Metro - Line 3,2005
46,54,heavy_rail,Busan Metro - Line 3,2005
46,48,heavy_rail,Busan Metro - Line 3,2005
47,55,heavy_rail,Busan Metro - Line 3,2005
47,48,heavy_rail,Busan Metro - Line 3,2005
49,51,heavy_rail,Busan Metro - Line 3,2005
49,53,heavy_rail,Busan Metro - Line 3,2005
50,56,heavy_rail,Busan Metro - Line 3,2005
52,56,heavy_rail,Busan Metro - Line 3,2005
44,56,heavy_rail,Busan Metro - Line 3,2005
57,58,heavy_rail,Busan Metro - Line 4,2011
58,63,heavy_rail,Busan Metro - Line 4,2011
59,60,heavy_rail,Busan Metro - Line 4,2011
59,64,heavy_rail,Busan Metro - Line 4,2011
60,65,heavy_rail,Busan Metro - Line 4,2011
61,68,heavy_rail,Busan Metro - Line 4,2011
61,67,heavy_rail,Busan Metro - Line 4,2011
62,69,heavy_rail,Busan Metro - Line 4,2011
62,70,heavy_rail,Busan Metro - Line 4,2011
63,64,heavy_rail,Busan Metro - Line 4,2011
65,66,heavy_rail,Busan Metro - Line 4,2011
66,67,heavy_rail,Busan Metro - Line 4,2011
68,69,heavy_rail,Busan Metro - Line 4,2011
64,60,heavy_rail,Busan Metro - Line 4,2011
71,72,heavy_rail,Busan Metro - Line 2,2002
71,73,heavy_rail,Busan Metro - Line 2,2002
73,106,heavy_rail,Busan Metro - Line 2,2002
74,75,heavy_rail,Busan Metro - Line 2,2002
74,106,heavy_rail,Busan Metro - Line 2,2002
75,76,heavy_rail,Busan Metro - Line 2,2002
76,77,heavy_rail,Busan Metro - Line 2,2002
77,78,heavy_rail,Busan Metro - Line 2,2002
78,80,heavy_rail,Busan Metro - Line 2,2002
79,80,heavy_rail,Busan Metro - Line 2,2002
