nodeID_from,nodeID_to,mode,line,year
0,1,light_rail,CATS - LYNX Blue Line,2007
0,9,light_rail,CATS - LYNX Blue Line,2007
1,2,light_rail,CATS - LYNX Blue Line,2007
2,3,light_rail,CATS - LYNX Blue Line,2007
3,4,light_rail,CATS - LYNX Blue Line,2007
5,25,light_rail,CATS - LYNX Blue Line,2007
5,6,light_rail,CATS - LYNX Blue Line,2007
7,8,light_rail,CATS - LYNX Blue Line,2007
7,6,light_rail,CATS - LYNX Blue Line,2007
8,9,light_rail,CATS - LYNX Blue Line,2007
10,25,light_rail,CATS - LYNX Blue Line,2007
10,13,light_rail,CATS - LYNX Blue Line,2007
11,13,light_rail,CATS - LYNX Blue Line,2007
11,12,light_rail,CATS - LYNX Blue Line,2007
12,14,light_rail,CATS - LYNX Blue Line,2018
15,18,light_rail,CATS - LYNX Blue Line,2018
15,14,light_rail,CATS - LYNX Blue Line,2018
16,23,light_rail,CATS - LYNX Blue Line,2018
16,24,light_rail,CATS - LYNX Blue Line,2018
17,21,light_rail,CATS - LYNX Blue Line,2018
17,24,light_rail,CATS - LYNX Blue Line,2018
18,19,light_rail,CATS - LYNX Blue Line,2018
19,20,light_rail,CATS - LYNX Blue Line,2018
20,22,light_rail,CATS - LYNX Blue Line,2018
22,23,light_rail,CATS - LYNX Blue Line,2018
15,19,light_rail,CATS - LYNX Blue Line,2018
2,0,light_rail,CATS - LYNX Blue Line,2007
26,34,tram,CATS - LYNX Gold Line,2021
26,29,tram,CATS - LYNX Gold Line,2021
27,31,tram,CATS - LYNX Gold Line,2015
27,32,tram,CATS - LYNX Gold Line,2021
28,29,tram,CATS - LYNX Gold Line,2015
28,30,tram,CATS - LYNX Gold Line,2015
30,31,tram,CATS - LYNX Gold Line,2015
32,33,tram,CATS - LYNX Gold Line,2021
34,35,tram,CATS - LYNX Gold Line,2021
35,36,tram,CATS - LYNX Gold Line,2021
36,37,tram,CATS - LYNX Gold Line,2021
37,38,tram,CATS - LYNX Gold Line,2021
39,40,tram,CATS - LYNX Gold Line,2021
40,41,tram,CATS - LYNX Gold Line,2021
41,42,tram,CATS - LYNX Gold Line,2021
38,39,tram,CATS - LYNX Gold Line,2021
