,nodeID_from,nodeID_to,mode,line,year
0,0,2,heavy_rail,CTA - Brown Line,1907
1,0,21,heavy_rail,CTA - Brown Line,1907
2,1,3,heavy_rail,CTA - Brown Line,1907
3,1,7,heavy_rail,CTA - Brown Line,1907
4,4,5,heavy_rail,CTA - Brown Line,1907
5,5,19,heavy_rail,CTA - Brown Line,1907
6,6,7,heavy_rail,CTA - Brown Line,1907
7,6,9,heavy_rail,CTA - Brown Line,1907
8,8,19,heavy_rail,CTA - Brown Line,1907
9,8,10,heavy_rail,CTA - Brown Line,1907
10,9,16,heavy_rail,CTA - Brown Line,1907
11,10,11,heavy_rail,CTA - Brown Line,1907
12,12,13,heavy_rail,CTA - Brown Line,1907
13,13,15,heavy_rail,CTA - Brown Line,1907
14,14,15,heavy_rail,CTA - Brown Line,1907
15,17,18,heavy_rail,CTA - Brown Line,1907
16,17,16,heavy_rail,CTA - Brown Line,1907
17,20,21,heavy_rail,CTA - Brown Line,1907
18,22,23,heavy_rail,CTA - Brown Line,1900
19,22,24,heavy_rail,CTA - Brown Line,1900
20,23,25,heavy_rail,CTA - Brown Line,1900
21,24,25,heavy_rail,CTA - Brown Line,1900
22,26,30,heavy_rail,CTA - Brown Line,1900
23,26,28,heavy_rail,CTA - Brown Line,1900
24,27,29,heavy_rail,CTA - Brown Line,1900
25,28,31,heavy_rail,CTA - Brown Line,1900
26,29,32,heavy_rail,CTA - Brown Line,1900
27,31,27,heavy_rail,CTA - Brown Line,1900
28,32,34,heavy_rail,CTA - Brown Line,1897
29,33,35,heavy_rail,CTA - Brown Line,1900
30,33,36,heavy_rail,CTA - Brown Line,1900
31,35,37,heavy_rail,CTA - Brown Line,1900
32,36,37,heavy_rail,CTA - Brown Line,1900
33,38,39,heavy_rail,CTA - Brown Line,1900
34,39,37,heavy_rail,CTA - Brown Line,1900
35,35,11,heavy_rail,CTA - Brown Line,1907
36,0,4,heavy_rail,CTA - Brown Line,1907
37,39,23,heavy_rail,CTA - Brown Line,1900
38,24,31,heavy_rail,CTA - Brown Line,1900
39,24,23,heavy_rail,CTA - Brown Line,1900
40,40,50,heavy_rail,CTA - Red Line,1900
41,41,40,heavy_rail,CTA - Red Line,1943
42,42,49,heavy_rail,CTA - Red Line,1900
43,43,48,heavy_rail,CTA - Red Line,1900
44,44,45,heavy_rail,CTA - Red Line,1900
45,45,46,heavy_rail,CTA - Red Line,1900
46,46,47,heavy_rail,CTA - Red Line,1900
47,48,47,heavy_rail,CTA - Red Line,1900
48,49,45,heavy_rail,CTA - Red Line,1900
49,50,42,heavy_rail,CTA - Red Line,1900
50,47,42,heavy_rail,CTA - Red Line,1900
51,51,52,heavy_rail,CTA - Purple Line,1900
52,51,53,heavy_rail,CTA - Purple Line,1900
53,52,54,heavy_rail,CTA - Purple Line,1900
54,53,54,heavy_rail,CTA - Purple Line,1900
55,55,53,heavy_rail,CTA - Purple Line,1900
56,56,57,heavy_rail,CTA - Purple Line,1900
57,56,58,heavy_rail,CTA - Purple Line,1900
58,57,59,heavy_rail,CTA - Purple Line,1900
59,58,59,heavy_rail,CTA - Purple Line,1900
60,60,61,heavy_rail,CTA - Purple Line,1900
61,61,59,heavy_rail,CTA - Purple Line,1900
62,61,52,heavy_rail,CTA - Purple Line,1900
63,63,64,heavy_rail,CTA - Orange Line,1897
64,64,65,heavy_rail,CTA - Orange Line,0
65,66,67,heavy_rail,CTA - Green Line,1893
66,66,80,heavy_rail,CTA - Green Line,1893
67,68,83,heavy_rail,CTA - Green Line,0
68,68,77,heavy_rail,CTA - Green Line,0
69,69,70,heavy_rail,CTA - Green Line,0
70,70,81,heavy_rail,CTA - Green Line,0
71,71,72,heavy_rail,CTA - Green Line,0
72,71,73,heavy_rail,CTA - Green Line,0
73,73,74,heavy_rail,CTA - Green Line,0
74,75,76,heavy_rail,CTA - Green Line,0
75,75,74,heavy_rail,CTA - Green Line,0
76,77,78,heavy_rail,CTA - Green Line,0
77,79,80,heavy_rail,CTA - Green Line,0
78,79,81,heavy_rail,CTA - Green Line,0
79,81,82,heavy_rail,CTA - Green Line,0
80,81,78,heavy_rail,CTA - Green Line,0
