nodeID_from,nodeID_to,mode,line,year
0,1,brt,Corredor Bus - Paicaví,2005
0,3,brt,Corredor Bus - Paicaví,2005
1,8,brt,Corredor Bus - Paicaví,2005
2,5,brt,Corredor Bus - Paicaví,2005
2,4,brt,Corredor Bus - Paicaví,2005
3,4,brt,Corredor Bus - Paicaví,2005
5,6,brt,Corredor Bus - Paicaví,2005
6,7,brt,Corredor Bus - Paicaví,2005
4,5,brt,Corredor Bus - Paicaví,2005
9,10,brt,Corredor Bus - Colón,1908
10,11,brt,Corredor Bus - Colón,1908
12,13,brt,Corredor Bus - Colón,1908
12,11,brt,Corredor Bus - Colón,1908
13,14,brt,Corredor Bus - Colón,1908
14,15,brt,Corredor Bus - Colón,1908
15,16,brt,Corredor Bus - Colón,1908
16,17,brt,Corredor Bus - Colón,1908
17,18,brt,Corredor Bus - Colón,1908
18,19,brt,Corredor Bus - Colón,1908
12,17,brt,Corredor Bus - Colón,1908
20,31,default,Biotrén - Línea 2,2005
20,27,default,Biotrén - Línea 2,2005
21,26,default,Biotrén - Línea 2,2005
22,31,default,Biotrén - Línea 2,2005
22,30,default,Biotrén - Línea 2,2005
23,30,default,Biotrén - Línea 2,2016
24,25,default,Biotrén - Línea 2,2016
25,28,default,Biotrén - Línea 2,2016
26,27,default,Biotrén - Línea 2,2005
28,29,default,Biotrén - Línea 2,2016
29,32,default,Biotrén - Línea 2,2016
32,33,default,Biotrén - Línea 2,2016
23,29,default,Biotrén - Línea 2,2016
27,31,default,Biotrén - Línea 2,2005
34,44,default,Biotrén - Línea 1,1999
35,42,default,Biotrén - Línea 1,2001
35,45,default,Biotrén - Línea 1,2001
36,42,default,Biotrén - Línea 1,2001
37,38,default,Biotrén - Línea 1,2005
38,40,default,Biotrén - Línea 1,2005
39,40,default,Biotrén - Línea 1,1999
39,41,default,Biotrén - Línea 1,1999
41,44,default,Biotrén - Línea 1,1999
43,45,default,Biotrén - Línea 1,2001
34,43,default,Biotrén - Línea 1,2001
