nodeID_from,nodeID_to,mode,line,year
0,1,light_rail,Regional Transportation District - J Line,2002
1,3,light_rail,Regional Transportation District - J Line,2002
2,4,light_rail,Regional Transportation District - J Line,2002
3,4,light_rail,Regional Transportation District - J Line,2002
5,11,light_rail,Regional Transportation District - D Line ,2000
5,6,light_rail,Regional Transportation District - D Line ,2000
6,7,light_rail,Regional Transportation District - D Line ,2000
7,8,light_rail,Regional Transportation District - D Line ,2000
8,9,light_rail,Regional Transportation District - D Line ,2000
9,10,light_rail,Regional Transportation District - D Line ,2000
11,14,light_rail,Regional Transportation District - D Line ,2000
12,13,light_rail,Regional Transportation District - D Line ,1994
12,14,light_rail,Regional Transportation District - D Line ,1994
13,16,light_rail,Regional Transportation District - D Line ,1994
15,16,light_rail,Regional Transportation District - D Line ,1994
16,17,light_rail,Regional Transportation District - D Line ,1994
17,18,light_rail,Regional Transportation District - D Line ,1994
19,20,light_rail,Regional Transportation District - E Line,2006
19,22,light_rail,Regional Transportation District - E Line,2006
21,33,light_rail,Regional Transportation District - E Line,2002
22,23,light_rail,Regional Transportation District - E Line,2006
23,24,light_rail,Regional Transportation District - E Line,2006
24,25,light_rail,Regional Transportation District - E Line,2006
25,26,light_rail,Regional Transportation District - E Line,2006
26,27,light_rail,Regional Transportation District - E Line,2006
27,28,light_rail,Regional Transportation District - E Line,2006
28,29,light_rail,Regional Transportation District - E Line,2006
29,30,light_rail,Regional Transportation District - E Line,2006
30,31,light_rail,Regional Transportation District - E Line,2006
31,32,light_rail,Regional Transportation District - E Line,2006
32,35,light_rail,Regional Transportation District - E Line,2019
33,38,light_rail,Regional Transportation District - E Line,2002
34,39,light_rail,Regional Transportation District - E Line,2002
35,36,light_rail,Regional Transportation District - E Line,2019
36,37,light_rail,Regional Transportation District - E Line,2019
38,39,light_rail,Regional Transportation District - E Line,2002
40,41,light_rail,Regional Transportation District - F Line,2006
40,49,light_rail,Regional Transportation District - F Line,2006
42,43,light_rail,Regional Transportation District - F Line,1994
42,44,light_rail,Regional Transportation District - F Line,1994
43,46,light_rail,Regional Transportation District - F Line,1994
45,46,light_rail,Regional Transportation District - F Line,1994
46,47,light_rail,Regional Transportation District - F Line,1994
47,48,light_rail,Regional Transportation District - F Line,1994
49,50,light_rail,Regional Transportation District - F Line,2006
