,nodeID_from,nodeID_to,mode,line,year
0,0,8,default,Straßenbahn Graz - Linie 1,1938
1,0,6,default,Straßenbahn Graz - Linie 1,1938
2,1,4,default,Straßenbahn Graz - Linie 1,1911
3,1,20,default,Straßenbahn Graz - Linie 1,2012
4,2,8,default,Straßenbahn Graz - Linie 1,1938
5,2,9,default,Straßenbahn Graz - Linie 1,1938
6,3,9,default,Straßenbahn Graz - Linie 1,1938
7,3,10,default,Straßenbahn Graz - Linie 1,1938
8,4,5,default,Straßenbahn Graz - Linie 1,1911
9,5,6,default,Straßenbahn Graz - Linie 1,1911
10,7,16,default,Straßenbahn Graz - Linie 1,1941
11,7,15,default,Straßenbahn Graz - Linie 1,1941
12,10,11,default,Straßenbahn Graz - Linie 1,1938
13,11,12,default,Straßenbahn Graz - Linie 1,1938
14,13,14,default,Straßenbahn Graz - Linie 1,1941
15,13,12,default,Straßenbahn Graz - Linie 1,1938
16,14,15,default,Straßenbahn Graz - Linie 1,1941
17,16,18,default,Straßenbahn Graz - Linie 1,1941
18,17,25,default,Straßenbahn Graz - Linie 1,2015
19,17,20,default,Straßenbahn Graz - Linie 1,2012
20,18,19,default,Straßenbahn Graz - Linie 1,1941
21,19,21,default,Straßenbahn Graz - Linie 1,1941
22,22,23,default,Straßenbahn Graz - Linie 1,1941
23,23,24,default,Straßenbahn Graz - Linie 1,1941
24,25,26,default,Straßenbahn Graz - Linie 1,2015
25,26,30,default,Straßenbahn Graz - Linie 1,1957
26,27,31,default,Straßenbahn Graz - Linie 1,1990
27,27,28,default,Straßenbahn Graz - Linie 1,1990
28,29,30,default,Straßenbahn Graz - Linie 1,1957
29,29,28,default,Straßenbahn Graz - Linie 1,1957
30,22,15,default,Straßenbahn Graz - Linie 1,1941
