nodeID,nodeLabel,latitude,longitude,mode,year
0,Jakominiplatz,15.442277773168797,47.067480144348195,default,1911.0
1,Esperantoplatz,15.424671060009134,47.071271472666155,default,1911.0
2,Maiffredygasse,15.448038097308512,47.07083798705435,default,1990.0
3,Merangasse,15.454095433836471,47.073412803098506,default,1938.0
4,Roseggerhaus,15.428750920330886,47.07109065310616,default,1911.0
5,Südtiroler Platz,15.434146099829,47.07090691754028,default,1911.0
6,Hauptplatz,15.438185145625354,47.07129847292045,default,1911.0
7,Kroisbach,15.464977322680227,47.093673464636396,default,1941.0
8,Kaiser-Josef-Platz/Oper,15.446181135430095,47.06875242966504,default,1938.0
9,Lichtenfelsgasse,15.451009201475074,47.0721900289646,default,1938.0
10,Reiterkaserne,15.458405916849443,47.07522917451206,default,1938.0
11,Tegetthoffplatz,15.457891963551674,47.07666254353089,default,1938.0
12,Lenaugasse,15.458124533202664,47.07919286411314,default,1938.0
13,Hilmteich,15.459957113710885,47.083437924286386,default,1938.0
14,Schönbrunngasse,15.460571015169592,47.086361594871704,default,1941.0
15,Mariagrün,15.460043261930025,47.08941761112408,default,1941.0
16,St. Johann,15.469523618978315,47.09653133991904,default,1941.0
17,Waagner-Biro-Straße,15.414869328775751,47.07073050119851,default,1957.0
18,Rettenbach,15.473982821250559,47.09826852116291,default,1990.0
19,Wagnesweg,15.476282097473387,47.09905705227152,default,1990.0
20,Hauptbahnhof,15.418557641949974,47.071846388161305,default,2012.0
21,Waldhof,15.478655743653832,47.09972712920083,default,1941.0
22,Teichhof,15.484454649553015,47.10153128918,default,1941.0
23,Tannhof,15.48764228275445,47.103096386560395,default,1989.0
24,Mariatrost,15.488809339630365,47.10512975863202,default,1941.0
25,Asperngasse,15.412413339408744,47.072573523833796,default,2015.0
26,Georgigasse,15.407995538712129,47.072958110748004,default,2006.0
27,Eggenberg/UKH,15.396721475851564,47.07901283039121,default,1990.0
28,Schloß Eggenberg,15.39697156658363,47.075031467865045,default,1990.0
29,Auster Sport- und Wellnessbad,15.401103310495444,47.0731554782181,default,2011.0
30,Vinzenzgasse,15.4046987510377,47.072971811179485,default,1963.0
31,Alt-Eggenberg,15.393796983757085,47.077674142598454,default,1990.0
32,Jakominiplatz,15.442277773168797,47.067480144348195,None,1911.0
33,Esperantoplatz,15.424671060009134,47.071271472666155,None,1911.0
34,Maiffredygasse,15.448038097308512,47.07083798705435,None,1990.0
35,Merangasse,15.454095433836471,47.073412803098506,None,1938.0
36,Roseggerhaus,15.428750920330886,47.07109065310616,None,1911.0
37,Südtiroler Platz,15.434146099829,47.07090691754028,None,1911.0
38,Hauptplatz,15.438185145625354,47.07129847292045,None,1911.0
39,Kroisbach,15.464977322680227,47.093673464636396,None,1941.0
40,Kaiser-Josef-Platz/Oper,15.446181135430095,47.06875242966504,None,1938.0
41,Lichtenfelsgasse,15.451009201475074,47.0721900289646,None,1938.0
42,Reiterkaserne,15.458405916849443,47.07522917451206,None,1938.0
43,Tegetthoffplatz,15.457891963551674,47.07666254353089,None,1938.0
44,Lenaugasse,15.458124533202664,47.07919286411314,None,1938.0
45,Hilmteich,15.459957113710885,47.083437924286386,None,1938.0
46,Schönbrunngasse,15.460571015169592,47.086361594871704,None,1941.0
47,Mariagrün,15.460043261930025,47.08941761112408,None,1941.0
48,St. Johann,15.469523618978315,47.09653133991904,None,1941.0
49,Waagner-Biro-Straße,15.414869328775751,47.07073050119851,None,1957.0
50,Rettenbach,15.473982821250559,47.09826852116291,None,1990.0
51,Wagnesweg,15.476282097473387,47.09905705227152,None,1990.0
52,Hauptbahnhof,15.418557641949974,47.071846388161305,None,2012.0
53,Waldhof,15.478655743653832,47.09972712920083,None,1941.0
54,Teichhof,15.484454649553015,47.10153128918,None,1941.0
55,Tannhof,15.48764228275445,47.103096386560395,None,1989.0
56,Mariatrost,15.488809339630365,47.10512975863202,None,1941.0
57,Asperngasse,15.412413339408744,47.072573523833796,None,2015.0
58,Georgigasse,15.407995538712129,47.072958110748004,None,2006.0
59,Eggenberg/UKH,15.396721475851564,47.07901283039121,None,1990.0
60,Schloß Eggenberg,15.39697156658363,47.075031467865045,None,1990.0
61,Auster Sport- und Wellnessbad,15.401103310495444,47.0731554782181,None,2011.0
62,Vinzenzgasse,15.4046987510377,47.072971811179485,None,1963.0
63,Alt-Eggenberg,15.393796983757085,47.077674142598454,None,1990.0
