nodeID_from,nodeID_to,mode,line,year
0,1,default,Tram - A,1987
0,7,default,Tram - A,1987
2,5,default,Tram - A,1996
3,7,default,Tram - A,1987
4,8,default,Tram - A,1996
4,12,default,Tram - A,1996
5,0,default,Tram - A,1996
6,21,default,Tram - A,1996
6,18,default,Tram - A,1996
9,12,default,Tram - A,1996
9,15,default,Tram - A,1996
10,19,default,Tram - A,1996
10,21,default,Tram - A,1996
11,17,default,Tram - A,1996
11,19,default,Tram - A,1996
13,22,default,Tram - A,1987
14,25,default,Tram - A,1987
14,24,default,Tram - A,1987
15,16,default,Tram - A,1996
18,20,default,Tram - A,1996
22,36,default,Tram - A,1987
23,24,default,Tram - A,1987
23,22,default,Tram - A,1987
26,28,default,Tram - A,1987
27,29,default,Tram - A,1987
27,26,default,Tram - A,1987
28,34,default,Tram - A,1987
30,31,default,Tram - A,1987
31,29,default,Tram - A,1987
32,35,default,Tram - A,1987
32,30,default,Tram - A,1987
33,34,default,Tram - A,1987
37,38,default,Tram - A,1987
37,40,default,Tram - A,1987
39,40,default,Tram - A,1987
41,42,default,Tram - A,1987
41,38,default,Tram - A,1987
43,44,default,Tram - A,1987
43,48,default,Tram - A,1987
45,46,default,Tram - A,1987
46,44,default,Tram - A,1987
47,48,default,Tram - A,1987
47,50,default,Tram - A,1987
49,50,default,Tram - A,1987
51,52,default,Tram - A,1987
51,54,default,Tram - A,1987
53,54,default,Tram - A,1987
54,56,default,Tram - A,1987
55,56,default,Tram - A,1987
55,57,default,Tram - A,1987
57,58,default,Tram - A,1987
49,1,default,Tram - A,1987
46,40,default,Tram - A,1987
33,25,default,Tram - A,1987
13,42,default,Tram - A,1987
30,29,default,Tram - A,1987
8,5,default,Tram - A,1996
15,20,default,Tram - A,1996
59,71,default,Tram - B,1990
60,73,default,Tram - B,1990
60,71,default,Tram - B,1990
61,63,default,Tram - B,2001
61,81,default,Tram - B,2001
62,81,default,Tram - B,1999
64,87,default,Tram - B,1987
65,67,default,Tram - B,2014
66,69,default,Tram - B,2014
66,67,default,Tram - B,2014
68,72,default,Tram - B,2006
70,74,default,Tram - B,2006
72,77,default,Tram - B,2006
74,77,default,Tram - B,2006
75,76,default,Tram - B,1990
76,59,default,Tram - B,1990
78,83,default,Tram - B,2006
79,80,default,Tram - B,1990
80,82,default,Tram - B,1990
81,87,default,Tram - B,1999
82,86,default,Tram - B,1990
83,84,default,Tram - B,2006
84,85,default,Tram - B,1990
86,85,default,Tram - B,1990
88,89,default,Tram - B,1987
88,91,default,Tram - B,1987
90,91,default,Tram - B,1987
90,94,default,Tram - B,1990
92,93,default,Tram - B,1987
92,89,default,Tram - B,1987
94,95,default,Tram - B,1990
95,96,default,Tram - B,1990
97,98,default,Tram - B,1990
97,73,default,Tram - B,1990
68,78,default,Tram - B,2006
76,80,default,Tram - B,1990
96,98,default,Tram - B,1990
63,65,default,Tram - B,2014
64,93,default,Tram - B,1987
99,113,default,Tram - C,2006
99,115,default,Tram - C,2006
100,125,default,Tram - C,2006
100,136,default,Tram - C,2006
101,110,default,Tram - C,2006
102,116,default,Tram - C,2006
102,117,default,Tram - C,2006
103,117,default,Tram - C,2006
104,118,default,Tram - C,2006
104,106,default,Tram - C,2006
105,106,default,Tram - C,2006
106,108,default,Tram - C,2006
107,108,default,Tram - C,2006
109,114,default,Tram - C,1990
110,111,default,Tram - C,2006
111,112,default,Tram - C,1990
114,113,default,Tram - C,2006
115,120,default,Tram - C,2006
119,128,default,Tram - C,2006
121,133,default,Tram - C,2006
122,126,default,Tram - C,2006
122,127,default,Tram - C,2006
123,124,default,Tram - C,2006
123,125,default,Tram - C,2006
127,134,default,Tram - C,2006
128,120,default,Tram - C,2006
129,130,default,Tram - C,2006
130,132,default,Tram - C,2006
131,132,default,Tram - C,2006
133,131,default,Tram - C,2006
134,128,default,Tram - C,2006
135,136,default,Tram - C,1987
129,107,default,Tram - C,2006
114,112,default,Tram - C,1990
117,118,default,Tram - C,2006
121,124,default,Tram - C,2006
135,126,default,Tram - C,2006
137,138,default,Téléphérique - Grenoble Bastille,1934
139,142,default,Tram - D,2007
140,146,default,Tram - D,2007
140,148,default,Tram - D,2007
141,142,default,Tram - D,2006
142,147,default,Tram - D,2007
143,147,default,Tram - D,2007
144,145,default,Tram - D,2007
145,140,default,Tram - D,2007
145,147,default,Tram - D,2007
149,177,default,Tram - E,2015
149,182,default,Tram - E,2015
150,178,default,Tram - E,2015
151,179,default,Tram - E,2015
151,152,default,Tram - E,2015
152,153,default,Tram - E,2015
153,174,default,Tram - E,2015
154,160,default,Tram - E,2014
154,167,default,Tram - E,2014
155,168,default,Tram - E,2014
155,157,default,Tram - E,2014
156,157,default,Tram - E,2014
158,171,default,Tram - E,2015
159,161,default,Tram - E,2014
161,163,default,Tram - E,2014
162,163,default,Tram - E,2014
162,166,default,Tram - E,2014
164,167,default,Tram - E,2014
165,166,default,Tram - E,2014
169,170,default,Tram - E,2014
169,158,default,Tram - E,2015
171,172,default,Tram - E,2015
172,173,default,Tram - E,2015
174,175,default,Tram - E,2015
176,180,default,Tram - E,2015
176,177,default,Tram - E,2015
178,181,default,Tram - E,2015
181,182,default,Tram - E,2015
173,175,default,Tram - E,2015
170,160,default,Tram - E,2014
166,167,default,Tram - E,2014
156,159,default,Tram - E,2014
179,150,default,Tram - E,2015
