nodeID,nodeLabel,latitude,longitude,mode,year
0,Grand'Place,5.7321696,45.1590543,default,1987.0
1,Grand'Place,5.7321703,45.1590846,default,1987.0
2,Les Granges,5.7278277,45.1569295,default,1996.0
3,Pôle Sud - Alpexpo,5.7328343,45.1571768,default,1987.0
4,Surieux,5.7220731,45.1583285,default,1996.0
5,Les Granges,5.7278272,45.1569572,default,1996.0
6,Marie Curie,5.7171104,45.1456253,default,1996.0
7,Pôle Sud - Alpexpo,5.7328331,45.1572088,default,1987.0
8,Surieux,5.7220916,45.1583488,default,1996.0
9,Essarts - La Butte,5.7191827,45.1559443,default,1996.0
10,Auguste Delaune,5.7153742,45.1424083,default,1996.0
11,Denis Papin,5.7132065,45.1385151,default,1997.0
12,Essarts - La Butte,5.7192191,45.1559416,default,1996.0
13,Grenoble - Gares,5.7152968,45.189958,default,1987.0
14,Berriat - Le Magasin,5.7068612,45.1887695,default,1987.0
15,Échirolles - Gare,5.7184674,45.153079,default,1996.0
16,Échirolles - Gare,5.7184269,45.1530848,default,1996.0
17,Denis Papin,5.7131113,45.13839,default,1997.0
18,La Rampe - Centre-Ville,5.7179542,45.1487544,default,1996.0
19,Auguste Delaune,5.7153413,45.1424157,default,1996.0
20,La Rampe - Centre-Ville,5.7179901,45.1487503,default,1996.0
21,Marie Curie,5.7170817,45.1456294,default,1996.0
22,Grenoble - Gares,5.7151695,45.190014,default,1987.0
23,Saint-Bruno,5.7138428,45.188377,default,1987.0
24,Saint-Bruno,5.7138404,45.1883507,default,1987.0
25,Berriat - Le Magasin,5.7066603,45.1888062,default,1987.0
26,Louis Maisonnat,5.6942097,45.1892135,default,1987.0
27,Fontaine - Hôtel de Ville - La Source,5.6874779,45.1912766,default,1987.0
28,Louis Maisonnat,5.6942122,45.1891902,default,1987.0
29,Fontaine - Hôtel de Ville - La Source,5.6874632,45.1912543,default,1987.0
30,Charles Michels,5.6801788,45.1938373,default,1987.0
31,Charles Michels,5.6801918,45.1938623,default,1987.0
32,La Poya,5.6723453,45.1970335,default,1987.0
33,Les Fontainades - Le Vog,5.6983701,45.1890784,default,1987.0
34,Les Fontainades - Le Vog,5.6983684,45.1891077,default,1987.0
35,La Poya,5.6723467,45.1970717,default,1987.0
36,Grenoble - Gares,5.7150515,45.1901535,default,1987.0
37,Victor Hugo,5.7251056,45.1898164,default,1987.0
38,Victor Hugo,5.7250858,45.1898405,default,1987.0
39,Hubert Dubedout - Maison du tourisme,5.7282758,45.1901756,default,1987.0
40,Hubert Dubedout - Maison du tourisme,5.7282686,45.1901482,default,1987.0
