nodeID_from,nodeID_to,mode,line,year
0,5,light_rail,Tren Eléctrico Urbano  - Línea 2,0
0,6,light_rail,Tren Eléctrico Urbano  - Línea 2,0
1,7,light_rail,Tren Eléctrico Urbano  - Línea 2,0
1,6,light_rail,Tren Eléctrico Urbano  - Línea 2,0
2,8,light_rail,Tren Eléctrico Urbano  - Línea 2,0
2,7,light_rail,Tren Eléctrico Urbano  - Línea 2,0
3,9,light_rail,Tren Eléctrico Urbano  - Línea 2,0
3,8,light_rail,Tren Eléctrico Urbano  - Línea 2,0
4,9,light_rail,Tren Eléctrico Urbano  - Línea 2,0
8,1,light_rail,Tren Eléctrico Urbano  - Línea 2,0
10,16,light_rail,Tren Eléctrico Urbano  - Línea 1,0
11,15,light_rail,Tren Eléctrico Urbano  - Línea 1,0
11,16,light_rail,Tren Eléctrico Urbano  - Línea 1,0
12,17,light_rail,Tren Eléctrico Urbano  - Línea 1,0
12,15,light_rail,Tren Eléctrico Urbano  - Línea 1,0
13,18,light_rail,Tren Eléctrico Urbano  - Línea 1,0
13,17,light_rail,Tren Eléctrico Urbano  - Línea 1,0
14,18,light_rail,Tren Eléctrico Urbano  - Línea 1,0
14,19,light_rail,Tren Eléctrico Urbano  - Línea 1,0
18,11,light_rail,Tren Eléctrico Urbano  - Línea 1,0
