nodeID_from,nodeID_to,mode,line,year
0,4,heavy_rail,Metro İstanbul - M2,2014
0,6,heavy_rail,Metro İstanbul - M2,2014
1,10,heavy_rail,Metro İstanbul - M2,2009
1,3,heavy_rail,Metro İstanbul - M2,2011
2,13,heavy_rail,Metro İstanbul - M2,2011
4,5,heavy_rail,Metro İstanbul - M2,2014
5,7,heavy_rail,Metro İstanbul - M2,2014
6,9,heavy_rail,Metro İstanbul - M2,2009
8,14,heavy_rail,Metro İstanbul - M2,2000
8,15,heavy_rail,Metro İstanbul - M2,2000
9,15,heavy_rail,Metro İstanbul - M2,2000
10,14,heavy_rail,Metro İstanbul - M2,2000
11,12,heavy_rail,Metro İstanbul - M2,2009
11,1,heavy_rail,Metro İstanbul - M2,2009
12,13,heavy_rail,Metro İstanbul - M2,2010
16,36,heavy_rail,Metro İstanbul - M3,2024
16,35,heavy_rail,Metro İstanbul - M3,2024
17,27,heavy_rail,Metro İstanbul - M3,2024
17,26,heavy_rail,Metro İstanbul - M3,2024
18,26,heavy_rail,Metro İstanbul - M3,2024
18,19,heavy_rail,Metro İstanbul - M3,2024
19,25,heavy_rail,Metro İstanbul - M3,2013
20,25,heavy_rail,Metro İstanbul - M3,2013
20,24,heavy_rail,Metro İstanbul - M3,2014
21,22,heavy_rail,Metro İstanbul - M3,2013
21,24,heavy_rail,Metro İstanbul - M3,2014
22,23,heavy_rail,Metro İstanbul - M3,2013
23,29,heavy_rail,Metro İstanbul - M3,2023
27,28,heavy_rail,Metro İstanbul - M3,2024
28,35,heavy_rail,Metro İstanbul - M3,2024
29,32,heavy_rail,Metro İstanbul - M3,2023
30,21,heavy_rail,Metro İstanbul - M3,2014
31,30,heavy_rail,Metro İstanbul - M3,2014
31,33,heavy_rail,Metro İstanbul - M3,2023
33,34,heavy_rail,Metro İstanbul - M3,2023
33,23,heavy_rail,Metro İstanbul - M3,2023
34,37,heavy_rail,Metro İstanbul - M3,2023
28,17,heavy_rail,Metro İstanbul - M3,2024
38,40,heavy_rail,Metro İstanbul - M4,2012
38,42,heavy_rail,Metro İstanbul - M4,2012
39,40,heavy_rail,Metro İstanbul - M4,2012
39,43,heavy_rail,Metro İstanbul - M4,2012
41,43,heavy_rail,Metro İstanbul - M4,2012
42,44,heavy_rail,Metro İstanbul - M4,2012
44,45,heavy_rail,Metro İstanbul - M4,2012
45,46,heavy_rail,Metro İstanbul - M4,2012
46,47,heavy_rail,Metro İstanbul - M4,2012
47,48,heavy_rail,Metro İstanbul - M4,2012
48,49,heavy_rail,Metro İstanbul - M4,2012
49,50,heavy_rail,Metro İstanbul - M4,2012
50,51,heavy_rail,Metro İstanbul - M4,2012
51,52,heavy_rail,Metro İstanbul - M4,2012
52,55,heavy_rail,Metro İstanbul - M4,2012
53,54,heavy_rail,Metro İstanbul - M4,2025
53,66,heavy_rail,Metro İstanbul - M4,2025
54,56,heavy_rail,Metro İstanbul - M4,2016
55,56,heavy_rail,Metro İstanbul - M4,2016
57,62,heavy_rail,Metro İstanbul - M4,2025
