,nodeID_from,nodeID_to,mode,line,year
0,0,3,default,Teleférico - Línea Verde,2014
1,0,1,default,Teleférico - Línea Verde,2014
2,2,1,default,Teleférico - Línea Verde,2014
3,4,5,default,Teleférico - Línea Roja,2014
4,5,6,default,Teleférico - Línea Roja,2014
5,7,9,default,Teleférico - Línea Plateada,2019
6,8,9,default,Teleférico - Línea Plateada,2019
7,10,11,default,Teleférico - Línea Naranja,2017
8,11,12,default,Teleférico - Línea Naranja,2017
9,12,13,default,Teleférico - Línea Naranja,2017
10,14,15,default,Teleférico - Línea Morada,2018
11,15,16,default,Teleférico - Línea Morada,2018
12,17,20,default,Teleférico - Línea Celeste,2018
13,17,18,default,Teleférico - Línea Celeste,2018
14,18,19,default,Teleférico - Línea Celeste,2018
15,21,22,default,Teleférico - Línea Café,2018
16,23,25,default,Teleférico - Línea Blanca,2018
17,23,24,default,Teleférico - Línea Blanca,2018
18,24,26,default,Teleférico - Línea Blanca,2018
19,27,31,default,Teleférico - Línea Azul,2017
20,28,31,default,Teleférico - Línea Azul,2017
21,28,30,default,Teleférico - Línea Azul,2017
22,29,30,default,Teleférico - Línea Azul,2017
23,32,33,default,Teleférico - Línea Amarilla,2014
24,32,35,default,Teleférico - Línea Amarilla,2014
25,33,34,default,Teleférico - Línea Amarilla,2014
