nodeID_from,nodeID_to,mode,line,year
0,1,light_rail,Tramway - B,2012
1,2,light_rail,Tramway - B,2012
3,8,light_rail,Tramway - B,2012
3,2,light_rail,Tramway - B,2012
4,10,light_rail,Tramway - B,2012
5,11,light_rail,Tramway - B,2012
6,7,light_rail,Tramway - B,2012
6,11,light_rail,Tramway - B,2012
9,12,light_rail,Tramway - B,2012
10,7,light_rail,Tramway - B,2012
12,5,light_rail,Tramway - B,2012
13,27,light_rail,Tramway - B,2012
14,25,light_rail,Tramway - B,2012
14,26,light_rail,Tramway - B,2012
15,23,light_rail,Tramway - B,2012
15,25,light_rail,Tramway - B,2012
16,24,light_rail,Tramway - B,2012
17,22,light_rail,Tramway - B,2012
17,27,light_rail,Tramway - B,2012
18,21,light_rail,Tramway - B,2012
19,26,light_rail,Tramway - B,2012
19,28,light_rail,Tramway - B,2012
20,28,light_rail,Tramway - B,2012
21,13,light_rail,Tramway - B,2012
24,28,light_rail,Tramway - B,2012
9,23,light_rail,Tramway - B,2012
8,4,light_rail,Tramway - B,2012
13,20,light_rail,Tramway - B,2012
29,32,light_rail,Tramway - A,2012
29,31,light_rail,Tramway - A,2012
30,31,light_rail,Tramway - A,2012
33,38,light_rail,Tramway - A,2012
33,32,light_rail,Tramway - A,2012
34,40,light_rail,Tramway - A,2012
35,41,light_rail,Tramway - A,2012
36,37,light_rail,Tramway - A,2012
36,41,light_rail,Tramway - A,2012
39,42,light_rail,Tramway - A,2012
40,37,light_rail,Tramway - A,2012
42,35,light_rail,Tramway - A,2012
43,50,light_rail,Tramway - A,2012
44,45,light_rail,Tramway - A,2012
44,50,light_rail,Tramway - A,2012
46,51,light_rail,Tramway - A,2012
47,49,light_rail,Tramway - A,2012
47,51,light_rail,Tramway - A,2012
48,56,light_rail,Tramway - A,2012
48,54,light_rail,Tramway - A,2012
50,46,light_rail,Tramway - A,2012
52,54,light_rail,Tramway - A,2012
52,55,light_rail,Tramway - A,2012
53,55,light_rail,Tramway - A,2012
39,44,light_rail,Tramway - A,2012
49,53,light_rail,Tramway - A,2012
38,34,light_rail,Tramway - A,2012
