nodeID_from,nodeID_to,mode,line,year
0,2,light_rail,Tramway - T1,2007
1,4,light_rail,Tramway - T1,2007
2,46,light_rail,Tramway - T1,2007
3,4,light_rail,Tramway - T1,2007
5,6,light_rail,Tramway - T1,2007
5,1,light_rail,Tramway - T1,2007
7,8,light_rail,Tramway - T1,2007
7,38,light_rail,Tramway - T1,2007
8,9,light_rail,Tramway - T1,2007
9,12,light_rail,Tramway - T1,2007
10,15,light_rail,Tramway - T1,2007
10,17,light_rail,Tramway - T1,2007
11,17,light_rail,Tramway - T1,2007
13,14,light_rail,Tramway - T1,2007
14,10,light_rail,Tramway - T1,2007
16,21,light_rail,Tramway - T1,2007
18,22,light_rail,Tramway - T1,2007
19,20,light_rail,Tramway - T1,2007
20,22,light_rail,Tramway - T1,2007
21,25,light_rail,Tramway - T1,2007
23,26,light_rail,Tramway - T1,2007
24,25,light_rail,Tramway - T1,2007
24,26,light_rail,Tramway - T1,2007
27,28,light_rail,Tramway - T1,2007
27,31,light_rail,Tramway - T1,2007
29,31,light_rail,Tramway - T1,2007
30,32,light_rail,Tramway - T1,2007
30,34,light_rail,Tramway - T1,2007
32,29,light_rail,Tramway - T1,2007
33,34,light_rail,Tramway - T1,2007
35,36,light_rail,Tramway - T1,2007
36,34,light_rail,Tramway - T1,2007
37,39,light_rail,Tramway - T1,2007
37,44,light_rail,Tramway - T1,2007
38,43,light_rail,Tramway - T1,2007
40,41,light_rail,Tramway - T1,2007
41,43,light_rail,Tramway - T1,2007
42,44,light_rail,Tramway - T1,2007
45,46,light_rail,Tramway - T1,2007
40,39,light_rail,Tramway - T1,2007
44,46,light_rail,Tramway - T1,2007
2,3,light_rail,Tramway - T1,2007
12,11,light_rail,Tramway - T1,2007
13,20,light_rail,Tramway - T1,2007
16,18,light_rail,Tramway - T1,2007
23,28,light_rail,Tramway - T1,2007
47,50,light_rail,Tramway - T2,2007
48,53,light_rail,Tramway - T2,2007
48,55,light_rail,Tramway - T2,2007
49,55,light_rail,Tramway - T2,2007
50,49,light_rail,Tramway - T2,2007
51,52,light_rail,Tramway - T2,2007
52,48,light_rail,Tramway - T2,2007
54,59,light_rail,Tramway - T2,2007
54,56,light_rail,Tramway - T2,2007
56,63,light_rail,Tramway - T2,2007
57,58,light_rail,Tramway - T2,2007
58,63,light_rail,Tramway - T2,2007
60,64,light_rail,Tramway - T2,2007
60,61,light_rail,Tramway - T2,2007
61,67,light_rail,Tramway - T2,2007
62,65,light_rail,Tramway - T2,2007
65,69,light_rail,Tramway - T2,2007
66,69,light_rail,Tramway - T2,2007
68,70,light_rail,Tramway - T2,2007
70,69,light_rail,Tramway - T2,2007
71,72,light_rail,Tramway - T2,2014
71,75,light_rail,Tramway - T2,2014
72,47,light_rail,Tramway - T2,2014
73,75,light_rail,Tramway - T2,2014
74,76,light_rail,Tramway - T2,2014
76,73,light_rail,Tramway - T2,2014
77,81,light_rail,Tramway - T2,2014
77,80,light_rail,Tramway - T2,2014
78,80,light_rail,Tramway - T2,2014
79,82,light_rail,Tramway - T2,2014
79,80,light_rail,Tramway - T2,2014
51,58,light_rail,Tramway - T2,2007
78,74,light_rail,Tramway - T2,2014
59,68,light_rail,Tramway - T2,2007
