,nodeID_from,nodeID_to,mode,line,year
0,0,7,heavy_rail,Métro - M1,1983
1,1,5,heavy_rail,Métro - M1,1984
2,1,6,heavy_rail,Métro - M1,1984
3,2,0,heavy_rail,Métro - M1,1983
4,3,4,heavy_rail,Métro - M1,1983
5,3,2,heavy_rail,Métro - M1,1983
6,6,7,heavy_rail,Métro - M1,1983
7,8,14,heavy_rail,Métro - M2,2000
8,9,10,heavy_rail,Métro - M2,1999
9,10,14,heavy_rail,Métro - M2,2000
10,11,13,heavy_rail,Métro - M2,1994
11,11,19,heavy_rail,Métro - M2,1995
12,12,17,heavy_rail,Métro - M2,1989
13,15,16,heavy_rail,Métro - M2,2000
14,15,8,heavy_rail,Métro - M2,2000
15,17,18,heavy_rail,Métro - M2,1989
16,18,20,heavy_rail,Métro - M2,1989
17,19,24,heavy_rail,Métro - M2,1995
18,20,21,heavy_rail,Métro - M2,1989
19,22,25,heavy_rail,Métro - M2,1989
20,22,21,heavy_rail,Métro - M2,1989
21,23,25,heavy_rail,Métro - M2,1989
22,24,26,heavy_rail,Métro - M2,1995
23,27,26,heavy_rail,Métro - M2,1999
24,12,13,heavy_rail,Métro - M2,1989
25,27,9,heavy_rail,Métro - M2,1999
26,28,30,light_rail,Tramway - T,1909
27,28,31,light_rail,Tramway - T,1909
28,29,32,light_rail,Tramway - T,1909
29,31,32,light_rail,Tramway - T,1909
30,33,35,light_rail,Tramway - R,1909
31,33,36,light_rail,Tramway - R,1909
32,34,37,light_rail,Tramway - R,1909
33,36,37,light_rail,Tramway - R,1909
