nodeID_from,nodeID_to,mode,line,year
0,1,default,nan - Línea 1 (Tramo 1B),2011
1,2,default,nan - Línea 1 (Tramo 1B),2011
2,3,default,nan - Línea 1 (Tramo 1B),2011
3,4,default,nan - Línea 1 (Tramo 1B),2011
4,5,default,nan - Línea 1 (Tramo 1B),2011
5,6,default,nan - Línea 1 (Tramo 1B),2011
6,7,default,nan - Línea 1 (Tramo 1B),2011
7,8,default,nan - Línea 1 (Tramo 1B),2011
9,10,default,nan - Línea 1 (Tramo 2),2014
10,11,default,nan - Línea 1 (Tramo 2),2014
11,12,default,nan - Línea 1 (Tramo 2),2014
12,13,default,nan - Línea 1 (Tramo 2),2014
13,14,default,nan - Línea 1 (Tramo 2),2014
14,15,default,nan - Línea 1 (Tramo 2),2014
15,16,default,nan - Línea 1 (Tramo 2),2014
16,17,default,nan - Línea 1 (Tramo 2),2014
17,18,default,nan - Línea 1 (Tramo 2),2014
19,20,default,nan - Línea 1 (Tramo 1A),1990
19,25,default,nan - Línea 1 (Tramo 1A),1990
20,21,default,nan - Línea 1 (Tramo 1A),1990
21,22,default,nan - Línea 1 (Tramo 1A),1990
22,23,default,nan - Línea 1 (Tramo 1A),1990
23,24,default,nan - Línea 1 (Tramo 1A),1990
26,27,default,nan - Línea 2 (Tramo 1A),99999
27,28,default,nan - Línea 2 (Tramo 1A),99999
28,29,default,nan - Línea 2 (Tramo 1A),99999
29,30,default,nan - Línea 2 (Tramo 1A),99999
