nodeID,nodeLabel,latitude,longitude,mode,year
0,"Jorge Chávez

",-76.99097195394425,-12.142559483741849,default,2011.0
1,"Ayacucho

",-76.99678979870883,-12.13486943003096,default,2011.0
2,"Los Cabitos

",-77.0003927698205,-12.12729336918511,default,2011.0
3,"Angamos

",-77.00034030060998,-12.110282072715762,default,2011.0
4,"San Borja Sur

",-77.00178738940865,-12.100262270636236,default,2011.0
5,"La Cultura 

",-77.00374802529241,-12.086734263030337,default,2011.0
6,"Nicolás Arriola

",-77.01102763834079,-12.074799076261684,default,2011.0
7,"Gamarra

",-77.01223642056716,-12.065798492080503,default,2011.0
8,"Miguel Grau

",-77.01278635318054,-12.05427213131,default,2011.0
9,"El Ángel 

",-77.00973604342435,-12.045968456224017,default,2014.0
10,"Prebístero Maestro

",-77.0114930752982,-12.041623064072809,default,2014.0
11,"Caja de Agua

",-77.0112289942893,-12.027853831704846,default,2014.0
12,"Pirámide del Sol

",-77.00255909992912,-12.017908704432315,default,2014.0
13,"Los Jardines

",-77.00530569113748,-12.006967508425035,default,2014.0
14,"Los Postes

",-77.00991557389597,-11.996125278098589,default,2014.0
15,"San Carlos

",-77.0066848010229,-11.984797903267847,default,2014.0
16,"San Martín

",-76.9997935427173,-11.974475898502632,default,2014.0
17,"Santa Rosa

",-76.99344296458685,-11.968117251046948,default,2014.0
18,"Bayóvar

",-76.98748755900543,-11.959781222044597,default,2014.0
19,"San Juan

",-76.9657099275403,-12.156441917459404,default,2011.0
20,"María Auxiliadora

",-76.9562947929515,-12.161215801886541,default,2011.0
21,"Villa María

",-76.9503417161214,-12.169313035216845,default,2011.0
22,"Pumacahua

",-76.9470316456826,-12.181726689255356,default,2011.0
23,"Parque Industrial

",-76.93983703910693,-12.19644955739227,default,2011.0
24,"Villa el Salvador

",-76.93332648282033,-12.207397795253556,default,2011.0
25,"Atocongo

",-76.97928817401761,-12.15104239899101,default,2011.0
26,"
Evitamiento",-76.97324208737894,-12.058410589071684,default,999999.0
27,"
Óvalo Santa Anita   ",-76.96451637987106,-12.0547182120809,default,999999.0
28,"
Colectora Industrial",-76.95613449947265,-12.051077800795227,default,999999.0
29,"
Hermilio Valdizán",-76.9496764905053,-12.048343655895,default,999999.0
30,"
Mercado Santa Anita",-76.9384651878705,-12.044125759995453,default,999999.0
