,nodeID_from,nodeID_to,mode,line,year
0,2,3,default,Comboios de Portugal - Santa Apolónia,1900
1,4,5,default,Comboios de Portugal - Cais do Sodré,1889
2,6,14,default,Metro - Verde,1998
3,7,9,default,Metro - Verde,1998
4,7,10,default,Metro - Verde,1998
5,8,11,default,Metro - Verde,2002
6,8,6,default,Metro - Verde,2002
7,9,13,default,Metro - Verde,1998
8,12,14,default,Metro - Verde,1998
9,12,13,default,Metro - Verde,1998
10,15,22,default,Metro - Amarela,1995
11,15,25,default,Metro - Amarela,1995
12,16,22,default,Metro - Amarela,1997
13,16,17,default,Metro - Amarela,1997
14,18,20,default,Metro - Amarela,2004
15,19,23,default,Metro - Amarela,2004
16,19,24,default,Metro - Amarela,2004
17,20,24,default,Metro - Amarela,2004
18,21,25,default,Metro - Amarela,1995
19,18,21,default,Metro - Amarela,1995
20,26,28,default,Metro - Vermelha,2012
21,27,29,default,Metro - Vermelha,2009
22,27,30,default,Metro - Vermelha,2009
23,28,30,default,Metro - Vermelha,2012
24,31,32,default,Metro - Azul,2007
25,32,33,default,Metro - Azul,1998
26,33,34,default,Metro - Azul,1959
27,34,39,default,Metro - Azul,1959
28,35,39,default,Metro - Azul,1959
29,35,37,default,Metro - Azul,1959
30,36,41,default,Metro - Azul,1982
31,36,40,default,Metro - Azul,1982
32,37,40,default,Metro - Azul,1959
33,38,31,default,Metro - Azul,2007
34,41,46,default,Metro - Azul,1982
35,42,44,default,Metro - Azul,1997
36,42,45,default,Metro - Azul,2004
37,43,45,default,Metro - Azul,2004
38,44,46,default,Metro - Azul,1997
