nodeID_from,nodeID_to,mode,line,year
0,39,heavy_rail,(TfL) Underground - Northern,1926
0,7,heavy_rail,(TfL) Underground - Northern,1926
1,12,heavy_rail,(TfL) Underground - Northern,1900
1,41,heavy_rail,(TfL) Underground - Northern,1900
2,50,heavy_rail,(TfL) Underground - Northern,1926
2,3,heavy_rail,(TfL) Underground - Northern,1926
3,9,heavy_rail,(TfL) Underground - Northern,1926
4,11,heavy_rail,(TfL) Underground - Northern,1926
4,13,heavy_rail,(TfL) Underground - Northern,1890
5,6,heavy_rail,(TfL) Underground - Northern,1926
5,49,heavy_rail,(TfL) Underground - Northern,1926
7,11,heavy_rail,(TfL) Underground - Northern,1926
7,12,heavy_rail,(TfL) Underground - Northern,1890
8,50,heavy_rail,(TfL) Underground - Northern,1926
8,49,heavy_rail,(TfL) Underground - Northern,1926
9,10,heavy_rail,(TfL) Underground - Northern,1926
10,13,heavy_rail,(TfL) Underground - Northern,1900
13,46,heavy_rail,(TfL) Underground - Northern,2020
14,37,heavy_rail,(TfL) Underground - Northern,1924
15,19,heavy_rail,(TfL) Underground - Northern,1939
16,28,heavy_rail,(TfL) Underground - Northern,1872
16,26,heavy_rail,(TfL) Underground - Northern,1872
17,52,heavy_rail,(TfL) Underground - Northern,1907
17,35,heavy_rail,(TfL) Underground - Northern,1907
18,22,heavy_rail,(TfL) Underground - Northern,1907
18,23,heavy_rail,(TfL) Underground - Northern,1923
19,52,heavy_rail,(TfL) Underground - Northern,1939
20,24,heavy_rail,(TfL) Underground - Northern,1923
20,23,heavy_rail,(TfL) Underground - Northern,1923
21,37,heavy_rail,(TfL) Underground - Northern,1924
21,24,heavy_rail,(TfL) Underground - Northern,1924
22,36,heavy_rail,(TfL) Underground - Northern,1907
25,26,heavy_rail,(TfL) Underground - Northern,1867
27,15,heavy_rail,(TfL) Underground - Northern,1867
27,26,heavy_rail,(TfL) Underground - Northern,1867
28,42,heavy_rail,(TfL) Underground - Northern,1872
29,42,heavy_rail,(TfL) Underground - Northern,1872
30,40,heavy_rail,(TfL) Underground - Northern,1907
30,33,heavy_rail,(TfL) Underground - Northern,1907
31,33,heavy_rail,(TfL) Underground - Northern,1907
31,32,heavy_rail,(TfL) Underground - Northern,1907
34,45,heavy_rail,(TfL) Underground - Northern,1904
34,47,heavy_rail,(TfL) Underground - Northern,1907
