,nodeID_from,nodeID_to,mode,line,year
0,0,22,default,Tramway - 4,0
1,1,24,default,Tramway - 4,0
2,2,21,default,Tramway - 4,0
3,3,20,default,Tramway - 4,0
4,4,8,default,Tramway - 4,0
5,5,21,default,Tramway - 4,0
6,6,9,default,Tramway - 4,0
7,6,2,default,Tramway - 4,0
8,7,3,default,Tramway - 4,0
9,7,17,default,Tramway - 4,0
10,8,20,default,Tramway - 4,0
11,9,4,default,Tramway - 4,0
12,10,18,default,Tramway - 4,0
13,10,13,default,Tramway - 4,0
14,11,14,default,Tramway - 4,0
15,11,13,default,Tramway - 4,0
16,12,22,default,Tramway - 4,0
17,14,12,default,Tramway - 4,0
18,15,16,default,Tramway - 4,0
19,15,18,default,Tramway - 4,0
20,16,17,default,Tramway - 4,0
21,19,22,default,Tramway - 4,0
22,23,25,default,Tramway - 4,0
23,24,25,default,Tramway - 4,0
24,26,1,default,Tramway - 4,0
25,17,2,default,Tramway - 4,0
26,19,23,default,Tramway - 4,0
27,27,28,default,Métro de Lyon - B,2000
28,27,29,default,Métro de Lyon - B,2000
29,28,31,default,Métro de Lyon - B,2000
30,29,30,default,Métro de Lyon - B,2000
31,30,35,default,Métro de Lyon - B,1981
32,32,31,default,Métro de Lyon - B,2013
33,33,36,default,Métro de Lyon - B,1978
34,33,34,default,Métro de Lyon - B,1981
35,35,34,default,Métro de Lyon - B,1981
36,37,40,default,Métro de Lyon - C,1984
37,38,41,default,Métro de Lyon - C,1978
38,38,39,default,Métro de Lyon - C,1974
39,39,40,default,Métro de Lyon - C,1984
40,42,51,default,Métro de Lyon - D,1997
41,43,44,default,Métro de Lyon - D,1991
42,44,46,default,Métro de Lyon - D,1991
43,45,50,default,Métro de Lyon - D,1992
44,45,53,default,Métro de Lyon - D,1992
45,46,47,default,Métro de Lyon - D,1991
46,47,48,default,Métro de Lyon - D,1991
47,49,50,default,Métro de Lyon - D,1991
48,49,48,default,Métro de Lyon - D,1991
49,51,52,default,Métro de Lyon - D,1997
50,53,54,default,Métro de Lyon - D,1992
51,54,55,default,Métro de Lyon - D,1992
52,55,56,default,Métro de Lyon - D,1992
53,48,42,default,Métro de Lyon - D,1991
54,57,68,default,Métro de Lyon - A,1978
55,57,62,default,Métro de Lyon - A,1978
56,58,69,default,Métro de Lyon - A,1978
