,nodeID_from,nodeID_to,mode,line,year
0,0,1,light_rail,Metro Ligero - ML1,2007
1,1,2,light_rail,Metro Ligero - ML1,2007
2,2,4,light_rail,Metro Ligero - ML1,2007
3,3,8,light_rail,Metro Ligero - ML1,2007
4,4,5,light_rail,Metro Ligero - ML1,2007
5,5,6,light_rail,Metro Ligero - ML1,2007
6,6,7,light_rail,Metro Ligero - ML1,2007
7,7,8,light_rail,Metro Ligero - ML1,2007
8,11,31,heavy_rail,Metro - L2,2011
9,12,18,heavy_rail,Metro - L2,1925
10,12,19,heavy_rail,Metro - L2,1929
11,13,19,heavy_rail,Metro - L2,1929
12,14,35,heavy_rail,Metro - L2,1925
13,14,24,heavy_rail,Metro - L2,1924
14,15,26,heavy_rail,Metro - L2,1924
15,15,24,heavy_rail,Metro - L2,1924
16,16,27,heavy_rail,Metro - L2,1925
17,16,17,heavy_rail,Metro - L2,1925
18,17,18,heavy_rail,Metro - L2,1925
19,20,21,heavy_rail,Metro - L2,1932
20,20,26,heavy_rail,Metro - L2,1932
21,21,22,heavy_rail,Metro - L2,1932
22,23,25,heavy_rail,Metro - L2,2007
23,23,28,heavy_rail,Metro - L2,2007
24,25,21,heavy_rail,Metro - L2,1932
25,27,35,heavy_rail,Metro - L2,1925
26,28,33,heavy_rail,Metro - L2,2007
27,29,30,heavy_rail,Metro - L2,1964
28,29,33,heavy_rail,Metro - L2,2007
29,30,36,heavy_rail,Metro - L2,1964
30,31,32,heavy_rail,Metro - L2,2011
31,32,34,heavy_rail,Metro - L2,2011
32,34,33,heavy_rail,Metro - L2,2011
33,15,21,heavy_rail,Metro - L2,1932
34,37,41,heavy_rail,Metro - L3,1941
35,37,43,heavy_rail,Metro - L3,1941
36,38,39,heavy_rail,Metro - L3,1936
37,39,42,heavy_rail,Metro - L3,1949
38,40,42,heavy_rail,Metro - L3,1951
39,40,54,heavy_rail,Metro - L3,1951
40,41,52,heavy_rail,Metro - L3,1963
41,43,51,heavy_rail,Metro - L3,1941
42,44,50,heavy_rail,Metro - L3,2007
43,44,54,heavy_rail,Metro - L3,2007
44,45,50,heavy_rail,Metro - L3,2007
45,45,46,heavy_rail,Metro - L3,2007
46,46,47,heavy_rail,Metro - L3,2007
47,47,48,heavy_rail,Metro - L3,2007
48,49,48,heavy_rail,Metro - L3,2025
49,51,38,heavy_rail,Metro - L3,1941
50,52,53,heavy_rail,Metro - L3,2007
51,55,62,heavy_rail,Metro - L4,1944
52,55,60,heavy_rail,Metro - L4,1944
53,56,76,heavy_rail,Metro - L4,1944
54,56,57,heavy_rail,Metro - L4,1944
55,57,58,heavy_rail,Metro - L4,1944
56,58,59,heavy_rail,Metro - L4,1973
57,59,63,heavy_rail,Metro - L4,1973
58,60,61,heavy_rail,Metro - L4,1944
59,62,76,heavy_rail,Metro - L4,1944
60,63,77,heavy_rail,Metro - L4,1973
61,64,65,heavy_rail,Metro - L4,1979
62,64,74,heavy_rail,Metro - L4,1998
63,65,66,heavy_rail,Metro - L4,1979
64,66,77,heavy_rail,Metro - L4,1973
65,67,68,heavy_rail,Metro - L4,1998
66,67,74,heavy_rail,Metro - L4,1998
67,68,69,heavy_rail,Metro - L4,1998
68,69,70,heavy_rail,Metro - L4,1998
69,70,72,heavy_rail,Metro - L4,2007
70,71,75,heavy_rail,Metro - L4,2007
71,71,72,heavy_rail,Metro - L4,2007
72,73,61,heavy_rail,Metro - L4,1944
73,62,60,heavy_rail,Metro - L4,1944
74,78,93,heavy_rail,Metro - L5,1970
75,78,96,heavy_rail,Metro - L5,1970
76,79,89,heavy_rail,Metro - L5,1968
77,79,102,heavy_rail,Metro - L5,1968
78,80,98,heavy_rail,Metro - L5,1970
79,80,81,heavy_rail,Metro - L5,1970
80,81,85,heavy_rail,Metro - L5,1970
81,82,84,heavy_rail,Metro - L5,2002
82,82,83,heavy_rail,Metro - L5,2002
83,83,89,heavy_rail,Metro - L5,1968
84,84,90,heavy_rail,Metro - L5,2002
85,85,86,heavy_rail,Metro - L5,1970
86,86,96,heavy_rail,Metro - L5,1970
87,87,88,heavy_rail,Metro - L5,2006
88,87,91,heavy_rail,Metro - L5,2006
89,91,104,heavy_rail,Metro - L5,2006
90,92,100,heavy_rail,Metro - L5,1968
91,92,97,heavy_rail,Metro - L5,1968
92,93,94,heavy_rail,Metro - L5,1964
93,94,95,heavy_rail,Metro - L5,1964
94,95,108,heavy_rail,Metro - L5,1980
95,97,107,heavy_rail,Metro - L5,1968
96,98,103,heavy_rail,Metro - L5,1970
97,99,100,heavy_rail,Metro - L5,1968
98,99,101,heavy_rail,Metro - L5,1968
99,100,106,heavy_rail,Metro - L5,1968
100,101,102,heavy_rail,Metro - L5,1968
101,103,107,heavy_rail,Metro - L5,1968
102,104,105,heavy_rail,Metro - L5,1980
103,105,108,heavy_rail,Metro - L5,1980
104,97,101,heavy_rail,Metro - L5,1968
105,109,115,heavy_rail,Metro - L6,1987
106,109,124,heavy_rail,Metro - L6,1979
107,110,121,heavy_rail,Metro - L6,1981
108,110,111,heavy_rail,Metro - L6,1983
109,111,114,heavy_rail,Metro - L6,1995
110,112,115,heavy_rail,Metro - L6,1987
111,112,125,heavy_rail,Metro - L6,1995
112,113,117,heavy_rail,Metro - L6,1981
113,113,135,heavy_rail,Metro - L6,1981
114,114,127,heavy_rail,Metro - L6,1995
115,116,118,heavy_rail,Metro - L6,1979
116,116,133,heavy_rail,Metro - L6,1979
117,117,121,heavy_rail,Metro - L6,1981
118,118,119,heavy_rail,Metro - L6,1979
119,119,120,heavy_rail,Metro - L6,1979
120,120,122,heavy_rail,Metro - L6,1979
121,122,123,heavy_rail,Metro - L6,1979
122,123,124,heavy_rail,Metro - L6,1979
123,125,132,heavy_rail,Metro - L6,1995
124,126,127,heavy_rail,Metro - L6,1995
125,126,128,heavy_rail,Metro - L6,1995
126,128,129,heavy_rail,Metro - L6,1995
127,129,131,heavy_rail,Metro - L6,1995
128,130,136,heavy_rail,Metro - L6,1981
129,130,134,heavy_rail,Metro - L6,1981
130,131,132,heavy_rail,Metro - L6,1995
131,133,136,heavy_rail,Metro - L6,1979
132,134,135,heavy_rail,Metro - L6,1981
133,123,116,heavy_rail,Metro - L6,1979
134,117,135,heavy_rail,Metro - L6,1981
135,137,138,heavy_rail,Metro - L8,1999
136,137,144,heavy_rail,Metro - L8,2007
137,139,140,heavy_rail,Metro - L8,2002
138,140,143,heavy_rail,Metro - L8,2002
139,141,145,heavy_rail,Metro - L8,2002
140,142,145,heavy_rail,Metro - L8,2002
141,143,142,heavy_rail,Metro - L8,2002
142,139,137,heavy_rail,Metro - L8,1999
143,146,163,heavy_rail,Metro - L12,2003
144,146,165,heavy_rail,Metro - L12,2003
145,147,155,heavy_rail,Metro - L12,2003
146,147,169,heavy_rail,Metro - L12,2003
147,148,158,heavy_rail,Metro - L12,2003
148,148,160,heavy_rail,Metro - L12,2003
149,149,162,heavy_rail,Metro - L12,2003
150,149,160,heavy_rail,Metro - L12,2003
151,150,171,heavy_rail,Metro - L12,2003
152,150,152,heavy_rail,Metro - L12,2003
153,151,152,heavy_rail,Metro - L12,2003
154,152,154,heavy_rail,Metro - L12,2003
155,153,155,heavy_rail,Metro - L12,2003
156,154,156,heavy_rail,Metro - L12,2003
157,156,159,heavy_rail,Metro - L12,2003
158,157,169,heavy_rail,Metro - L12,2003
159,158,169,heavy_rail,Metro - L12,2003
160,159,161,heavy_rail,Metro - L12,2003
161,161,164,heavy_rail,Metro - L12,2003
162,162,163,heavy_rail,Metro - L12,2003
163,164,172,heavy_rail,Metro - L12,2003
164,166,167,heavy_rail,Metro - L12,2003
165,167,170,heavy_rail,Metro - L12,2003
166,168,172,heavy_rail,Metro - L12,2003
167,170,171,heavy_rail,Metro - L12,2003
168,173,175,heavy_rail,Metro - L11,1998
169,174,177,heavy_rail,Metro - L11,2006
170,174,175,heavy_rail,Metro - L11,2006
171,176,179,heavy_rail,Metro - L11,2010
172,177,179,heavy_rail,Metro - L11,2006
173,178,176,heavy_rail,Metro - L11,2010
174,180,211,heavy_rail,Metro - L1,1929
175,180,194,heavy_rail,Metro - L1,1929
176,181,185,heavy_rail,Metro - L1,1919
177,181,197,heavy_rail,Metro - L1,1919
178,182,187,heavy_rail,Metro - L1,1923
179,182,186,heavy_rail,Metro - L1,1921
180,183,190,heavy_rail,Metro - L1,1961
181,183,184,heavy_rail,Metro - L1,1929
182,184,211,heavy_rail,Metro - L1,1929
183,185,195,heavy_rail,Metro - L1,1919
184,186,196,heavy_rail,Metro - L1,1921
185,187,188,heavy_rail,Metro - L1,1923
186,188,210,heavy_rail,Metro - L1,1923
187,189,209,heavy_rail,Metro - L1,1962
188,189,210,heavy_rail,Metro - L1,1923
189,190,191,heavy_rail,Metro - L1,1961
190,191,193,heavy_rail,Metro - L1,2007
191,192,193,heavy_rail,Metro - L1,2007
192,192,199,heavy_rail,Metro - L1,2007
193,194,195,heavy_rail,Metro - L1,1919
194,196,198,heavy_rail,Metro - L1,1921
195,197,198,heavy_rail,Metro - L1,1919
196,200,201,heavy_rail,Metro - L1,2007
197,201,202,heavy_rail,Metro - L1,2007
198,202,203,heavy_rail,Metro - L1,2007
199,203,205,heavy_rail,Metro - L1,2007
200,204,206,heavy_rail,Metro - L1,1999
201,206,207,heavy_rail,Metro - L1,1994
202,207,208,heavy_rail,Metro - L1,1994
203,208,209,heavy_rail,Metro - L1,1962
204,181,195,heavy_rail,Metro - L1,1919
205,205,204,heavy_rail,Metro - L1,1999
206,212,214,heavy_rail,Metro - L7,1974
207,212,218,heavy_rail,Metro - L7,1975
208,213,240,heavy_rail,Metro - L7,1975
209,213,227,heavy_rail,Metro - L7,1998
210,214,220,heavy_rail,Metro - L7,1974
211,215,219,heavy_rail,Metro - L7,1974
212,215,216,heavy_rail,Metro - L7,1974
213,216,220,heavy_rail,Metro - L7,1974
214,217,237,heavy_rail,Metro - L7,2008
215,217,234,heavy_rail,Metro - L7,2007
216,218,241,heavy_rail,Metro - L7,1975
217,219,239,heavy_rail,Metro - L7,2007
218,221,223,heavy_rail,Metro - L7,1999
219,221,232,heavy_rail,Metro - L7,1999
220,222,235,heavy_rail,Metro - L7,2007
221,222,238,heavy_rail,Metro - L7,2007
222,223,231,heavy_rail,Metro - L7,1999
223,224,229,heavy_rail,Metro - L7,1999
224,224,225,heavy_rail,Metro - L7,1999
225,225,226,heavy_rail,Metro - L7,1999
226,227,229,heavy_rail,Metro - L7,1998
227,228,230,heavy_rail,Metro - L7,1999
228,228,226,heavy_rail,Metro - L7,1999
229,230,233,heavy_rail,Metro - L7,1999
230,232,233,heavy_rail,Metro - L7,1999
231,234,236,heavy_rail,Metro - L7,2008
232,236,237,heavy_rail,Metro - L7,2008
233,238,234,heavy_rail,Metro - L7,2007
234,240,241,heavy_rail,Metro - L7,1975
235,228,233,heavy_rail,Metro - L7,1999
236,239,238,heavy_rail,Metro - L7,2007
237,242,243,heavy_rail,Metro - L9,1999
238,243,244,heavy_rail,Metro - L9,1999
239,244,248,heavy_rail,Metro - L9,1999
240,245,248,heavy_rail,Metro - L9,1999
241,246,249,heavy_rail,Metro - L9,2011
242,246,247,heavy_rail,Metro - L9,2015
243,249,250,heavy_rail,Metro - L9,2011
244,250,257,heavy_rail,Metro - L9,1983
245,251,252,heavy_rail,Metro - L9,1983
246,251,270,heavy_rail,Metro - L9,1983
247,252,253,heavy_rail,Metro - L9,1983
248,253,254,heavy_rail,Metro - L9,1983
249,254,255,heavy_rail,Metro - L9,1983
250,255,263,heavy_rail,Metro - L9,1986
251,256,257,heavy_rail,Metro - L9,1983
252,256,270,heavy_rail,Metro - L9,1983
253,258,268,heavy_rail,Metro - L9,1980
254,258,259,heavy_rail,Metro - L9,1980
255,259,260,heavy_rail,Metro - L9,1999
256,260,265,heavy_rail,Metro - L9,1999
257,261,262,heavy_rail,Metro - L9,1986
258,261,263,heavy_rail,Metro - L9,1986
259,262,269,heavy_rail,Metro - L9,1986
260,264,267,heavy_rail,Metro - L9,1999
261,264,266,heavy_rail,Metro - L9,1999
262,265,267,heavy_rail,Metro - L9,1999
263,268,269,heavy_rail,Metro - L9,1986
264,266,245,heavy_rail,Metro - L9,1999
265,253,270,heavy_rail,Metro - L9,1983
266,271,294,heavy_rail,Metro - L10,2007
267,271,284,heavy_rail,Metro - L10,2007
268,272,273,heavy_rail,Metro - L10,2007
269,273,274,heavy_rail,Metro - L10,2007
270,274,275,heavy_rail,Metro - L10,2007
271,276,280,heavy_rail,Metro - L10,1981
272,276,277,heavy_rail,Metro - L10,1961
273,277,278,heavy_rail,Metro - L10,1961
274,278,279,heavy_rail,Metro - L10,2002
275,279,301,heavy_rail,Metro - L10,2003
276,280,285,heavy_rail,Metro - L10,1981
277,281,282,heavy_rail,Metro - L10,2007
278,281,274,heavy_rail,Metro - L10,2007
279,283,300,heavy_rail,Metro - L10,2007
