nodeID_from,nodeID_to,mode,line,year
0,3,heavy_rail,Manila Metro Rail Transit System - Line 9 (Metro Manila Subway),2029
0,6,heavy_rail,Manila Metro Rail Transit System - Line 9 (Metro Manila Subway),2029
1,2,heavy_rail,Manila Metro Rail Transit System - Line 9 (Metro Manila Subway),2027
2,3,heavy_rail,Manila Metro Rail Transit System - Line 9 (Metro Manila Subway),2029
4,5,heavy_rail,Manila Metro Rail Transit System - Line 9 (Metro Manila Subway),2029
4,10,heavy_rail,Manila Metro Rail Transit System - Line 9 (Metro Manila Subway),2029
5,11,heavy_rail,Manila Metro Rail Transit System - Line 9 (Metro Manila Subway),2029
6,7,heavy_rail,Manila Metro Rail Transit System - Line 9 (Metro Manila Subway),2029
7,8,heavy_rail,Manila Metro Rail Transit System - Line 9 (Metro Manila Subway),2029
8,9,heavy_rail,Manila Metro Rail Transit System - Line 9 (Metro Manila Subway),2029
9,10,heavy_rail,Manila Metro Rail Transit System - Line 9 (Metro Manila Subway),2029
11,12,heavy_rail,Manila Metro Rail Transit System - Line 9 (Metro Manila Subway),2029
12,13,heavy_rail,Manila Metro Rail Transit System - Line 9 (Metro Manila Subway),2029
10,11,heavy_rail,Manila Metro Rail Transit System - Line 9 (Metro Manila Subway),2029
14,15,heavy_rail,Manila Light Rail Transit System - Line 2,2003
14,16,heavy_rail,Manila Light Rail Transit System - Line 2,2003
15,17,heavy_rail,Manila Light Rail Transit System - Line 2,2003
16,25,heavy_rail,Manila Light Rail Transit System - Line 2,2021
17,18,heavy_rail,Manila Light Rail Transit System - Line 2,2004
18,19,heavy_rail,Manila Light Rail Transit System - Line 2,2004
19,20,heavy_rail,Manila Light Rail Transit System - Line 2,2004
20,21,heavy_rail,Manila Light Rail Transit System - Line 2,2004
21,24,heavy_rail,Manila Light Rail Transit System - Line 2,2004
22,23,heavy_rail,Manila Light Rail Transit System - Line 2,2004
22,24,heavy_rail,Manila Light Rail Transit System - Line 2,2004
23,28,heavy_rail,Manila Light Rail Transit System - Line 2,2025
25,26,heavy_rail,Manila Light Rail Transit System - Line 2,2021
27,29,heavy_rail,Manila Light Rail Transit System - Line 2,2025
28,29,heavy_rail,Manila Light Rail Transit System - Line 2,2025
30,34,heavy_rail,Manila Metro Rail Transit System - Line 7,2025
31,34,heavy_rail,Manila Metro Rail Transit System - Line 7,2025
32,33,heavy_rail,Manila Metro Rail Transit System - Line 7,2025
33,30,heavy_rail,Manila Metro Rail Transit System - Line 7,2025
35,36,heavy_rail,Manila Metro Rail Transit System - Line 7,2025
36,37,heavy_rail,Manila Metro Rail Transit System - Line 7,2025
37,38,heavy_rail,Manila Metro Rail Transit System - Line 7,2025
38,39,heavy_rail,Manila Metro Rail Transit System - Line 7,2025
39,40,heavy_rail,Manila Metro Rail Transit System - Line 7,2025
40,41,heavy_rail,Manila Metro Rail Transit System - Line 7,2025
41,42,heavy_rail,Manila Metro Rail Transit System - Line 7,2025
40,31,heavy_rail,Manila Metro Rail Transit System - Line 7,2025
43,44,ferry,Pasig River Ferry - Guadalupe - Maybunga,2007
45,47,ferry,Pasig River Ferry - Guadalupe - Pinagbuhatan,2007
46,47,ferry,Pasig River Ferry - Guadalupe - Pinagbuhatan,2007
48,49,ferry,Pasig River Ferry - Guadalupe - Plaza Mexico (Intramuros),2007
49,50,ferry,Pasig River Ferry - Guadalupe - Plaza Mexico (Intramuros),2007
51,53,ferry,Pasig River Ferry - Guadalupe - Plaza Mexico (Intramuros),2007
52,53,ferry,Pasig River Ferry - Guadalupe - Plaza Mexico (Intramuros),2007
54,55,ferry,Pasig River Ferry - Guadalupe - Plaza Mexico (Intramuros),2007
54,53,ferry,Pasig River Ferry - Guadalupe - Plaza Mexico (Intramuros),2007
55,56,ferry,Pasig River Ferry - Guadalupe - Plaza Mexico (Intramuros),2007
53,50,ferry,Pasig River Ferry - Guadalupe - Plaza Mexico (Intramuros),2007
57,75,light_rail,Manila Light Rail Transit System - Line 1,1984
57,58,light_rail,Manila Light Rail Transit System - Line 1,1984
58,59,light_rail,Manila Light Rail Transit System - Line 1,1984
59,60,light_rail,Manila Light Rail Transit System - Line 1,1984
60,61,light_rail,Manila Light Rail Transit System - Line 1,1984
61,62,light_rail,Manila Light Rail Transit System - Line 1,1984
62,85,light_rail,Manila Light Rail Transit System - Line 1,1984
63,64,light_rail,Manila Light Rail Transit System - Line 1,1985
63,85,light_rail,Manila Light Rail Transit System - Line 1,1985
64,65,light_rail,Manila Light Rail Transit System - Line 1,1985
65,66,light_rail,Manila Light Rail Transit System - Line 1,1985
66,67,light_rail,Manila Light Rail Transit System - Line 1,1985
67,68,light_rail,Manila Light Rail Transit System - Line 1,1985
68,69,light_rail,Manila Light Rail Transit System - Line 1,1985
69,70,light_rail,Manila Light Rail Transit System - Line 1,1985
70,71,light_rail,Manila Light Rail Transit System - Line 1,1985
71,72,light_rail,Manila Light Rail Transit System - Line 1,2010
73,74,light_rail,Manila Light Rail Transit System - Line 1,2024
73,72,light_rail,Manila Light Rail Transit System - Line 1,2010
74,84,light_rail,Manila Light Rail Transit System - Line 1,2024
75,82,light_rail,Manila Light Rail Transit System - Line 1,2025
76,77,light_rail,Manila Light Rail Transit System - Line 1,2025
76,83,light_rail,Manila Light Rail Transit System - Line 1,2025
77,81,light_rail,Manila Light Rail Transit System - Line 1,2025
78,80,light_rail,Manila Light Rail Transit System - Line 1,2027
79,80,light_rail,Manila Light Rail Transit System - Line 1,2027
79,83,light_rail,Manila Light Rail Transit System - Line 1,2027
81,82,light_rail,Manila Light Rail Transit System - Line 1,2025
86,87,light_rail,Manila Metro Rail Transit System - Line 3,1999
86,99,light_rail,Manila Metro Rail Transit System - Line 3,2024
87,88,light_rail,Manila Metro Rail Transit System - Line 3,1999
88,89,light_rail,Manila Metro Rail Transit System - Line 3,1999
89,90,light_rail,Manila Metro Rail Transit System - Line 3,1999
90,91,light_rail,Manila Metro Rail Transit System - Line 3,1999
91,92,light_rail,Manila Metro Rail Transit System - Line 3,1999
92,93,light_rail,Manila Metro Rail Transit System - Line 3,1999
94,95,light_rail,Manila Metro Rail Transit System - Line 3,2000
94,93,light_rail,Manila Metro Rail Transit System - Line 3,2000
95,96,light_rail,Manila Metro Rail Transit System - Line 3,2000
96,97,light_rail,Manila Metro Rail Transit System - Line 3,2000
98,99,light_rail,Manila Metro Rail Transit System - Line 3,2024
100,101,commuter_rail,PNR - Metro North Commuter,0
101,102,commuter_rail,PNR - Metro North Commuter,0
102,103,commuter_rail,PNR - Metro North Commuter,0
103,104,commuter_rail,PNR - Metro North Commuter,0
104,105,commuter_rail,PNR - Metro North Commuter,0
106,107,commuter_rail,PNR - Metro South Commuter,0
106,117,commuter_rail,PNR - Metro South Commuter,0
107,108,commuter_rail,PNR - Metro South Commuter,0
109,110,commuter_rail,PNR - Metro South Commuter,0
109,108,commuter_rail,PNR - Metro South Commuter,0
110,111,commuter_rail,PNR - Metro South Commuter,0
111,112,commuter_rail,PNR - Metro South Commuter,0
112,113,commuter_rail,PNR - Metro South Commuter,0
113,114,commuter_rail,PNR - Metro South Commuter,0
114,115,commuter_rail,PNR - Metro South Commuter,0
115,118,commuter_rail,PNR - Metro South Commuter,0
116,119,commuter_rail,PNR - Metro South Commuter,0
116,118,commuter_rail,PNR - Metro South Commuter,0
119,120,commuter_rail,PNR - Metro South Commuter,0
120,121,commuter_rail,PNR - Metro South Commuter,0
121,122,commuter_rail,PNR - Metro South Commuter,0
122,123,commuter_rail,PNR - Metro South Commuter,0
123,124,commuter_rail,PNR - Metro South Commuter,0
124,125,commuter_rail,PNR - Metro South Commuter,0
125,126,commuter_rail,PNR - Metro South Commuter,0
126,127,commuter_rail,PNR - Metro South Commuter,0
127,128,commuter_rail,PNR - Metro South Commuter,0
128,129,commuter_rail,PNR - Metro South Commuter,0
120,109,commuter_rail,PNR - Metro South Commuter,0
