nodeID_from,nodeID_to,mode,line,year
3,5,heavy_rail,Metro Trains Melbourne - Lilydale Line,1981
4,6,heavy_rail,Metro Trains Melbourne - Lilydale Line,1981
5,6,heavy_rail,Metro Trains Melbourne - Lilydale Line,1981
7,9,heavy_rail,Metro Trains Melbourne - Lilydale Line,1981
8,9,heavy_rail,Metro Trains Melbourne - Lilydale Line,1981
8,10,heavy_rail,Metro Trains Melbourne - Lilydale Line,1981
11,13,heavy_rail,Metro Trains Melbourne - Hurstbridge Line,1981
12,14,heavy_rail,Metro Trains Melbourne - Hurstbridge Line,1981
13,14,heavy_rail,Metro Trains Melbourne - Hurstbridge Line,1981
15,22,heavy_rail,Metro Trains Melbourne - Frankston Line,1859
15,19,heavy_rail,Metro Trains Melbourne - Frankston Line,1859
16,17,heavy_rail,Metro Trains Melbourne - Frankston Line,1857
17,18,heavy_rail,Metro Trains Melbourne - Frankston Line,1857
18,19,heavy_rail,Metro Trains Melbourne - Frankston Line,1859
20,23,heavy_rail,Metro Trains Melbourne - Frankston Line,1859
20,22,heavy_rail,Metro Trains Melbourne - Frankston Line,1859
21,16,heavy_rail,Metro Trains Melbourne - Frankston Line,1857
24,28,heavy_rail,Metro Trains Melbourne - Craigieburn Line,1981
25,28,heavy_rail,Metro Trains Melbourne - Craigieburn Line,1981
26,25,heavy_rail,Metro Trains Melbourne - Craigieburn Line,1857
27,29,heavy_rail,Metro Trains Melbourne - Craigieburn Line,1981
28,29,heavy_rail,Metro Trains Melbourne - Craigieburn Line,1981
30,32,heavy_rail,Metro Trains Melbourne - Pakenham & cranbourne Line,1981
31,33,heavy_rail,Metro Trains Melbourne - Pakenham & cranbourne Line,1981
32,33,heavy_rail,Metro Trains Melbourne - Pakenham & cranbourne Line,1981
34,31,heavy_rail,Metro Trains Melbourne - Pakenham & cranbourne Line,1981
