nodeID_from,nodeID_to,mode,line,year
0,1,inter_city_rail,Secretaría de Comunicaciones y Transportes (SCT) - Tren interurbano México - Toluca,2018
1,2,inter_city_rail,Secretaría de Comunicaciones y Transportes (SCT) - Tren interurbano México - Toluca,2018
2,3,inter_city_rail,Secretaría de Comunicaciones y Transportes (SCT) - Tren interurbano México - Toluca,2018
4,5,inter_city_rail,Secretaría de Comunicaciones y Transportes (SCT) - Tren interurbano México - Toluca,2018
4,3,inter_city_rail,Secretaría de Comunicaciones y Transportes (SCT) - Tren interurbano México - Toluca,2018
6,34,brt,Metrobús - Línea 1,2005
6,27,brt,Metrobús - Línea 1,2005
7,10,brt,Metrobús - Línea 1,2008
8,9,brt,Metrobús - Línea 1,2008
8,11,brt,Metrobús - Línea 1,2008
9,10,brt,Metrobús - Línea 1,2008
11,12,brt,Metrobús - Línea 1,2008
12,13,brt,Metrobús - Línea 1,2008
13,14,brt,Metrobús - Línea 1,2008
14,15,brt,Metrobús - Línea 1,2008
15,17,brt,Metrobús - Línea 1,2008
16,50,brt,Metrobús - Línea 1,2008
17,16,brt,Metrobús - Línea 1,2008
18,30,brt,Metrobús - Línea 1,2005
18,44,brt,Metrobús - Línea 1,2005
19,20,brt,Metrobús - Línea 1,2005
20,21,brt,Metrobús - Línea 1,2005
21,22,brt,Metrobús - Línea 1,2005
22,23,brt,Metrobús - Línea 1,2005
23,24,brt,Metrobús - Línea 1,2005
24,25,brt,Metrobús - Línea 1,2005
25,26,brt,Metrobús - Línea 1,2005
28,40,brt,Metrobús - Línea 1,2005
28,44,brt,Metrobús - Línea 1,2005
29,43,brt,Metrobús - Línea 1,2005
29,51,brt,Metrobús - Línea 1,2005
30,41,brt,Metrobús - Línea 1,2005
31,42,brt,Metrobús - Línea 1,2005
31,43,brt,Metrobús - Línea 1,2005
32,41,brt,Metrobús - Línea 1,2005
32,42,brt,Metrobús - Línea 1,2005
33,46,brt,Metrobús - Línea 1,2005
33,47,brt,Metrobús - Línea 1,2005
34,40,brt,Metrobús - Línea 1,2005
35,51,brt,Metrobús - Línea 1,2005
35,45,brt,Metrobús - Línea 1,2005
36,46,brt,Metrobús - Línea 1,2005
36,45,brt,Metrobús - Línea 1,2005
37,48,brt,Metrobús - Línea 1,2005
37,47,brt,Metrobús - Línea 1,2005
38,48,brt,Metrobús - Línea 1,2005
38,49,brt,Metrobús - Línea 1,2005
39,49,brt,Metrobús - Línea 1,2005
39,50,brt,Metrobús - Línea 1,2005
15,9,brt,Metrobús - Línea 1,2008
26,39,brt,Metrobús - Línea 1,2005
52,61,brt,Metrobús - Línea 7,2017
52,62,brt,Metrobús - Línea 7,2017
53,56,brt,Metrobús - Línea 7,2017
53,54,brt,Metrobús - Línea 7,2017
54,57,brt,Metrobús - Línea 7,2017
55,56,brt,Metrobús - Línea 7,2017
57,58,brt,Metrobús - Línea 7,2017
58,59,brt,Metrobús - Línea 7,2017
59,60,brt,Metrobús - Línea 7,2017
60,61,brt,Metrobús - Línea 7,2017
62,65,brt,Metrobús - Línea 7,2017
63,65,brt,Metrobús - Línea 7,2017
63,66,brt,Metrobús - Línea 7,2017
64,66,brt,Metrobús - Línea 7,2017
67,68,brt,Metrobús - Línea 7,2017
67,64,brt,Metrobús - Línea 7,2017
68,69,brt,Metrobús - Línea 7,2017
69,70,brt,Metrobús - Línea 7,2017
70,71,brt,Metrobús - Línea 7,2017
71,72,brt,Metrobús - Línea 7,2017
72,73,brt,Metrobús - Línea 7,2017
73,74,brt,Metrobús - Línea 7,2017
74,75,brt,Metrobús - Línea 7,2017
75,76,brt,Metrobús - Línea 7,2017
76,77,brt,Metrobús - Línea 7,2017
77,78,brt,Metrobús - Línea 7,2017
78,79,brt,Metrobús - Línea 7,2017
79,82,brt,Metrobús - Línea 7,2017
80,81,brt,Metrobús - Línea 7,2017
80,79,brt,Metrobús - Línea 7,2017
81,82,brt,Metrobús - Línea 7,2017
83,82,brt,Metrobús - Línea 7,2017
61,77,brt,Metrobús - Línea 7,2017
84,86,brt,Metrobús - Línea 6,2016
84,114,brt,Metrobús - Línea 6,2016
85,87,brt,Metrobús - Línea 6,2016
86,98,brt,Metrobús - Línea 6,2016
87,91,brt,Metrobús - Línea 6,2016
88,89,brt,Metrobús - Línea 6,2016
89,90,brt,Metrobús - Línea 6,2016
90,92,brt,Metrobús - Línea 6,2016
91,95,brt,Metrobús - Línea 6,2016
92,93,brt,Metrobús - Línea 6,2016
93,94,brt,Metrobús - Línea 6,2016
94,96,brt,Metrobús - Línea 6,2016
95,100,brt,Metrobús - Línea 6,2016
96,97,brt,Metrobús - Línea 6,2016
97,99,brt,Metrobús - Línea 6,2016
98,117,brt,Metrobús - Línea 6,2016
99,101,brt,Metrobús - Línea 6,2016
101,102,brt,Metrobús - Línea 6,2016
