nodeID_from,nodeID_to,mode,line,year
0,2,heavy_rail,Metro - M1,1964.0
0,28,heavy_rail,Metro - M1,1986.0
1,18,heavy_rail,Metro - M1,1964.0
1,4,heavy_rail,Metro - M1,1964.0
2,3,heavy_rail,Metro - M1,1964.0
3,5,heavy_rail,Metro - M1,1964.0
4,8,heavy_rail,Metro - M1,1964.0
5,6,heavy_rail,Metro - M1,1964.0
6,7,heavy_rail,Metro - M1,1964.0
7,9,heavy_rail,Metro - M1,1964.0
8,11,heavy_rail,Metro - M1,1966.0
9,10,heavy_rail,Metro - M1,1964.0
10,12,heavy_rail,Metro - M1,1964.0
11,21,heavy_rail,Metro - M1,1966.0
12,13,heavy_rail,Metro - M1,1964.0
13,14,heavy_rail,Metro - M1,1964.0
14,16,heavy_rail,Metro - M1,1964.0
15,21,heavy_rail,Metro - M1,1966.0
15,19,heavy_rail,Metro - M1,1966.0
16,17,heavy_rail,Metro - M1,1964.0
17,18,heavy_rail,Metro - M1,1964.0
20,19,heavy_rail,Metro - M1,1975.0
20,25,heavy_rail,Metro - M1,1975.0
22,21,heavy_rail,Metro - M1,1966.0
22,23,heavy_rail,Metro - M1,1966.0
23,34,heavy_rail,Metro - M1,1975.0
24,33,heavy_rail,Metro - M1,1992.0
24,32,heavy_rail,Metro - M1,1992.0
25,35,heavy_rail,Metro - M1,1980.0
26,37,heavy_rail,Metro - M1,1980.0
26,36,heavy_rail,Metro - M1,1980.0
27,39,heavy_rail,Metro - M1,2005.0
28,31,heavy_rail,Metro - M1,1986.0
29,30,heavy_rail,Metro - M1,2021.0
30,31,heavy_rail,Metro - M1,2021.0
33,34,heavy_rail,Metro - M1,1975.0
35,36,heavy_rail,Metro - M1,1980.0
37,38,heavy_rail,Metro - M1,1986.0
38,39,heavy_rail,Metro - M1,2005.0
18,15,heavy_rail,Metro - M1,1966.0
40,49,heavy_rail,Metro - M5,2014.0
40,50,heavy_rail,Metro - M5,2015.0
41,58,heavy_rail,Metro - M5,2015.0
42,43,heavy_rail,Metro - M5,2013.0
43,44,heavy_rail,Metro - M5,2013.0
44,45,heavy_rail,Metro - M5,2013.0
45,46,heavy_rail,Metro - M5,2013.0
46,47,heavy_rail,Metro - M5,2013.0
47,48,heavy_rail,Metro - M5,2013.0
48,49,heavy_rail,Metro - M5,2014.0
