,nodeID_from,nodeID_to,mode,line,year
0,0,2,default,Tram - 20,0
1,0,1,default,Tram - 20,0
2,2,18,default,Tram - 20,0
3,3,4,default,Tram - 20,0
4,3,6,default,Tram - 20,0
5,5,6,default,Tram - 20,0
6,6,8,default,Tram - 20,0
7,7,18,default,Tram - 20,0
8,7,17,default,Tram - 20,0
9,8,10,default,Tram - 20,0
10,9,11,default,Tram - 20,0
11,9,4,default,Tram - 20,0
12,12,13,default,Tram - 20,0
13,12,21,default,Tram - 20,0
14,14,15,default,Tram - 20,0
15,14,10,default,Tram - 20,0
16,16,17,default,Tram - 20,0
17,19,20,default,Tram - 20,0
18,20,28,default,Tram - 20,0
19,21,23,default,Tram - 20,0
20,22,24,default,Tram - 20,0
21,22,26,default,Tram - 20,0
22,23,29,default,Tram - 20,0
23,25,26,default,Tram - 20,0
24,25,11,default,Tram - 20,0
25,27,28,default,Tram - 20,0
26,27,16,default,Tram - 20,0
27,29,30,default,Tram - 20,0
28,19,24,default,Tram - 20,0
29,15,13,default,Tram - 20,0
30,31,32,default,Tram - 17,0
31,32,43,default,Tram - 17,0
32,33,34,default,Tram - 17,0
33,34,35,default,Tram - 17,0
34,35,36,default,Tram - 17,0
35,37,38,default,Tram - 17,0
36,37,36,default,Tram - 17,0
37,38,39,default,Tram - 17,0
38,39,40,default,Tram - 17,0
39,41,44,default,Tram - 17,0
40,42,43,default,Tram - 17,0
41,44,42,default,Tram - 17,0
42,45,46,default,Tram - 17,0
43,45,103,default,Tram - 17,0
44,47,49,default,Tram - 17,0
45,47,46,default,Tram - 17,0
46,48,52,default,Tram - 17,0
47,48,51,default,Tram - 17,0
48,50,51,default,Tram - 17,0
49,50,49,default,Tram - 17,0
50,53,55,default,Tram - 17,0
51,54,55,default,Tram - 17,0
52,54,40,default,Tram - 17,0
53,56,62,default,Tram - 17,0
54,57,58,default,Tram - 17,0
55,57,73,default,Tram - 17,0
56,59,60,default,Tram - 17,0
57,59,66,default,Tram - 17,0
58,61,67,default,Tram - 17,0
59,62,64,default,Tram - 17,0
60,63,65,default,Tram - 17,0
61,63,108,default,Tram - 17,0
62,64,69,default,Tram - 17,0
63,66,74,default,Tram - 17,0
64,67,60,default,Tram - 17,0
65,68,69,default,Tram - 17,0
66,70,71,default,Tram - 17,0
67,70,72,default,Tram - 17,0
68,71,53,default,Tram - 17,0
69,72,73,default,Tram - 17,0
70,75,79,default,Tram - 17,0
71,76,94,default,Tram - 17,0
72,76,79,default,Tram - 17,0
73,77,78,default,Tram - 17,0
74,78,84,default,Tram - 17,0
75,80,87,default,Tram - 17,0
76,80,88,default,Tram - 17,0
77,81,88,default,Tram - 17,0
78,81,89,default,Tram - 17,0
79,82,97,default,Tram - 17,0
80,83,89,default,Tram - 17,0
81,84,85,default,Tram - 17,0
82,85,97,default,Tram - 17,0
83,86,91,default,Tram - 17,0
84,86,92,default,Tram - 17,0
85,87,75,default,Tram - 17,0
86,90,98,default,Tram - 17,0
87,90,83,default,Tram - 17,0
88,91,98,default,Tram - 17,0
89,92,99,default,Tram - 17,0
90,93,102,default,Tram - 17,0
91,94,95,default,Tram - 17,0
92,95,96,default,Tram - 17,0
93,99,100,default,Tram - 17,0
94,100,104,default,Tram - 17,0
95,101,105,default,Tram - 17,0
96,102,106,default,Tram - 17,0
97,103,106,default,Tram - 17,0
98,104,105,default,Tram - 17,0
99,107,108,default,Tram - 17,0
100,65,52,default,Tram - 17,0
101,44,107,default,Tram - 17,0
102,39,31,default,Tram - 17,0
103,42,31,default,Tram - 17,0
104,68,73,default,Tram - 17,0
105,96,82,default,Tram - 17,0
106,90,106,default,Tram - 17,0
107,109,127,default,Tram - 12,0
108,109,110,default,Tram - 12,0
109,110,134,default,Tram - 12,0
110,111,130,default,Tram - 12,0
111,111,121,default,Tram - 12,0
112,112,131,default,Tram - 12,0
113,113,132,default,Tram - 12,0
114,113,114,default,Tram - 12,0
115,114,122,default,Tram - 12,0
116,115,121,default,Tram - 12,0
117,116,128,default,Tram - 12,0
118,116,117,default,Tram - 12,0
119,117,118,default,Tram - 12,0
120,118,119,default,Tram - 12,0
121,119,120,default,Tram - 12,0
122,122,112,default,Tram - 12,0
123,123,124,default,Tram - 12,0
124,124,125,default,Tram - 12,0
125,125,126,default,Tram - 12,0
126,127,126,default,Tram - 12,0
127,129,133,default,Tram - 12,0
128,129,115,default,Tram - 12,0
129,131,130,default,Tram - 12,0
130,135,136,default,Tram - 12,0
131,136,137,default,Tram - 12,0
132,137,138,default,Tram - 12,0
133,139,138,default,Tram - 12,0
134,135,134,default,Tram - 12,0
135,118,126,default,Tram - 12,0
136,112,120,default,Tram - 12,0
137,118,120,default,Tram - 12,0
138,140,141,default,Tram - 16,0
139,140,202,default,Tram - 16,0
140,142,148,default,Tram - 16,0
141,142,141,default,Tram - 16,0
142,143,158,default,Tram - 16,0
143,143,155,default,Tram - 16,0
144,144,153,default,Tram - 16,0
145,145,146,default,Tram - 16,0
146,145,184,default,Tram - 16,0
147,147,151,default,Tram - 16,0
148,147,150,default,Tram - 16,0
149,149,150,default,Tram - 16,0
150,149,148,default,Tram - 16,0
151,152,172,default,Tram - 16,0
152,152,153,default,Tram - 16,0
153,153,154,default,Tram - 16,0
154,155,156,default,Tram - 16,0
155,157,159,default,Tram - 16,0
156,157,161,default,Tram - 16,0
157,160,161,default,Tram - 16,0
158,162,170,default,Tram - 16,0
159,163,164,default,Tram - 16,0
160,163,180,default,Tram - 16,0
161,165,169,default,Tram - 16,0
162,165,156,default,Tram - 16,0
163,166,167,default,Tram - 16,0
164,166,173,default,Tram - 16,0
165,168,174,default,Tram - 16,0
166,170,171,default,Tram - 16,0
167,171,176,default,Tram - 16,0
168,173,181,default,Tram - 16,0
169,174,167,default,Tram - 16,0
170,175,176,default,Tram - 16,0
171,177,178,default,Tram - 16,0
172,177,179,default,Tram - 16,0
173,178,159,default,Tram - 16,0
174,179,180,default,Tram - 16,0
175,182,185,default,Tram - 16,0
176,182,190,default,Tram - 16,0
177,183,184,default,Tram - 16,0
178,183,144,default,Tram - 16,0
179,186,190,default,Tram - 16,0
180,186,191,default,Tram - 16,0
181,187,191,default,Tram - 16,0
182,187,192,default,Tram - 16,0
183,188,192,default,Tram - 16,0
184,189,194,default,Tram - 16,0
185,189,195,default,Tram - 16,0
186,193,197,default,Tram - 16,0
187,193,188,default,Tram - 16,0
188,194,197,default,Tram - 16,0
189,195,198,default,Tram - 16,0
190,196,201,default,Tram - 16,0
191,198,199,default,Tram - 16,0
192,199,203,default,Tram - 16,0
193,200,204,default,Tram - 16,0
194,201,205,default,Tram - 16,0
195,202,205,default,Tram - 16,0
196,203,204,default,Tram - 16,0
197,146,151,default,Tram - 16,0
198,158,160,default,Tram - 16,0
199,169,152,default,Tram - 16,0
200,175,180,default,Tram - 16,0
201,193,205,default,Tram - 16,0
202,206,207,default,Tram - 27,0
203,207,208,default,Tram - 27,0
204,208,209,default,Tram - 27,0
205,210,211,default,Tram - 27,0
206,211,212,default,Tram - 27,0
207,212,213,default,Tram - 27,0
208,206,211,default,Tram - 27,0
209,214,215,default,Tram - 23,0
210,214,221,default,Tram - 23,0
211,216,218,default,Tram - 23,0
212,217,219,default,Tram - 23,0
213,217,224,default,Tram - 23,0
214,218,225,default,Tram - 23,0
215,220,221,default,Tram - 23,0
216,222,223,default,Tram - 23,0
217,223,224,default,Tram - 23,0
218,225,226,default,Tram - 23,0
219,226,219,default,Tram - 23,0
220,216,214,default,Tram - 23,0
221,227,228,default,Tram - 28,0
222,228,229,default,Tram - 28,0
223,229,230,default,Tram - 28,0
224,231,232,default,Tram - 28,0
225,232,233,default,Tram - 28,0
226,233,234,default,Tram - 28,0
227,235,234,default,Tram - 28,0
228,227,231,default,Tram - 28,0
229,236,238,default,Tram - 21,0
230,236,237,default,Tram - 21,0
231,238,249,default,Tram - 21,0
232,239,240,default,Tram - 21,0
233,239,241,default,Tram - 21,0
234,241,243,default,Tram - 21,0
235,242,243,default,Tram - 21,0
236,244,249,default,Tram - 21,0
237,244,248,default,Tram - 21,0
238,245,246,default,Tram - 21,0
239,245,240,default,Tram - 21,0
240,247,248,default,Tram - 21,0
241,250,251,default,Tram - 21,0
242,251,257,default,Tram - 21,0
243,252,253,default,Tram - 21,0
244,252,255,default,Tram - 21,0
245,254,255,default,Tram - 21,0
246,254,246,default,Tram - 21,0
247,256,257,default,Tram - 21,0
248,256,247,default,Tram - 21,0
249,250,253,default,Tram - 21,0
250,258,260,default,Tram - 22,0
251,258,259,default,Tram - 22,0
252,260,265,default,Tram - 22,0
253,261,267,default,Tram - 22,0
254,262,265,default,Tram - 22,0
255,262,264,default,Tram - 22,0
256,263,264,default,Tram - 22,0
257,266,267,default,Tram - 22,0
258,266,263,default,Tram - 22,0
259,268,337,default,Tram - 19,0
260,268,311,default,Tram - 19,0
261,269,316,default,Tram - 19,0
262,269,295,default,Tram - 19,0
263,270,271,default,Tram - 19,0
264,270,298,default,Tram - 19,0
265,272,299,default,Tram - 19,0
266,272,316,default,Tram - 19,0
267,273,311,default,Tram - 19,0
268,273,274,default,Tram - 19,0
269,274,300,default,Tram - 19,0
270,275,329,default,Tram - 19,0
271,275,330,default,Tram - 19,0
272,276,330,default,Tram - 19,0
273,276,277,default,Tram - 19,0
274,277,331,default,Tram - 19,0
275,278,336,default,Tram - 19,0
276,279,332,default,Tram - 19,0
277,279,331,default,Tram - 19,0
278,280,335,default,Tram - 19,0
279,280,278,default,Tram - 19,0
