,nodeID,nodeLabel,latitude,longitude,mode,year
0,0,Hauptbahnhof,11.5610935,48.1399545,default,0.0
1,1,Karlsplatz (Stachus),11.5645151,48.1392734,default,0.0
2,2,Hauptbahnhof Nord,11.5607243,48.1413824,default,0.0
3,3,Borstei,11.5332287,48.1695877,default,0.0
4,4,Borstei,11.5333398,48.1694852,default,0.0
5,5,Westfriedhof,11.5286974,48.1695961,default,0.0
6,6,Westfriedhof,11.5287196,48.1698065,default,0.0
7,7,Karlstraße,11.5596454,48.1448794,default,0.0
8,8,Hanauer Straße,11.5280212,48.1726662,default,0.0
9,9,Olympiapark West,11.5372733,48.1665576,default,0.0
10,10,Hanauer Straße,11.5277448,48.1728403,default,0.0
11,11,Olympiapark West,11.5373366,48.166452,default,0.0
12,12,Hugo-Troendle-Straße,11.5146945,48.1793749,default,0.0
13,13,Hugo-Troendle-Straße,11.5148049,48.1792911,default,0.0
14,14,Wintrichring,11.5215328,48.1760111,default,0.0
15,15,Wintrichring,11.5214129,48.1761041,default,0.0
16,16,Stiglmaierplatz,11.5587872,48.1471542,default,0.0
17,17,Stiglmaierplatz,11.5587173,48.1470407,default,0.0
18,18,Karlstraße,11.5596634,48.1446575,default,0.0
19,19,Hochschule München (Lothstraße),11.5534798,48.1545336,default,0.0
20,20,Hochschule München (Lothstraße),11.5541768,48.1540281,default,0.0
21,21,Pelkovenstraße,11.5109808,48.1810592,default,0.0
22,22,Leonrodplatz,11.5469401,48.1598887,default,0.0
23,23,Pelkovenstraße,11.5107604,48.1810746,default,0.0
24,24,Leonrodplatz,11.5470814,48.159719,default,0.0
25,25,Goethe-Institut,11.5416739,48.163233,default,0.0
26,26,Goethe-Institut,11.5427375,48.1625524,default,0.0
27,27,Sandstraße,11.5581254,48.1505965,default,0.0
28,28,Sandstraße,11.5580756,48.1506154,default,0.0
29,29,Moosach Bf,11.5074549,48.1804733,default,0.0
30,30,Moosach Bf,11.5073403,48.1803986,default,0.0
31,31,Max-Weber-Platz,11.5979608,48.1360989,default,0.0
32,32,Max-Weber-Platz,11.5978864,48.1359223,default,0.0
