nodeID_from,nodeID_to,mode,line,year
0,17,light_rail,TVR - 1,2001
1,18,light_rail,TVR - 1,2001
2,4,light_rail,TVR - 1,2001
2,6,light_rail,TVR - 1,2001
3,20,light_rail,TVR - 1,2001
3,21,light_rail,TVR - 1,2001
5,8,light_rail,TVR - 1,2001
5,6,light_rail,TVR - 1,2001
7,21,light_rail,TVR - 1,2001
8,12,light_rail,TVR - 1,2001
9,12,light_rail,TVR - 1,2001
9,10,light_rail,TVR - 1,2001
10,14,light_rail,TVR - 1,2001
11,22,light_rail,TVR - 1,2001
13,16,light_rail,TVR - 1,2001
15,23,light_rail,TVR - 1,2001
15,22,light_rail,TVR - 1,2001
16,10,light_rail,TVR - 1,2001
17,18,light_rail,TVR - 1,2001
19,24,light_rail,TVR - 1,2001
24,23,light_rail,TVR - 1,2001
25,26,light_rail,TVR - 1,2001
26,27,light_rail,TVR - 1,2001
27,38,light_rail,TVR - 1,2001
28,40,light_rail,TVR - 1,2001
28,42,light_rail,TVR - 1,2001
29,41,light_rail,TVR - 1,2001
30,36,light_rail,TVR - 1,2001
31,39,light_rail,TVR - 1,2001
31,32,light_rail,TVR - 1,2001
32,35,light_rail,TVR - 1,2001
33,37,light_rail,TVR - 1,2001
34,42,light_rail,TVR - 1,2001
36,37,light_rail,TVR - 1,2001
41,34,light_rail,TVR - 1,2001
43,45,light_rail,TVR - 1,2001
44,45,light_rail,TVR - 1,2001
46,49,light_rail,TVR - 1,2001
46,44,light_rail,TVR - 1,2001
47,50,light_rail,TVR - 1,2001
48,49,light_rail,TVR - 1,2001
48,47,light_rail,TVR - 1,2001
50,51,light_rail,TVR - 1,2001
51,52,light_rail,TVR - 1,2001
38,41,light_rail,TVR - 1,2001
43,40,light_rail,TVR - 1,2001
4,0,light_rail,TVR - 1,2001
1,19,light_rail,TVR - 1,2001
7,23,light_rail,TVR - 1,2001
20,25,light_rail,TVR - 1,2001
