nodeID_from,nodeID_to,mode,line,year
0,1,default,Nanjing Metro - Line 10,0
1,2,default,Nanjing Metro - Line 10,0
2,3,default,Nanjing Metro - Line 10,0
3,4,default,Nanjing Metro - Line 10,0
4,5,default,Nanjing Metro - Line 10,0
5,6,default,Nanjing Metro - Line 10,0
6,7,default,Nanjing Metro - Line 10,0
8,9,default,Nanjing Metro - Line 10,0
9,10,default,Nanjing Metro - Line 10,0
10,11,default,Nanjing Metro - Line 10,0
11,12,default,Nanjing Metro - Line 10,0
12,13,default,Nanjing Metro - Line 10,0
7,8,default,Nanjing Metro - Line 10,0
14,36,default,Nanjing Metro - Line 1,0
14,39,default,Nanjing Metro - Line 1,0
15,25,default,Nanjing Metro - Line 1,0
15,26,default,Nanjing Metro - Line 1,0
16,24,default,Nanjing Metro - Line 1,0
16,25,default,Nanjing Metro - Line 1,0
17,34,default,Nanjing Metro - Line 1,0
18,19,default,Nanjing Metro - Line 1,0
18,40,default,Nanjing Metro - Line 1,0
19,20,default,Nanjing Metro - Line 1,0
20,21,default,Nanjing Metro - Line 1,0
21,22,default,Nanjing Metro - Line 1,0
22,23,default,Nanjing Metro - Line 1,0
23,24,default,Nanjing Metro - Line 1,0
26,27,default,Nanjing Metro - Line 1,0
27,35,default,Nanjing Metro - Line 1,0
28,29,default,Nanjing Metro - Line 1,0
29,30,default,Nanjing Metro - Line 1,0
30,31,default,Nanjing Metro - Line 1,0
31,32,default,Nanjing Metro - Line 1,0
32,33,default,Nanjing Metro - Line 1,0
33,36,default,Nanjing Metro - Line 1,0
34,40,default,Nanjing Metro - Line 1,0
35,28,default,Nanjing Metro - Line 1,0
37,38,default,Nanjing Metro - Line 1,0
38,39,default,Nanjing Metro - Line 1,0
41,43,default,Nanjing Metro - Line 2,0
41,51,default,Nanjing Metro - Line 2,0
42,44,default,Nanjing Metro - Line 2,0
43,50,default,Nanjing Metro - Line 2,0
44,45,default,Nanjing Metro - Line 2,0
45,46,default,Nanjing Metro - Line 2,0
46,47,default,Nanjing Metro - Line 2,0
47,48,default,Nanjing Metro - Line 2,0
48,49,default,Nanjing Metro - Line 2,0
49,50,default,Nanjing Metro - Line 2,0
51,52,default,Nanjing Metro - Line 2,0
52,53,default,Nanjing Metro - Line 2,0
53,54,default,Nanjing Metro - Line 2,0
54,55,default,Nanjing Metro - Line 2,0
55,56,default,Nanjing Metro - Line 2,0
56,57,default,Nanjing Metro - Line 2,0
57,58,default,Nanjing Metro - Line 2,0
59,60,default,Nanjing Metro - Line 2,0
59,58,default,Nanjing Metro - Line 2,0
60,61,default,Nanjing Metro - Line 2,0
61,62,default,Nanjing Metro - Line 2,0
62,63,default,Nanjing Metro - Line 2,0
63,64,default,Nanjing Metro - Line 2,0
64,65,default,Nanjing Metro - Line 2,0
65,66,default,Nanjing Metro - Line 2,0
67,92,default,Nanjing Metro - Line 3,0
68,81,default,Nanjing Metro - Line 3,0
68,72,default,Nanjing Metro - Line 3,0
69,72,default,Nanjing Metro - Line 3,0
70,71,default,Nanjing Metro - Line 3,0
70,93,default,Nanjing Metro - Line 3,0
73,75,default,Nanjing Metro - Line 3,0
74,75,default,Nanjing Metro - Line 3,0
74,76,default,Nanjing Metro - Line 3,0
76,77,default,Nanjing Metro - Line 3,0
77,78,default,Nanjing Metro - Line 3,0
78,79,default,Nanjing Metro - Line 3,0
79,83,default,Nanjing Metro - Line 3,0
80,93,default,Nanjing Metro - Line 3,0
80,92,default,Nanjing Metro - Line 3,0
81,82,default,Nanjing Metro - Line 3,0
82,73,default,Nanjing Metro - Line 3,0
83,85,default,Nanjing Metro - Line 3,0
84,91,default,Nanjing Metro - Line 3,0
84,85,default,Nanjing Metro - Line 3,0
86,94,default,Nanjing Metro - Line 3,0
86,90,default,Nanjing Metro - Line 3,0
87,91,default,Nanjing Metro - Line 3,0
88,95,default,Nanjing Metro - Line 3,0
88,94,default,Nanjing Metro - Line 3,0
89,90,default,Nanjing Metro - Line 3,0
95,87,default,Nanjing Metro - Line 3,0
71,69,default,Nanjing Metro - Line 3,0
96,103,default,Nanjing Metro - Line 4,0
96,97,default,Nanjing Metro - Line 4,0
97,102,default,Nanjing Metro - Line 4,0
98,101,default,Nanjing Metro - Line 4,0
98,99,default,Nanjing Metro - Line 4,0
99,102,default,Nanjing Metro - Line 4,0
100,113,default,Nanjing Metro - Line 4,0
101,113,default,Nanjing Metro - Line 4,0
104,105,default,Nanjing Metro - Line 4,0
104,103,default,Nanjing Metro - Line 4,0
105,106,default,Nanjing Metro - Line 4,0
106,107,default,Nanjing Metro - Line 4,0
107,108,default,Nanjing Metro - Line 4,0
108,109,default,Nanjing Metro - Line 4,0
109,110,default,Nanjing Metro - Line 4,0
110,111,default,Nanjing Metro - Line 4,0
111,112,default,Nanjing Metro - Line 4,0
