nodeID_from,nodeID_to,mode,line,year
0,3,light_rail,Tramway - Ligne 1,2019
1,9,light_rail,Tramway - Ligne 1,1989
2,15,light_rail,Tramway - Ligne 1,1985
3,23,light_rail,Tramway - Ligne 1,2012
4,24,light_rail,Tramway - Ligne 1,1989
4,25,light_rail,Tramway - Ligne 1,1989
5,28,light_rail,Tramway - Ligne 1,1985
6,25,light_rail,Tramway - Ligne 1,1985
6,8,light_rail,Tramway - Ligne 1,1985
7,20,light_rail,Tramway - Ligne 1,1989
7,29,light_rail,Tramway - Ligne 1,1989
8,27,light_rail,Tramway - Ligne 1,1985
9,29,light_rail,Tramway - Ligne 1,1989
10,33,light_rail,Tramway - Ligne 1,1985
11,21,light_rail,Tramway - Ligne 1,1985
12,22,light_rail,Tramway - Ligne 1,1985
13,34,light_rail,Tramway - Ligne 1,1985
14,26,light_rail,Tramway - Ligne 1,1985
14,16,light_rail,Tramway - Ligne 1,1985
15,13,light_rail,Tramway - Ligne 1,1985
16,17,light_rail,Tramway - Ligne 1,1985
18,44,light_rail,Tramway - Ligne 1,1985
18,30,light_rail,Tramway - Ligne 1,1985
19,43,light_rail,Tramway - Ligne 1,1985
19,22,light_rail,Tramway - Ligne 1,1985
21,8,light_rail,Tramway - Ligne 1,1985
23,20,light_rail,Tramway - Ligne 1,2012
28,12,light_rail,Tramway - Ligne 1,1985
30,37,light_rail,Tramway - Ligne 1,1985
31,35,light_rail,Tramway - Ligne 1,1985
31,2,light_rail,Tramway - Ligne 1,1985
32,36,light_rail,Tramway - Ligne 1,1985
33,34,light_rail,Tramway - Ligne 1,1985
36,17,light_rail,Tramway - Ligne 1,1985
38,48,light_rail,Tramway - Ligne 1,1985
39,46,light_rail,Tramway - Ligne 1,1985
40,49,light_rail,Tramway - Ligne 1,1985
40,47,light_rail,Tramway - Ligne 1,2000
41,51,light_rail,Tramway - Ligne 1,1985
41,52,light_rail,Tramway - Ligne 1,2000
42,52,light_rail,Tramway - Ligne 1,2000
45,62,light_rail,Tramway - Ligne 1,2000
45,67,light_rail,Tramway - Ligne 1,2000
46,68,light_rail,Tramway - Ligne 1,1985
47,61,light_rail,Tramway - Ligne 1,2000
48,68,light_rail,Tramway - Ligne 1,1985
50,64,light_rail,Tramway - Ligne 1,2000
53,67,light_rail,Tramway - Ligne 1,2000
54,59,light_rail,Tramway - Ligne 1,2000
55,65,light_rail,Tramway - Ligne 1,2000
55,58,light_rail,Tramway - Ligne 1,2000
56,66,light_rail,Tramway - Ligne 1,2000
57,60,light_rail,Tramway - Ligne 1,2000
58,63,light_rail,Tramway - Ligne 1,2000
58,64,light_rail,Tramway - Ligne 1,2000
59,42,light_rail,Tramway - Ligne 1,2000
60,53,light_rail,Tramway - Ligne 1,2000
61,69,light_rail,Tramway - Ligne 1,2007
66,65,light_rail,Tramway - Ligne 1,2000
9,24,light_rail,Tramway - Ligne 1,1989
40,38,light_rail,Tramway - Ligne 1,1985
35,26,light_rail,Tramway - Ligne 1,1985
32,39,light_rail,Tramway - Ligne 1,1985
5,10,light_rail,Tramway - Ligne 1,1985
64,41,light_rail,Tramway - Ligne 1,2000
54,61,light_rail,Tramway - Ligne 1,2000
56,62,light_rail,Tramway - Ligne 1,2000
21,43,light_rail,Tramway - Ligne 1,1985
70,77,light_rail,Tramway - Ligne 2,1994
70,75,light_rail,Tramway - Ligne 2,1994
71,79,light_rail,Tramway - Ligne 2,1994
72,73,light_rail,Tramway - Ligne 2,1994
73,111,light_rail,Tramway - Ligne 2,1994
74,98,light_rail,Tramway - Ligne 2,1994
74,90,light_rail,Tramway - Ligne 2,1994
75,76,light_rail,Tramway - Ligne 2,1994
75,73,light_rail,Tramway - Ligne 2,1994
78,82,light_rail,Tramway - Ligne 2,1994
78,99,light_rail,Tramway - Ligne 2,1994
79,98,light_rail,Tramway - Ligne 2,1994
80,84,light_rail,Tramway - Ligne 2,1994
80,93,light_rail,Tramway - Ligne 2,1994
81,89,light_rail,Tramway - Ligne 2,1994
83,90,light_rail,Tramway - Ligne 2,1994
85,86,light_rail,Tramway - Ligne 2,1994
85,81,light_rail,Tramway - Ligne 2,1994
87,103,light_rail,Tramway - Ligne 2,1994
88,97,light_rail,Tramway - Ligne 2,1994
88,103,light_rail,Tramway - Ligne 2,1994
89,95,light_rail,Tramway - Ligne 2,1994
91,99,light_rail,Tramway - Ligne 2,1994
92,93,light_rail,Tramway - Ligne 2,1994
94,96,light_rail,Tramway - Ligne 2,1994
94,100,light_rail,Tramway - Ligne 2,1994
95,101,light_rail,Tramway - Ligne 2,1994
100,102,light_rail,Tramway - Ligne 2,1994
104,105,light_rail,Tramway - Ligne 2,2007
105,106,light_rail,Tramway - Ligne 2,2007
107,120,light_rail,Tramway - Ligne 2,1992
108,116,light_rail,Tramway - Ligne 2,1992
108,115,light_rail,Tramway - Ligne 2,1992
109,120,light_rail,Tramway - Ligne 2,1992
110,112,light_rail,Tramway - Ligne 2,1992
110,121,light_rail,Tramway - Ligne 2,1992
111,121,light_rail,Tramway - Ligne 2,1992
113,119,light_rail,Tramway - Ligne 2,1992
114,118,light_rail,Tramway - Ligne 2,1992
115,117,light_rail,Tramway - Ligne 2,1992
118,116,light_rail,Tramway - Ligne 2,1992
119,114,light_rail,Tramway - Ligne 2,1992
117,107,light_rail,Tramway - Ligne 2,1992
70,71,light_rail,Tramway - Ligne 2,1994
107,106,light_rail,Tramway - Ligne 2,2007
112,113,light_rail,Tramway - Ligne 2,1992
101,87,light_rail,Tramway - Ligne 2,1994
83,86,light_rail,Tramway - Ligne 2,1994
122,172,light_rail,Tramway - Ligne 3,2007
122,171,light_rail,Tramway - Ligne 3,2007
123,142,light_rail,Tramway - Ligne 3,2000
123,125,light_rail,Tramway - Ligne 3,2000
124,151,light_rail,Tramway - Ligne 3,2009
124,152,light_rail,Tramway - Ligne 3,2009
125,140,light_rail,Tramway - Ligne 3,2000
126,129,light_rail,Tramway - Ligne 3,2000
126,143,light_rail,Tramway - Ligne 3,2000
127,141,light_rail,Tramway - Ligne 3,2000
128,143,light_rail,Tramway - Ligne 3,2000
128,140,light_rail,Tramway - Ligne 3,2000
130,146,light_rail,Tramway - Ligne 3,2009
131,145,light_rail,Tramway - Ligne 3,2000
131,133,light_rail,Tramway - Ligne 3,2000
132,144,light_rail,Tramway - Ligne 3,2000
133,153,light_rail,Tramway - Ligne 3,2000
134,149,light_rail,Tramway - Ligne 3,2009
135,152,light_rail,Tramway - Ligne 3,2009
135,134,light_rail,Tramway - Ligne 3,2009
136,139,light_rail,Tramway - Ligne 3,2009
136,147,light_rail,Tramway - Ligne 3,2009
137,150,light_rail,Tramway - Ligne 3,2009
138,148,light_rail,Tramway - Ligne 3,2000
141,144,light_rail,Tramway - Ligne 3,2000
146,149,light_rail,Tramway - Ligne 3,2009
147,154,light_rail,Tramway - Ligne 3,2009
148,146,light_rail,Tramway - Ligne 3,2000
150,154,light_rail,Tramway - Ligne 3,2009
155,175,light_rail,Tramway - Ligne 3,2007
156,161,light_rail,Tramway - Ligne 3,2007
157,163,light_rail,Tramway - Ligne 3,2007
158,159,light_rail,Tramway - Ligne 3,2007
159,161,light_rail,Tramway - Ligne 3,2007
160,175,light_rail,Tramway - Ligne 3,2007
162,169,light_rail,Tramway - Ligne 3,1992
162,174,light_rail,Tramway - Ligne 3,2007
163,173,light_rail,Tramway - Ligne 3,2007
164,173,light_rail,Tramway - Ligne 3,2007
164,172,light_rail,Tramway - Ligne 3,2007
165,170,light_rail,Tramway - Ligne 3,2007
165,171,light_rail,Tramway - Ligne 3,2007
166,170,light_rail,Tramway - Ligne 3,2007
166,168,light_rail,Tramway - Ligne 3,2007
167,168,light_rail,Tramway - Ligne 3,2007
167,174,light_rail,Tramway - Ligne 3,2007
169,142,light_rail,Tramway - Ligne 3,2000
129,145,light_rail,Tramway - Ligne 3,2000
127,153,light_rail,Tramway - Ligne 3,2000
132,138,light_rail,Tramway - Ligne 3,2000
151,137,light_rail,Tramway - Ligne 3,2009
160,156,light_rail,Tramway - Ligne 3,2007
158,157,light_rail,Tramway - Ligne 3,2007
156,174,light_rail,Tramway - Ligne 3,2007
176,180,brt,Busway - Ligne 4,2006
176,178,brt,Busway - Ligne 4,2006
177,181,brt,Busway - Ligne 4,2006
177,182,brt,Busway - Ligne 4,2006
178,189,brt,Busway - Ligne 4,2006
179,180,brt,Busway - Ligne 4,2006
181,184,brt,Busway - Ligne 4,2006
182,189,brt,Busway - Ligne 4,2006
183,185,brt,Busway - Ligne 4,2006
183,184,brt,Busway - Ligne 4,2006
185,186,brt,Busway - Ligne 4,2006
186,187,brt,Busway - Ligne 4,2006
187,188,brt,Busway - Ligne 4,2006
188,190,brt,Busway - Ligne 4,2006
187,185,brt,Busway - Ligne 4,2006
191,192,brt,Busway - Ligne 5,2020
192,193,brt,Busway - Ligne 5,2020
194,195,brt,Busway - Ligne 5,2020
194,193,brt,Busway - Ligne 5,2020
196,197,default, Navettes fluviales - N1,2005
198,199,default, Navettes fluviales - Passeur Erdre,1997
208,209,default, Navettes fluviales - N2,2020
212,213,default, Navettes fluviales - Parc des Chantiers - Gare maritime - Hangar à bananes - Arbre aux hérons - Trentemoult Roquios,2023
214,215,commuter_rail,Tram-train - Nantes - Clisson,2011
215,217,commuter_rail,Tram-train - Nantes - Clisson,2011
216,217,commuter_rail,Tram-train - Nantes - Clisson,2011
218,227,commuter_rail,Tram-train - Nantes - Clisson,2011
218,214,commuter_rail,Tram-train - Nantes - Clisson,2011
219,225,commuter_rail,Tram-train - Nantes - Clisson,2011
220,221,commuter_rail,Tram-train - Nantes - Clisson,2011
220,222,commuter_rail,Tram-train - Nantes - Clisson,2011
222,226,commuter_rail,Tram-train - Nantes - Clisson,2011
223,224,commuter_rail,Tram-train - Nantes - Clisson,2011
223,225,commuter_rail,Tram-train - Nantes - Clisson,2011
224,216,commuter_rail,Tram-train - Nantes - Clisson,2011
219,221,commuter_rail,Tram-train - Nantes - Clisson,2011
228,229,commuter_rail,Tram-train - Nantes - Châteaubriant,2014
229,234,commuter_rail,Tram-train - Nantes - Châteaubriant,2014
230,228,commuter_rail,Tram-train - Nantes - Châteaubriant,2014
231,240,commuter_rail,Tram-train - Nantes - Châteaubriant,2014
232,242,commuter_rail,Tram-train - Nantes - Châteaubriant,2014
233,237,commuter_rail,Tram-train - Nantes - Châteaubriant,2014
234,235,commuter_rail,Tram-train - Nantes - Châteaubriant,2014
236,238,commuter_rail,Tram-train - Nantes - Châteaubriant,2014
236,234,commuter_rail,Tram-train - Nantes - Châteaubriant,2014
237,231,commuter_rail,Tram-train - Nantes - Châteaubriant,2014
239,242,commuter_rail,Tram-train - Nantes - Châteaubriant,2014
240,238,commuter_rail,Tram-train - Nantes - Châteaubriant,2014
241,243,commuter_rail,Tram-train - Nantes - Châteaubriant,2014
241,242,commuter_rail,Tram-train - Nantes - Châteaubriant,2014
237,239,commuter_rail,Tram-train - Nantes - Châteaubriant,2014
