,nodeID_from,nodeID_to,mode,line,year
0,0,17,heavy_rail,Metropolitana di Napoli - M1,2011
1,0,14,heavy_rail,Metropolitana di Napoli - M1,2011
2,1,11,heavy_rail,Metropolitana di Napoli - M1,2001
3,1,2,heavy_rail,Metropolitana di Napoli - M1,1993
4,2,10,heavy_rail,Metropolitana di Napoli - M1,2001
5,3,6,heavy_rail,Metropolitana di Napoli - M1,1993
6,3,5,heavy_rail,Metropolitana di Napoli - M1,1995
7,4,6,heavy_rail,Metropolitana di Napoli - M1,1993
8,4,1,heavy_rail,Metropolitana di Napoli - M1,1993
9,5,7,heavy_rail,Metropolitana di Napoli - M1,1995
10,7,8,heavy_rail,Metropolitana di Napoli - M1,1995
11,9,7,heavy_rail,Metropolitana di Napoli - M1,1995
12,11,12,heavy_rail,Metropolitana di Napoli - M1,2001
13,12,13,heavy_rail,Metropolitana di Napoli - M1,2002
14,13,14,heavy_rail,Metropolitana di Napoli - M1,2002
15,15,18,heavy_rail,Metropolitana di Napoli - M1,2013
16,16,17,heavy_rail,Metropolitana di Napoli - M1,2011
17,18,16,heavy_rail,Metropolitana di Napoli - M1,2013
18,19,22,light_rail,Metropolitana di Napoli - M6,2007
19,20,22,light_rail,Metropolitana di Napoli - M6,2007
20,21,26,light_rail,Metropolitana di Napoli - M6,2023
21,21,19,light_rail,Metropolitana di Napoli - M6,2023
22,23,26,light_rail,Metropolitana di Napoli - M6,2023
23,23,25,light_rail,Metropolitana di Napoli - M6,2024
24,24,25,light_rail,Metropolitana di Napoli - M6,2024
