nodeID,nodeLabel,latitude,longitude,mode,year
0,Chrestia,-68.07307636959492,-38.94691079119842,brt,2019.0
1,Colón,-68.07931113451899,-38.947196093148065,brt,2019.0
2,Cacique Catriel,-68.0836281269339,-38.94684915581201,brt,2019.0
3,San Lorenzo,-68.08973775727424,-38.94632715524391,brt,2019.0
4,Padre Mascardi,-68.09525269873589,-38.945809422460506,brt,2019.0
5,Collón Curá,-68.10189041400002,-38.944549282883266,brt,2019.0
6,Predio Ferial,-68.10728838145847,-38.94324191569405,brt,2019.0
7,Moritán,-68.11326435674027,-38.941783732780834,brt,2019.0
8,Cnel. Godoy,-68.11737696091758,-38.9407924360314,brt,2019.0
9,Cnel. Rhode,-68.1228625751444,-38.93946135238466,brt,2019.0
10,Cnel. Racedo,-68.12838186440032,-38.93810620688264,brt,2019.0
11,Necochea,-68.13296535682548,-38.93697555893878,brt,2019.0
12,Centro de Transbordo Novella,-68.13403125328156,-38.93446554017742,brt,2019.0
13,Cipoletti,-67.99646861904814,-38.9419506751083,light_rail,2015.0
14,Neuquén,-68.0583200040464,-38.95590932665688,light_rail,2015.0
