nodeID_from,nodeID_to,mode,line,year
1,2,tram,New Orleans Regional Transit Authority - 1 Riverfront,1988
1,9,tram,New Orleans Regional Transit Authority - 1 Riverfront,1988
2,3,tram,New Orleans Regional Transit Authority - 1 Riverfront,1988
3,4,tram,New Orleans Regional Transit Authority - 1 Riverfront,1988
4,5,tram,New Orleans Regional Transit Authority - 1 Riverfront,1988
5,6,tram,New Orleans Regional Transit Authority - 1 Riverfront,1988
6,7,tram,New Orleans Regional Transit Authority - 1 Riverfront,1988
7,8,tram,New Orleans Regional Transit Authority - 1 Riverfront,1988
13,16,tram,New Orleans Regional Transit Authority - 3 Loyola,2013
14,16,tram,New Orleans Regional Transit Authority - 3 Loyola,2013
14,15,tram,New Orleans Regional Transit Authority - 3 Loyola,2016
17,19,tram,New Orleans Regional Transit Authority - 3 Loyola,2016
18,19,tram,New Orleans Regional Transit Authority - 3 Loyola,2016
15,17,tram,New Orleans Regional Transit Authority - 3 Loyola,2016
24,25,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
25,26,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
26,36,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
27,26,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
27,35,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
28,29,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
29,34,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
30,33,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
30,29,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
31,32,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
31,30,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
32,37,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
33,34,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
35,28,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
38,39,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
38,37,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
39,40,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
40,41,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
41,42,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
42,43,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
43,50,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
44,45,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
44,50,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
45,46,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
46,47,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
47,48,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
48,49,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
49,51,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
51,52,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
52,53,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
53,54,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
54,67,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
55,56,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
55,67,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
56,57,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
57,58,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
58,59,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
59,68,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
60,61,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
60,68,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
61,62,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
62,63,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
63,64,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
64,65,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
65,66,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
66,69,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
69,70,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
70,87,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
71,87,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
71,72,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
72,73,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
73,74,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
74,75,tram,New Orleans Regional Transit Authority - 2 St. Charles,1893
75,76,tram,New Orleans Regional Transit Authority - 2 St. Charles,1893
76,77,tram,New Orleans Regional Transit Authority - 2 St. Charles,1893
77,78,tram,New Orleans Regional Transit Authority - 2 St. Charles,1893
78,79,tram,New Orleans Regional Transit Authority - 2 St. Charles,1893
79,80,tram,New Orleans Regional Transit Authority - 2 St. Charles,1893
80,81,tram,New Orleans Regional Transit Authority - 2 St. Charles,1893
81,82,tram,New Orleans Regional Transit Authority - 2 St. Charles,1893
82,83,tram,New Orleans Regional Transit Authority - 2 St. Charles,1900
83,84,tram,New Orleans Regional Transit Authority - 2 St. Charles,1900
84,85,tram,New Orleans Regional Transit Authority - 2 St. Charles,1900
85,86,tram,New Orleans Regional Transit Authority - 2 St. Charles,1900
86,35,tram,New Orleans Regional Transit Authority - 2 St. Charles,1900
30,28,tram,New Orleans Regional Transit Authority - 2 St. Charles,1835
