nodeID_from,nodeID_to,mode,line,year
8,11,heavy_rail,MTA Staten Island Railroad - Mainline,1884
9,10,heavy_rail,MTA Staten Island Railroad - Mainline,1886
9,11,heavy_rail,MTA Staten Island Railroad - Mainline,1886
12,13,heavy_rail,MTA Staten Island Railroad - Mainline,1860
12,19,heavy_rail,MTA Staten Island Railroad - Mainline,1860
13,14,heavy_rail,MTA Staten Island Railroad - Mainline,1860
14,16,heavy_rail,MTA Staten Island Railroad - Mainline,1860
15,19,heavy_rail,MTA Staten Island Railroad - Mainline,1860
16,17,heavy_rail,MTA Staten Island Railroad - Mainline,1860
17,18,heavy_rail,MTA Staten Island Railroad - Mainline,1860
18,20,heavy_rail,MTA Staten Island Railroad - Mainline,1860
20,21,heavy_rail,MTA Staten Island Railroad - Mainline,1860
21,22,heavy_rail,MTA Staten Island Railroad - Mainline,1860
22,23,heavy_rail,MTA Staten Island Railroad - Mainline,1860
23,24,heavy_rail,MTA Staten Island Railroad - Mainline,1860
24,25,heavy_rail,MTA Staten Island Railroad - Mainline,1860
25,26,heavy_rail,MTA Staten Island Railroad - Mainline,1860
26,27,heavy_rail,MTA Staten Island Railroad - Mainline,1860
27,28,heavy_rail,MTA Staten Island Railroad - Mainline,1860
8,15,heavy_rail,MTA Staten Island Railroad - Mainline,1884
32,33,heavy_rail,MTA NYC Subway - F,1968
42,43,light_rail,NJT Newark Light Rail - City Subway,1937
42,46,light_rail,NJT Newark Light Rail - City Subway,1937
43,47,light_rail,NJT Newark Light Rail - City Subway,1935
44,53,light_rail,NJT Newark Light Rail - City Subway,2002
45,53,light_rail,NJT Newark Light Rail - City Subway,2002
45,52,light_rail,NJT Newark Light Rail - City Subway,1940
47,48,light_rail,NJT Newark Light Rail - City Subway,1935
48,49,light_rail,NJT Newark Light Rail - City Subway,1935
49,50,light_rail,NJT Newark Light Rail - City Subway,1935
50,51,light_rail,NJT Newark Light Rail - City Subway,1935
51,52,light_rail,NJT Newark Light Rail - City Subway,1935
54,55,light_rail,NJT Newark Light Rail - Broad Street,2006
55,56,light_rail,NJT Newark Light Rail - Broad Street,2006
56,57,light_rail,NJT Newark Light Rail - Broad Street,2006
56,58,light_rail,NJT Newark Light Rail - Broad Street,2006
59,60,light_rail,NJT Hudson-Bergen Light Rail - Hoboken-8th Street,2000
59,64,light_rail,NJT Hudson-Bergen Light Rail - Hoboken-8th Street,2000
61,64,light_rail,NJT Hudson-Bergen Light Rail - Hoboken-8th Street,2003
61,62,light_rail,NJT Hudson-Bergen Light Rail - Hoboken-8th Street,2011
62,63,light_rail,NJT Hudson-Bergen Light Rail - Hoboken-8th Street,2011
65,66,light_rail,NJT Hudson-Bergen Light Rail - Tonelle-West Side,2000
66,67,light_rail,NJT Hudson-Bergen Light Rail - Tonelle-West Side,2000
