,nodeID_from,nodeID_to,mode,line,year
0,0,14,default,Metro - Green,1981
1,0,8,default,Metro - Green,1981
2,1,15,default,Metro - Green,1981
3,1,4,default,Metro - Green,1981
4,2,10,default,Metro - Green,1981
5,2,16,default,Metro - Green,1981
6,3,11,default,Metro - Green,1991
7,3,9,default,Metro - Green,1991
8,5,12,default,Metro - Green,2002
9,6,13,default,Metro - Green,2002
10,6,20,default,Metro - Green,2002
11,7,14,default,Metro - Green,1981
12,8,15,default,Metro - Green,1981
13,9,16,default,Metro - Green,1981
14,10,17,default,Metro - Green,1981
15,12,20,default,Metro - Green,2002
16,13,19,default,Metro - Green,2002
17,17,7,default,Metro - Green,1981
18,18,4,default,Metro - Green,1981
19,18,5,default,Metro - Green,2002
20,21,29,default,Metro - Yellow,1980
21,22,29,default,Metro - Yellow,1980
22,22,36,default,Metro - Yellow,1980
23,23,36,default,Metro - Yellow,1980
24,23,30,default,Metro - Yellow,1980
25,24,38,default,Metro - Yellow,1982
26,25,38,default,Metro - Yellow,1982
27,26,39,default,Metro - Yellow,1982
28,27,34,default,Metro - Yellow,1982
29,27,40,default,Metro - Yellow,1982
30,28,41,default,Metro - Yellow,1982
31,28,44,default,Metro - Yellow,1982
32,30,37,default,Metro - Yellow,1980
33,31,38,default,Metro - Yellow,1982
34,32,39,default,Metro - Yellow,1982
35,33,40,default,Metro - Yellow,1982
36,33,26,default,Metro - Yellow,1982
37,34,41,default,Metro - Yellow,1982
38,35,25,default,Metro - Yellow,1982
39,37,25,default,Metro - Yellow,1982
40,38,42,default,Metro - Yellow,1982
41,43,50,default,Metro - Yellow,1980
42,43,21,default,Metro - Yellow,1980
43,44,45,default,Metro - Yellow,1980
44,45,47,default,Metro - Yellow,1980
45,46,47,default,Metro - Yellow,1980
46,46,48,default,Metro - Yellow,1980
47,48,49,default,Metro - Yellow,1980
48,49,50,default,Metro - Yellow,1980
49,50,37,default,Metro - Yellow,1980
50,32,37,default,Metro - Yellow,1982
51,51,53,default,National Rail - Other National Rail,1838
52,52,51,default,National Rail - Other National Rail,1879
53,53,54,default,National Rail - Other National Rail,1838
54,55,56,default,National Rail - East Coast Main Line,1850
