,nodeID_from,nodeID_to,mode,line,year
0,0,1,light_rail,Tram - T1,2007
1,0,3,light_rail,Tram - T1,2007
2,2,3,light_rail,Tram - T1,2007
3,4,5,light_rail,Tram - T1,2007
4,5,7,light_rail,Tram - T1,2007
5,6,7,light_rail,Tram - T1,2007
6,6,9,light_rail,Tram - T1,2007
7,8,9,light_rail,Tram - T1,2007
8,10,11,light_rail,Tram - T1,2007
9,11,12,light_rail,Tram - T1,2007
10,12,13,light_rail,Tram - T1,2007
11,13,14,light_rail,Tram - T1,2007
12,14,15,light_rail,Tram - T1,2007
13,16,17,light_rail,Tram - T1,2007
14,17,14,light_rail,Tram - T1,2007
15,18,33,light_rail,Tram - T1,2007
16,19,22,light_rail,Tram - T1,2007
17,19,24,light_rail,Tram - T1,2007
18,20,21,light_rail,Tram - T1,2007
19,21,2,light_rail,Tram - T1,2007
20,23,24,light_rail,Tram - T1,2007
21,23,26,light_rail,Tram - T1,2007
22,25,26,light_rail,Tram - T1,2007
23,27,29,light_rail,Tram - T1,2007
24,27,20,light_rail,Tram - T1,2007
25,28,30,light_rail,Tram - T1,2013
26,30,33,light_rail,Tram - T1,2013
27,31,32,light_rail,Tram - T1,2007
28,32,26,light_rail,Tram - T1,2007
29,1,8,light_rail,Tram - T1,2007
30,29,30,light_rail,Tram - T1,2013
