nodeID_from,nodeID_to,mode,line,year
0,1,light_rail,Hampton Roads Transit - Tide Light Rail,2011
1,2,light_rail,Hampton Roads Transit - Tide Light Rail,2011
2,3,light_rail,Hampton Roads Transit - Tide Light Rail,2011
3,4,light_rail,Hampton Roads Transit - Tide Light Rail,2011
5,4,light_rail,Hampton Roads Transit - Tide Light Rail,2011
5,6,light_rail,Hampton Roads Transit - Tide Light Rail,2011
7,6,light_rail,Hampton Roads Transit - Tide Light Rail,2011
7,8,light_rail,Hampton Roads Transit - Tide Light Rail,2011
8,9,light_rail,Hampton Roads Transit - Tide Light Rail,2011
9,10,light_rail,Hampton Roads Transit - Tide Light Rail,2011
