nodeID_from,nodeID_to,mode,line,year
0,2,high_speed_rail,JR Central - Tokaido Shinkansen,1964
0,1,high_speed_rail,JR Central - Tokaido Shinkansen,1964
3,4,high_speed_rail,JR West - Sanyo Shinkansen,1972
3,5,high_speed_rail,JR West - Sanyo Shinkansen,1972
6,12,heavy_rail,Kobe Municipal Subway - Seishin-Yamate Line,1985
7,17,heavy_rail,Kobe Municipal Subway - Seishin-Yamate Line,1977
7,16,heavy_rail,Kobe Municipal Subway - Seishin-Yamate Line,1983
8,18,heavy_rail,Kobe Municipal Subway - Seishin-Yamate Line,1977
8,19,heavy_rail,Kobe Municipal Subway - Seishin-Yamate Line,1985
9,14,heavy_rail,Kobe Municipal Subway - Seishin-Yamate Line,1983
9,13,heavy_rail,Kobe Municipal Subway - Seishin-Yamate Line,1985
10,20,heavy_rail,Kobe Municipal Subway - Seishin-Yamate Line,1987
10,19,heavy_rail,Kobe Municipal Subway - Seishin-Yamate Line,1985
11,21,heavy_rail,Kobe Municipal Subway - Seishin-Yamate Line,1987
12,13,heavy_rail,Kobe Municipal Subway - Seishin-Yamate Line,1985
14,15,heavy_rail,Kobe Municipal Subway - Seishin-Yamate Line,1983
15,16,heavy_rail,Kobe Municipal Subway - Seishin-Yamate Line,1983
18,17,heavy_rail,Kobe Municipal Subway - Seishin-Yamate Line,1977
20,21,heavy_rail,Kobe Municipal Subway - Seishin-Yamate Line,1987
22,31,heavy_rail,Kobe Municipal Subway - Kaigan Line,2001
23,24,heavy_rail,Kobe Municipal Subway - Kaigan Line,2001
24,25,heavy_rail,Kobe Municipal Subway - Kaigan Line,2001
25,26,heavy_rail,Kobe Municipal Subway - Kaigan Line,2001
26,27,heavy_rail,Kobe Municipal Subway - Kaigan Line,2001
27,28,heavy_rail,Kobe Municipal Subway - Kaigan Line,2001
28,29,heavy_rail,Kobe Municipal Subway - Kaigan Line,2001
29,30,heavy_rail,Kobe Municipal Subway - Kaigan Line,2001
30,31,heavy_rail,Kobe Municipal Subway - Kaigan Line,2001
32,34,heavy_rail,Eizan Electric Railway - Eizan Main Line,1925
33,39,heavy_rail,Eizan Electric Railway - Eizan Main Line,1925
34,35,heavy_rail,Eizan Electric Railway - Eizan Main Line,1925
35,36,heavy_rail,Eizan Electric Railway - Eizan Main Line,1925
36,37,heavy_rail,Eizan Electric Railway - Eizan Main Line,1925
37,38,heavy_rail,Eizan Electric Railway - Eizan Main Line,1925
