,nodeID_from,nodeID_to,mode,line,year
0,0,4,commuter_rail,TriMet - WES Commuter Rail,2009
1,1,2,commuter_rail,TriMet - WES Commuter Rail,2009
2,2,3,commuter_rail,TriMet - WES Commuter Rail,2009
3,3,4,commuter_rail,TriMet - WES Commuter Rail,2009
4,5,6,people_mover,Portland Aerial Tram - Portland Aerial Tram,2007
5,7,8,tram,Portland Streetcar - North South Line,2007
6,8,9,tram,Portland Streetcar - North South Line,2007
7,10,11,tram,Portland Streetcar - North South Line,2007
8,11,9,tram,Portland Streetcar - North South Line,2007
9,12,13,tram,Portland Streetcar - North South Line,2006
10,12,10,tram,Portland Streetcar - North South Line,2007
11,13,14,tram,Portland Streetcar - North South Line,2005
12,14,15,tram,Portland Streetcar - North South Line,2005
13,15,16,tram,Portland Streetcar - North South Line,2005
14,16,17,tram,Portland Streetcar - North South Line,2001
15,17,18,tram,Portland Streetcar - North South Line,2001
16,19,20,tram,Portland Streetcar - North South Line,2001
17,19,22,tram,Portland Streetcar - North South Line,2001
18,21,22,tram,Portland Streetcar - North South Line,2001
19,21,23,tram,Portland Streetcar - North South Line,2001
20,23,24,tram,Portland Streetcar - North South Line,2001
21,25,26,tram,Portland Streetcar - North South Line,2001
22,26,27,tram,Portland Streetcar - North South Line,2001
23,27,28,tram,Portland Streetcar - North South Line,2001
24,29,30,tram,Portland Streetcar - North South Line,2001
25,30,31,tram,Portland Streetcar - North South Line,2001
26,31,32,tram,Portland Streetcar - North South Line,2001
27,32,33,tram,Portland Streetcar - North South Line,2001
28,33,34,tram,Portland Streetcar - North South Line,2001
29,35,36,tram,Portland Streetcar - North South Line,2001
30,35,34,tram,Portland Streetcar - North South Line,2001
31,36,37,tram,Portland Streetcar - North South Line,2001
32,37,38,tram,Portland Streetcar - North South Line,2001
33,39,40,tram,Portland Streetcar - North South Line,2001
34,39,37,tram,Portland Streetcar - North South Line,2001
35,41,42,tram,Portland Streetcar - North South Line,2001
36,42,43,tram,Portland Streetcar - North South Line,2001
37,43,44,tram,Portland Streetcar - North South Line,2001
38,44,45,tram,Portland Streetcar - North South Line,2001
39,18,33,tram,Portland Streetcar - North South Line,2001
40,46,47,tram,Portland Streetcar - A Loop,2006
41,47,48,tram,Portland Streetcar - A Loop,2005
42,48,49,tram,Portland Streetcar - A Loop,2005
43,49,50,tram,Portland Streetcar - A Loop,2005
44,50,51,tram,Portland Streetcar - A Loop,2001
45,51,52,tram,Portland Streetcar - A Loop,2001
46,52,53,tram,Portland Streetcar - A Loop,2001
47,53,54,tram,Portland Streetcar - A Loop,2001
48,54,55,tram,Portland Streetcar - A Loop,2001
49,55,56,tram,Portland Streetcar - A Loop,2001
50,56,57,tram,Portland Streetcar - A Loop,2001
51,57,58,tram,Portland Streetcar - A Loop,2001
52,58,59,tram,Portland Streetcar - A Loop,2012
53,60,61,tram,Portland Streetcar - A Loop,2012
54,61,62,tram,Portland Streetcar - A Loop,2012
55,62,63,tram,Portland Streetcar - A Loop,2012
56,63,64,tram,Portland Streetcar - A Loop,2012
57,64,65,tram,Portland Streetcar - A Loop,2012
58,65,67,tram,Portland Streetcar - A Loop,2012
59,66,67,tram,Portland Streetcar - A Loop,2012
60,66,68,tram,Portland Streetcar - A Loop,2012
61,68,69,tram,Portland Streetcar - A Loop,2012
62,69,70,tram,Portland Streetcar - A Loop,2012
63,70,71,tram,Portland Streetcar - A Loop,2012
64,71,72,tram,Portland Streetcar - A Loop,2015
65,72,73,tram,Portland Streetcar - A Loop,2015
66,59,60,tram,Portland Streetcar - A Loop,2012
