nodeID,nodeLabel,latitude,longitude,mode,year
0,Beaverton Transit Center,-122.80120317499552,45.491076581251036,commuter_rail,1998.0
1,Wilsonville,-122.77520805242723,45.311379297735556,commuter_rail,2009.0
2,Tualatin,-122.76445111821477,45.38349799172312,commuter_rail,2009.0
3,Tigard Transit Center,-122.76967574833276,45.43012534567015,commuter_rail,2009.0
4,Hall/Nimbus,-122.7870760032628,45.45758913010317,commuter_rail,2009.0
5,South Waterfront,-122.67101193727541,45.499279960330256,people_mover,2007.0
6,Marquam Hill,-122.68412137389035,45.49952590722799,people_mover,2007.0
7,SW Lowell & Bond,-122.6714916051018,45.49392830935122,tram,2007.0
8,SW Bond & Lane,-122.67092686280489,45.49549719714173,tram,2007.0
9,SW Moody & Gaines,-122.6719155107541,45.49627467037092,tram,2007.0
10,SW Moody & Gibbs,-122.67177259392592,45.499406234907525,tram,2006.0
11,OHSU Commons,-122.67076560504157,45.49884067500858,tram,2007.0
12,SW Moody & Meade,-122.67284856049451,45.50331236623097,tram,2006.0
13,SW River Parkway & Moody,-122.67398536447013,45.50709544966932,tram,2005.0
14,SW Harrison St,-122.67657636654178,45.508884321295966,tram,2005.0
15,SW 3rd & Harrison,-122.67978943266309,45.510271110420774,tram,2005.0
16,SW 5th & Montgomery,-122.6813307942568,45.51182288702091,tram,2001.0
17,PSU Urban Center,-122.68215108895664,45.51226349732298,tram,2001.0
18,SW 5th & Market,-122.68146695282876,45.51301167320497,tram,2001.0
19,SW Park & Market,-122.68410900987512,45.51371313095916,tram,2001.0
20,SW Park & Mill,-122.68455558837637,45.513020199712,tram,2001.0
21,SW 11th & Clay,-122.68599751415664,45.51510840910757,tram,2001.0
22,SW 10th & Clay,-122.68503696515322,45.514524026201855,tram,2001.0
23,SW 11th & Jefferson,-122.68527429380293,45.51646341672222,tram,2001.0
24,Art Museum,-122.68394982488175,45.516548093761486,tram,2001.0
25,SW 11th & Taylor,-122.68384287202258,45.51910327594845,tram,2001.0
26,Central Library,-122.68251727019315,45.51920827047712,tram,2001.0
27,SW 10th & Alder,-122.68179623644522,45.520513886710376,tram,2001.0
28,SW 11th & Alder,-122.6827684315167,45.52109048114576,tram,2001.0
29,NW 10th & Couch,-122.68112859330412,45.523537442363335,tram,2001.0
30,NW 11th & Couch,-122.6821985943489,45.52393604752632,tram,2001.0
31,NW 10th & Glisan,-122.68122210255561,45.52636295075337,tram,2001.0
32,NW 11th & Glisan,-122.68230390603793,45.52668620797945,tram,2001.0
33,NW 10th & Johnson,-122.68130352862082,45.52851162560418,tram,2001.0
34,NW 11th & Johnson,-122.68236982237748,45.528821288802305,tram,2001.0
35,NW 10th & Northrup,-122.6814043419069,45.53118389314983,tram,2001.0
36,NW 12th & Northrup,-122.68324627303221,45.53151787625032,tram,2001.0
37,NW 14th & Northrup,-122.68528911912529,45.53148282728543,tram,2001.0
38,NW 13th & Lovejoy,-122.68471576479878,45.53002709595336,tram,2001.0
39,NW 18th & Northrup,-122.6893702348535,45.53140404059454,tram,2001.0
