,nodeID_from,nodeID_to,mode,line,year
0,1,2,default,Metro - Metro C,0
1,3,5,default,Metro - Metro A,0
2,3,6,default,Metro - Metro A,0
3,4,6,default,Metro - Metro A,0
4,7,39,default,Metro - Metro B,0
5,7,12,default,Metro - Metro B,0
6,8,16,default,Metro - Metro B,0
7,9,43,default,Metro - Metro B,0
8,10,11,default,Metro - Metro B,0
9,10,16,default,Metro - Metro B,0
10,12,15,default,Metro - Metro B,0
11,13,18,default,Metro - Metro B,0
12,14,40,default,Metro - Metro B,0
13,14,43,default,Metro - Metro B,0
14,17,22,default,Metro - Metro B,0
15,18,27,default,Metro - Metro B,0
16,19,44,default,Metro - Metro B,0
17,19,41,default,Metro - Metro B,0
18,20,24,default,Metro - Metro B,0
19,21,27,default,Metro - Metro B,0
20,22,13,default,Metro - Metro B,0
21,23,38,default,Metro - Metro B,0
22,23,28,default,Metro - Metro B,0
23,24,34,default,Metro - Metro B,0
24,25,31,default,Metro - Metro B,0
25,25,35,default,Metro - Metro B,0
26,26,45,default,Metro - Metro B,0
27,26,36,default,Metro - Metro B,0
28,28,33,default,Metro - Metro B,0
29,29,30,default,Metro - Metro B,0
30,30,33,default,Metro - Metro B,0
31,31,32,default,Metro - Metro B,0
32,32,20,default,Metro - Metro B,0
33,34,38,default,Metro - Metro B,0
34,36,42,default,Metro - Metro B,0
35,37,41,default,Metro - Metro B,0
36,39,9,default,Metro - Metro B,0
37,45,37,default,Metro - Metro B,0
38,30,21,default,Metro - Metro B,0
39,22,15,default,Metro - Metro B,0
40,40,44,default,Metro - Metro B,0
41,34,20,default,Metro - Metro B,0
42,43,15,default,Metro - Metro B,0
