nodeID_from,nodeID_to,mode,line,year
0,6,heavy_rail,Metro - Línea 1,2020
1,5,heavy_rail,Metro - Línea 1,2020
2,6,heavy_rail,Metro - Línea 1,2020
2,4,heavy_rail,Metro - Línea 1,2020
3,7,heavy_rail,Metro - Línea 1,2020
4,3,heavy_rail,Metro - Línea 1,2020
5,0,heavy_rail,Metro - Línea 1,2020
7,9,heavy_rail,Metro - Línea 1,2020
8,10,heavy_rail,Metro - Línea 1,2020
8,9,heavy_rail,Metro - Línea 1,2020
10,12,heavy_rail,Metro - Línea 1,2020
11,13,heavy_rail,Metro - Línea 1,2020
11,12,heavy_rail,Metro - Línea 1,2020
13,14,heavy_rail,Metro - Línea 1,2020
