nodeID_from,nodeID_to,mode,line,year
0,29,heavy_rail,STAR - Métro a,2002
1,7,heavy_rail,STAR - Métro a,2002
1,29,heavy_rail,STAR - Métro a,2002
2,6,heavy_rail,STAR - Métro a,2002
3,9,heavy_rail,STAR - Métro a,2002
4,10,heavy_rail,STAR - Métro a,2002
4,11,heavy_rail,STAR - Métro a,2002
5,11,heavy_rail,STAR - Métro a,2002
6,10,heavy_rail,STAR - Métro a,2002
8,21,heavy_rail,STAR - Métro a,2002
9,21,heavy_rail,STAR - Métro a,2002
12,14,heavy_rail,STAR - Métro a,2002
12,11,heavy_rail,STAR - Métro a,2002
13,27,heavy_rail,STAR - Métro a,2002
13,25,heavy_rail,STAR - Métro a,2002
15,22,heavy_rail,STAR - Métro a,2002
16,23,heavy_rail,STAR - Métro a,2002
16,26,heavy_rail,STAR - Métro a,2002
17,24,heavy_rail,STAR - Métro a,2002
17,22,heavy_rail,STAR - Métro a,2002
18,25,heavy_rail,STAR - Métro a,2002
19,26,heavy_rail,STAR - Métro a,2002
20,28,heavy_rail,STAR - Métro a,2002
20,19,heavy_rail,STAR - Métro a,2002
25,17,heavy_rail,STAR - Métro a,2002
28,26,heavy_rail,STAR - Métro a,2002
27,23,heavy_rail,STAR - Métro a,2002
7,8,heavy_rail,STAR - Métro a,2002
3,6,heavy_rail,STAR - Métro a,2002
22,12,heavy_rail,STAR - Métro a,2002
30,34,heavy_rail,STAR - Métro b,2020
31,36,heavy_rail,STAR - Métro b,2020
31,42,heavy_rail,STAR - Métro b,2020
32,42,heavy_rail,STAR - Métro b,2020
32,35,heavy_rail,STAR - Métro b,2020
33,35,heavy_rail,STAR - Métro b,2020
34,42,heavy_rail,STAR - Métro b,2020
37,38,heavy_rail,STAR - Métro b,2020
37,44,heavy_rail,STAR - Métro b,2020
39,56,heavy_rail,STAR - Métro b,2020
39,48,heavy_rail,STAR - Métro b,2020
40,49,heavy_rail,STAR - Métro b,2020
41,52,heavy_rail,STAR - Métro b,2020
41,50,heavy_rail,STAR - Métro b,2020
43,51,heavy_rail,STAR - Métro b,2020
44,50,heavy_rail,STAR - Métro b,2020
45,53,heavy_rail,STAR - Métro b,2020
46,48,heavy_rail,STAR - Métro b,2020
47,54,heavy_rail,STAR - Métro b,2020
49,45,heavy_rail,STAR - Métro b,2020
50,51,heavy_rail,STAR - Métro b,2020
53,48,heavy_rail,STAR - Métro b,2020
54,57,heavy_rail,STAR - Métro b,2020
55,58,heavy_rail,STAR - Métro b,2020
57,59,heavy_rail,STAR - Métro b,2020
58,56,heavy_rail,STAR - Métro b,2020
32,40,heavy_rail,STAR - Métro b,2020
55,47,heavy_rail,STAR - Métro b,2020
38,34,heavy_rail,STAR - Métro b,2020
