nodeID_from,nodeID_to,mode,line,year
0,13,brt,Greater Richmond Transit Company - Pulse BRT,2018
0,1,brt,Greater Richmond Transit Company - Pulse BRT,2018
1,12,brt,Greater Richmond Transit Company - Pulse BRT,2018
2,3,brt,Greater Richmond Transit Company - Pulse BRT,2018
3,4,brt,Greater Richmond Transit Company - Pulse BRT,2018
4,5,brt,Greater Richmond Transit Company - Pulse BRT,2018
5,6,brt,Greater Richmond Transit Company - Pulse BRT,2018
6,7,brt,Greater Richmond Transit Company - Pulse BRT,2018
7,8,brt,Greater Richmond Transit Company - Pulse BRT,2018
8,9,brt,Greater Richmond Transit Company - Pulse BRT,2018
9,10,brt,Greater Richmond Transit Company - Pulse BRT,2018
10,11,brt,Greater Richmond Transit Company - Pulse BRT,2018
11,12,brt,Greater Richmond Transit Company - Pulse BRT,2018
