nodeID,nodeLabel,latitude,longitude,mode,year
0,East Riverfront,-77.41617132821719,37.521316867542055,brt,2018.0
1,Shockoe Bottom,-77.42196153397151,37.52946294930702,brt,2018.0
2,Willow Lawn,-77.4967936217271,37.58436919890586,brt,2018.0
3,Staples Mill,-77.4920623226613,37.58047494019017,brt,2018.0
4,Scott's Addition,-77.4738876700342,37.5652938701092,brt,2018.0
5,Science Museum,-77.46721895816097,37.56073853026645,brt,2018.0
6,Allison St.,-77.46250060426453,37.55793098497912,brt,2018.0
7,VCU & VUU,-77.45419023426355,37.5529470315425,brt,2018.0
8,Arts District,-77.44303231394098,37.54629713646857,brt,2018.0
9,Convention Center,-77.438792993744,37.543750323485924,brt,2018.0
10,Government Center,-77.43388415098688,37.540821906792374,brt,2018.0
11,VCU Medical Center,-77.43129686764807,37.53925902962213,brt,2018.0
12,Main Street Station,-77.4295944267836,37.53412258902355,brt,2018.0
13,Rocketts Landing,-77.41515169546922,37.51774285489506,brt,2018.0
