nodeID_from,nodeID_to,mode,line,year
0,25,heavy_rail,Metrô Rio - Linha 2,1983
0,4,heavy_rail,Metrô Rio - Linha 2,1981
1,5,heavy_rail,Metrô Rio - Linha 2,1979
1,11,heavy_rail,Metrô Rio - Linha 2,1979
2,24,heavy_rail,Metrô Rio - Linha 2,1983
2,3,heavy_rail,Metrô Rio - Linha 2,0
3,14,heavy_rail,Metrô Rio - Linha 2,0
4,8,heavy_rail,Metrô Rio - Linha 2,1979
5,12,heavy_rail,Metrô Rio - Linha 2,1979
6,13,heavy_rail,Metrô Rio - Linha 2,1979
7,23,heavy_rail,Metrô Rio - Linha 2,1998
8,9,heavy_rail,Metrô Rio - Linha 2,1979
9,10,heavy_rail,Metrô Rio - Linha 2,1979
10,11,heavy_rail,Metrô Rio - Linha 2,1979
12,13,heavy_rail,Metrô Rio - Linha 2,1979
14,15,heavy_rail,Metrô Rio - Linha 2,0
15,16,heavy_rail,Metrô Rio - Linha 2,0
16,17,heavy_rail,Metrô Rio - Linha 2,0
17,18,heavy_rail,Metrô Rio - Linha 2,0
18,19,heavy_rail,Metrô Rio - Linha 2,0
19,20,heavy_rail,Metrô Rio - Linha 2,0
20,21,heavy_rail,Metrô Rio - Linha 2,0
21,22,heavy_rail,Metrô Rio - Linha 2,0
22,23,heavy_rail,Metrô Rio - Linha 2,1998
24,25,heavy_rail,Metrô Rio - Linha 2,1983
11,12,heavy_rail,Metrô Rio - Linha 2,1979
26,28,heavy_rail,Metrô Rio - Linha 4,2016
27,30,heavy_rail,Metrô Rio - Linha 4,2016
28,29,heavy_rail,Metrô Rio - Linha 4,2016
29,30,heavy_rail,Metrô Rio - Linha 4,2016
31,26,heavy_rail,Metrô Rio - Linha 4,2016
32,31,heavy_rail,Metrô Rio - Linha 4,2016
33,47,heavy_rail,Metrô Rio - Linha 1,2014
34,39,heavy_rail,Metrô Rio - Linha 1,1979
34,45,heavy_rail,Metrô Rio - Linha 1,1979
35,41,heavy_rail,Metrô Rio - Linha 1,1982
35,38,heavy_rail,Metrô Rio - Linha 1,1982
36,38,heavy_rail,Metrô Rio - Linha 1,1982
36,47,heavy_rail,Metrô Rio - Linha 1,2014
37,42,heavy_rail,Metrô Rio - Linha 1,1979
39,46,heavy_rail,Metrô Rio - Linha 1,1979
