nodeID_from,nodeID_to,mode,line,year
0,6,brt,TEOR - T3,2007
0,4,brt,TEOR - T3,2007
1,6,brt,TEOR - T3,2007
2,3,brt,TEOR - T3,2007
3,1,brt,TEOR - T3,2007
5,4,brt,TEOR - T3,2007
7,11,brt,TEOR - T2,2001
7,9,brt,TEOR - T2,2007
8,11,brt,TEOR - T2,2001
10,9,brt,TEOR - T2,2007
12,16,brt,TEOR - T1,2002
12,14,brt,TEOR - T1,2002
13,15,brt,TEOR - T1,2002
13,16,brt,TEOR - T1,2002
17,19,brt,TEOR - T4,2022
18,20,brt,TEOR - T4,2019
18,19,brt,TEOR - T4,2019
21,22,light_rail,Tramway (Métro officiellement) - M,1994
22,26,light_rail,Tramway (Métro officiellement) - M,1994
23,40,light_rail,Tramway (Métro officiellement) - M,1997
23,32,light_rail,Tramway (Métro officiellement) - M,1997
24,33,light_rail,Tramway (Métro officiellement) - M,1997
24,34,light_rail,Tramway (Métro officiellement) - M,1997
25,53,light_rail,Tramway (Métro officiellement) - M,1997
26,30,light_rail,Tramway (Métro officiellement) - M,1994
27,28,light_rail,Tramway (Métro officiellement) - M,1994
28,39,light_rail,Tramway (Métro officiellement) - M,1994
29,58,light_rail,Tramway (Métro officiellement) - M,1994
29,37,light_rail,Tramway (Métro officiellement) - M,1994
31,59,light_rail,Tramway (Métro officiellement) - M,1997
32,60,light_rail,Tramway (Métro officiellement) - M,1997
34,50,light_rail,Tramway (Métro officiellement) - M,1997
35,52,light_rail,Tramway (Métro officiellement) - M,1997
36,53,light_rail,Tramway (Métro officiellement) - M,1997
36,52,light_rail,Tramway (Métro officiellement) - M,1997
37,54,light_rail,Tramway (Métro officiellement) - M,1994
37,41,light_rail,Tramway (Métro officiellement) - M,1994
38,55,light_rail,Tramway (Métro officiellement) - M,1994
38,41,light_rail,Tramway (Métro officiellement) - M,1994
39,51,light_rail,Tramway (Métro officiellement) - M,1994
42,45,light_rail,Tramway (Métro officiellement) - M,1994
42,51,light_rail,Tramway (Métro officiellement) - M,1994
43,44,light_rail,Tramway (Métro officiellement) - M,1994
43,35,light_rail,Tramway (Métro officiellement) - M,1997
46,47,light_rail,Tramway (Métro officiellement) - M,1994
47,49,light_rail,Tramway (Métro officiellement) - M,1994
48,49,light_rail,Tramway (Métro officiellement) - M,1994
56,57,light_rail,Tramway (Métro officiellement) - M,1994
57,48,light_rail,Tramway (Métro officiellement) - M,1994
59,60,light_rail,Tramway (Métro officiellement) - M,1997
29,52,light_rail,Tramway (Métro officiellement) - M,1997
30,35,light_rail,Tramway (Métro officiellement) - M,1997
42,47,light_rail,Tramway (Métro officiellement) - M,1994
56,21,light_rail,Tramway (Métro officiellement) - M,1994
62,63,bus,Bus FAST  - F9,2022
