nodeID_from,nodeID_to,mode,line,year
0,1,light_rail,Sacramento RT - Blue Line,1987
1,2,light_rail,Sacramento RT - Blue Line,1987
3,4,light_rail,Sacramento RT - Blue Line,1987
4,5,light_rail,Sacramento RT - Blue Line,1987
5,6,light_rail,Sacramento RT - Blue Line,1987
6,7,light_rail,Sacramento RT - Blue Line,1987
8,9,light_rail,Sacramento RT - Blue Line,1987
9,10,light_rail,Sacramento RT - Blue Line,1987
10,11,light_rail,Sacramento RT - Blue Line,1987
11,13,light_rail,Sacramento RT - Blue Line,1987
12,13,light_rail,Sacramento RT - Blue Line,1987
13,14,light_rail,Sacramento RT - Blue Line,1987
15,16,light_rail,Sacramento RT - Blue Line,1987
15,14,light_rail,Sacramento RT - Blue Line,1987
16,17,light_rail,Sacramento RT - Blue Line,2003
18,19,light_rail,Sacramento RT - Blue Line,2003
18,17,light_rail,Sacramento RT - Blue Line,2003
19,20,light_rail,Sacramento RT - Blue Line,2003
20,21,light_rail,Sacramento RT - Blue Line,2003
21,22,light_rail,Sacramento RT - Blue Line,2003
22,23,light_rail,Sacramento RT - Blue Line,2003
24,25,light_rail,Sacramento RT - Blue Line,2015
24,23,light_rail,Sacramento RT - Blue Line,2015
25,26,light_rail,Sacramento RT - Blue Line,2015
26,27,light_rail,Sacramento RT - Blue Line,2015
2,8,light_rail,Sacramento RT - Blue Line,1987
28,35,light_rail,Sacramento RT - Gold Line,2006
29,30,light_rail,Sacramento RT - Gold Line,1987
29,28,light_rail,Sacramento RT - Gold Line,2006
30,31,light_rail,Sacramento RT - Gold Line,1987
32,33,light_rail,Sacramento RT - Gold Line,1987
32,31,light_rail,Sacramento RT - Gold Line,1987
33,34,light_rail,Sacramento RT - Gold Line,1987
35,36,light_rail,Sacramento RT - Gold Line,2006
37,35,light_rail,Sacramento RT - Gold Line,2006
38,39,light_rail,Sacramento RT - Gold Line,1987
38,34,light_rail,Sacramento RT - Gold Line,1987
39,40,light_rail,Sacramento RT - Gold Line,1987
40,41,light_rail,Sacramento RT - Gold Line,1987
41,42,light_rail,Sacramento RT - Gold Line,1987
42,43,light_rail,Sacramento RT - Gold Line,1987
43,44,light_rail,Sacramento RT - Gold Line,1987
44,45,light_rail,Sacramento RT - Gold Line,1987
45,46,light_rail,Sacramento RT - Gold Line,1987
46,47,light_rail,Sacramento RT - Gold Line,1987
47,48,light_rail,Sacramento RT - Gold Line,1987
48,49,light_rail,Sacramento RT - Gold Line,1987
50,51,light_rail,Sacramento RT - Gold Line,2004
51,52,light_rail,Sacramento RT - Gold Line,2004
52,53,light_rail,Sacramento RT - Gold Line,2004
54,55,light_rail,Sacramento RT - Gold Line,2005
55,56,light_rail,Sacramento RT - Gold Line,2005
56,57,light_rail,Sacramento RT - Gold Line,2005
49,50,light_rail,Sacramento RT - Gold Line,1998
53,54,light_rail,Sacramento RT - Gold Line,2005
58,65,light_rail,Sacramento RT - Green Line,2006
59,60,light_rail,Sacramento RT - Green Line,1987
59,58,light_rail,Sacramento RT - Green Line,2006
60,61,light_rail,Sacramento RT - Green Line,1987
62,63,light_rail,Sacramento RT - Green Line,1987
62,61,light_rail,Sacramento RT - Green Line,1987
64,66,light_rail,Sacramento RT - Green Line,2012
65,66,light_rail,Sacramento RT - Green Line,2006
