,nodeID_from,nodeID_to,mode,line,year
0,0,5,default,Metrô - Linha 1,2015
1,1,3,default,Metrô - Linha 1,2014
2,2,6,default,Metrô - Linha 1,2014
3,2,5,default,Metrô - Linha 1,2015
4,3,4,default,Metrô - Linha 1,2014
5,4,6,default,Metrô - Linha 1,2014
6,7,9,default,Metrô - Linha 2,2017
7,7,8,default,Metrô - Linha 2,2016
8,8,17,default,Metrô - Linha 2,2016
9,10,12,default,Metrô - Linha 2,2017
10,10,14,default,Metrô - Linha 2,2017
11,11,13,default,Metrô - Linha 2,2017
12,12,13,default,Metrô - Linha 2,2017
13,14,15,default,Metrô - Linha 2,2017
14,15,16,default,Metrô - Linha 2,2017
15,9,16,default,Metrô - Linha 2,2017
