nodeID,nodeLabel,latitude,longitude,mode,year
0,Pirajá,-38.4669512,-12.9215365,default,2015.0
1,Lapa,-38.512226,-12.9823236,default,2014.0
2,Retiro,-38.4721686,-12.9562597,default,2014.0
3,Brotas,-38.4990955,-12.9793224,default,2014.0
4,Bonocô,-38.4837779,-12.9838851,default,2015.0
5,Bom Juá,-38.4705327,-12.9406121,default,2015.0
6,Acesso Norte,-38.4771862,-12.9689433,default,2014.0
7,Rodoviária,-38.4634711,-12.9784534,default,2016.0
8,Detran,-38.4710968,-12.9780026,default,2016.0
9,Pernambués,-38.4577043,-12.975744,default,2017.0
10,Flamboyant,-38.4056007,-12.9379933,default,2017.0
11,Mussurunga,-38.3589751,-12.9215276,default,2017.0
12,Tamburugy,-38.3944504,-12.9346598,default,2017.0
13,Bairro da Paz,-38.3812366,-12.9257564,default,2017.0
14,Pituaçu,-38.4213097,-12.9454033,default,2017.0
15,CAB,-38.4289499,-12.9557462,default,2017.0
16,Imbuí,-38.4361352,-12.964418,default,2017.0
17,Acesso Norte,-38.4771862,-12.9689433,default,2014.0
18,Rodoviária,-38.4634711,-12.9784534,None,2016.0
19,Campo da Pólvora,-38.5076631,-12.9791735,None,2014.0
20,Pirajá,-38.4669512,-12.9215365,None,2015.0
21,Detran,-38.4710968,-12.9780026,None,2016.0
22,Pernambués,-38.4577043,-12.975744,None,2017.0
23,Lapa,-38.512226,-12.9823236,None,2014.0
24,Retiro,-38.4721686,-12.9562597,None,2014.0
25,Flamboyant,-38.4056007,-12.9379933,None,2017.0
26,Mussurunga,-38.3589751,-12.9215276,None,2017.0
27,Tamburugy,-38.3944504,-12.9346598,None,2017.0
28,Bairro da Paz,-38.3812366,-12.9257564,None,2017.0
29,Pituaçu,-38.4213097,-12.9454033,None,2017.0
30,Brotas,-38.4990955,-12.9793224,None,2014.0
31,Bonocô,-38.4837779,-12.9838851,None,2015.0
32,Bom Juá,-38.4705327,-12.9406121,None,2015.0
33,CAB,-38.4289499,-12.9557462,None,2017.0
34,Imbuí,-38.4361352,-12.964418,None,2017.0
35,Acesso Norte,-38.4771862,-12.9689433,None,2014.0
