nodeID,nodeLabel,latitude,longitude,mode,year
0,Hernani,-1.9637993,43.2724133,default,0.0
1,Intxaurrondo,-1.9527625,43.3201672,default,0.0
2,Hernani Centro,-1.9732462,43.2656693,default,0.0
3,Donostia / San Sebastián,-1.9766848,43.3177148,default,0.0
4,Andoain Centro,-2.0203456,43.2155284,default,0.0
5,Pasaia,-1.9170847,43.3189681,default,0.0
6,Urnieta,-1.9881449,43.2478638,default,0.0
7,Gros,-1.9732992,43.321967,default,0.0
8,Martutene,-1.956301,43.299079,default,0.0
9,Lezo-Rentería,-1.8993303,43.3159433,default,0.0
10,Andoain,-2.0156385,43.2221548,default,0.0
11,Ategorrieta,-1.9589119,43.3203466,default,0.0
12,Loiola,-1.9636539,43.3045436,default,0.0
13,Errekalde,-2.0072715,43.2787641,default,0.0
14,Intxaurrondo,-1.9548312,43.3142328,default,2012.0
15,Añorga,-1.9945638,43.2918238,default,0.0
16,Pasaia,-1.9180106,43.3182037,default,1912.0
17,Amara,-1.9814982,43.3126297,default,0.0
18,Herrera,-1.9375686,43.3199543,default,0.0
19,Galtzaraborda,-1.9064418,43.3124064,default,0.0
20,Irun Ficoba,-1.7865014,43.3493022,default,1913.0
21,Loiola,-1.9679528,43.3104742,default,0.0
22,Anoeta,-1.9746188,43.302393,default,1993.0
23,Lasarte-Oria,-2.0201442,43.2708292,default,1998.0
24,Altza,-1.9309949,43.3164512,default,2016.0
25,Errenteria,-1.8990985,43.3111409,default,1912.0
26,Lugaritz,-2.000252,43.3027081,default,2005.0
27,Oiartzun,-1.8798415,43.3086426,default,0.0
28,Gaintxurizketa,-1.8575853,43.3267424,default,0.0
29,Bentak,-1.817043,43.330349,default,0.0
30,Hendaia,-1.7821484,43.3524968,default,1913.0
31,Fanderia,-1.889295,43.3082791,default,2011.0
32,Irun,-1.7960868,43.3410569,default,0.0
33,Usurbil,-2.0529864,43.268644,default,0.0
34,Aia-Orio,-2.1260391,43.2742268,default,0.0
