nodeID_from,nodeID_to,mode,line,year
0,6,heavy_rail,Metro de Santiago - Línea 2,2005
0,1,heavy_rail,Metro de Santiago - Línea 2,2006
1,2,heavy_rail,Metro de Santiago - Línea 2,2006
2,18,heavy_rail,Metro de Santiago - Línea 2,2006
3,23,heavy_rail,Metro de Santiago - Línea 2,2004
3,5,heavy_rail,Metro de Santiago - Línea 2,2004
4,17,heavy_rail,Metro de Santiago - Línea 2,2004
4,24,heavy_rail,Metro de Santiago - Línea 2,2004
5,6,heavy_rail,Metro de Santiago - Línea 2,2005
7,12,heavy_rail,Metro de Santiago - Línea 2,1978
7,10,heavy_rail,Metro de Santiago - Línea 2,1978
8,11,heavy_rail,Metro de Santiago - Línea 2,1986
8,9,heavy_rail,Metro de Santiago - Línea 2,1978
9,10,heavy_rail,Metro de Santiago - Línea 2,1978
11,19,heavy_rail,Metro de Santiago - Línea 2,1987
12,13,heavy_rail,Metro de Santiago - Línea 2,1978
13,14,heavy_rail,Metro de Santiago - Línea 2,1978
14,15,heavy_rail,Metro de Santiago - Línea 2,1978
15,16,heavy_rail,Metro de Santiago - Línea 2,1978
16,17,heavy_rail,Metro de Santiago - Línea 2,2004
19,23,heavy_rail,Metro de Santiago - Línea 2,2004
20,22,heavy_rail,Metro de Santiago - Línea 2,2023
20,21,heavy_rail,Metro de Santiago - Línea 2,2023
22,25,heavy_rail,Metro de Santiago - Línea 2,2023
24,25,heavy_rail,Metro de Santiago - Línea 2,2023
26,44,heavy_rail,Metro de Santiago - Línea 4,2005
26,40,heavy_rail,Metro de Santiago - Línea 4,2005
27,34,heavy_rail,Metro de Santiago - Línea 4,2005
28,39,heavy_rail,Metro de Santiago - Línea 4,2005
28,41,heavy_rail,Metro de Santiago - Línea 4,2005
29,47,heavy_rail,Metro de Santiago - Línea 4,2006
29,48,heavy_rail,Metro de Santiago - Línea 4,2006
30,33,heavy_rail,Metro de Santiago - Línea 4,2028
30,42,heavy_rail,Metro de Santiago - Línea 4,2005
31,32,heavy_rail,Metro de Santiago - Línea 4,2006
31,40,heavy_rail,Metro de Santiago - Línea 4,2005
32,35,heavy_rail,Metro de Santiago - Línea 4,2006
34,43,heavy_rail,Metro de Santiago - Línea 4,2005
35,36,heavy_rail,Metro de Santiago - Línea 4,2006
36,37,heavy_rail,Metro de Santiago - Línea 4,2006
37,48,heavy_rail,Metro de Santiago - Línea 4,2006
38,47,heavy_rail,Metro de Santiago - Línea 4,2005
38,39,heavy_rail,Metro de Santiago - Línea 4,2005
41,45,heavy_rail,Metro de Santiago - Línea 4,2005
42,46,heavy_rail,Metro de Santiago - Línea 4,2005
43,44,heavy_rail,Metro de Santiago - Línea 4,2005
45,46,heavy_rail,Metro de Santiago - Línea 4,2005
39,45,heavy_rail,Metro de Santiago - Línea 4,2005
44,40,heavy_rail,Metro de Santiago - Línea 4,2005
49,53,heavy_rail,Metro de Santiago - Línea 4A,2006
50,51,heavy_rail,Metro de Santiago - Línea 4A,2006
50,54,heavy_rail,Metro de Santiago - Línea 4A,2006
51,52,heavy_rail,Metro de Santiago - Línea 4A,2006
52,53,heavy_rail,Metro de Santiago - Línea 4A,2006
55,75,heavy_rail,Metro de Santiago - Línea 5,2011
55,70,heavy_rail,Metro de Santiago - Línea 5,2011
56,82,heavy_rail,Metro de Santiago - Línea 5,2005
56,64,heavy_rail,Metro de Santiago - Línea 5,1997
