nodeID_from,nodeID_to,mode,line,year
0,6,heavy_rail,Seoul Metropolitan Subway - 2,1983
1,2,heavy_rail,Seoul Metropolitan Subway - 2,1980
1,27,heavy_rail,Seoul Metropolitan Subway - 2,1983
2,46,heavy_rail,Seoul Metropolitan Subway - 2,1980
3,25,heavy_rail,Seoul Metropolitan Subway - 2,1983
3,24,heavy_rail,Seoul Metropolitan Subway - 2,1983
4,33,heavy_rail,Seoul Metropolitan Subway - 2,1982
4,5,heavy_rail,Seoul Metropolitan Subway - 2,1982
5,34,heavy_rail,Seoul Metropolitan Subway - 2,1982
6,7,heavy_rail,Seoul Metropolitan Subway - 2,1983
6,26,heavy_rail,Seoul Metropolitan Subway - 2,1983
7,8,heavy_rail,Seoul Metropolitan Subway - 2,1983
8,27,heavy_rail,Seoul Metropolitan Subway - 2,1983
9,10,heavy_rail,Seoul Metropolitan Subway - 2,1983
9,38,heavy_rail,Seoul Metropolitan Subway - 2,1983
10,39,heavy_rail,Seoul Metropolitan Subway - 2,1984
11,12,heavy_rail,Seoul Metropolitan Subway - 2,1984
11,20,heavy_rail,Seoul Metropolitan Subway - 2,1992
12,15,heavy_rail,Seoul Metropolitan Subway - 2,1984
13,14,heavy_rail,Seoul Metropolitan Subway - 2,1984
13,16,heavy_rail,Seoul Metropolitan Subway - 2,1984
14,23,heavy_rail,Seoul Metropolitan Subway - 2,1984
15,44,heavy_rail,Seoul Metropolitan Subway - 2,1984
16,49,heavy_rail,Seoul Metropolitan Subway - 2,1984
17,30,heavy_rail,Seoul Metropolitan Subway - 2,1980
17,47,heavy_rail,Seoul Metropolitan Subway - 2,1980
18,33,heavy_rail,Seoul Metropolitan Subway - 2,1982
18,32,heavy_rail,Seoul Metropolitan Subway - 2,1980
19,36,heavy_rail,Seoul Metropolitan Subway - 2,1983
19,37,heavy_rail,Seoul Metropolitan Subway - 2,1983
21,50,heavy_rail,Seoul Metropolitan Subway - 2,1996
