,nodeID_from,nodeID_to,mode,line,year
0,0,1,heavy_rail,Shanghai Metro - Line 16,2014
1,1,2,heavy_rail,Shanghai Metro - Line 16,2014
2,2,3,heavy_rail,Shanghai Metro - Line 16,2013
3,3,4,heavy_rail,Shanghai Metro - Line 16,2013
4,4,5,heavy_rail,Shanghai Metro - Line 16,2013
5,5,6,heavy_rail,Shanghai Metro - Line 16,2013
6,7,6,heavy_rail,Shanghai Metro - Line 16,2013
7,7,8,heavy_rail,Shanghai Metro - Line 16,2013
8,8,9,heavy_rail,Shanghai Metro - Line 16,2013
9,9,10,heavy_rail,Shanghai Metro - Line 16,2013
10,10,11,heavy_rail,Shanghai Metro - Line 16,2013
11,11,12,heavy_rail,Shanghai Metro - Line 16,2013
12,42,54,heavy_rail,Shanghai Metro - Line 10,2010
13,42,65,heavy_rail,Shanghai Metro - Line 10,2010
14,43,51,heavy_rail,Shanghai Metro - Line 10,2010
15,43,44,heavy_rail,Shanghai Metro - Line 10,2010
16,44,55,heavy_rail,Shanghai Metro - Line 10,2010
17,45,53,heavy_rail,Shanghai Metro - Line 10,2010
18,45,52,heavy_rail,Shanghai Metro - Line 10,2010
19,46,65,heavy_rail,Shanghai Metro - Line 10,2010
20,46,66,heavy_rail,Shanghai Metro - Line 10,2010
21,47,48,heavy_rail,Shanghai Metro - Line 10,2010
22,48,49,heavy_rail,Shanghai Metro - Line 10,2010
23,49,60,heavy_rail,Shanghai Metro - Line 10,2010
24,50,51,heavy_rail,Shanghai Metro - Line 10,2010
25,50,58,heavy_rail,Shanghai Metro - Line 10,2010
26,52,55,heavy_rail,Shanghai Metro - Line 10,2010
27,53,54,heavy_rail,Shanghai Metro - Line 10,2010
28,56,57,heavy_rail,Shanghai Metro - Line 10,2010
29,57,59,heavy_rail,Shanghai Metro - Line 10,2010
30,58,64,heavy_rail,Shanghai Metro - Line 10,2010
31,59,60,heavy_rail,Shanghai Metro - Line 10,2010
32,60,61,heavy_rail,Shanghai Metro - Line 10,2010
33,61,62,heavy_rail,Shanghai Metro - Line 10,2010
34,62,63,heavy_rail,Shanghai Metro - Line 10,2010
35,63,64,heavy_rail,Shanghai Metro - Line 10,2010
36,66,72,heavy_rail,Shanghai Metro - Line 10,2010
37,67,72,heavy_rail,Shanghai Metro - Line 10,2010
38,67,68,heavy_rail,Shanghai Metro - Line 10,2010
39,68,69,heavy_rail,Shanghai Metro - Line 10,2010
40,69,70,heavy_rail,Shanghai Metro - Line 10,2010
41,70,71,heavy_rail,Shanghai Metro - Line 10,2010
42,64,69,heavy_rail,Shanghai Metro - Line 10,2010
43,73,74,heavy_rail,Shanghai Metro - Line 17,2018
44,74,75,heavy_rail,Shanghai Metro - Line 17,2018
45,75,76,heavy_rail,Shanghai Metro - Line 17,2018
46,76,77,heavy_rail,Shanghai Metro - Line 17,2018
47,77,78,heavy_rail,Shanghai Metro - Line 17,2018
48,78,79,heavy_rail,Shanghai Metro - Line 17,2018
49,79,80,heavy_rail,Shanghai Metro - Line 17,2018
50,80,81,heavy_rail,Shanghai Metro - Line 17,2018
51,81,85,heavy_rail,Shanghai Metro - Line 17,2018
52,82,85,heavy_rail,Shanghai Metro - Line 17,2018
53,82,83,heavy_rail,Shanghai Metro - Line 17,2018
54,83,84,heavy_rail,Shanghai Metro - Line 17,2018
55,86,99,heavy_rail,Shanghai Metro - Line 13,2015
56,86,100,heavy_rail,Shanghai Metro - Line 13,2015
57,87,98,heavy_rail,Shanghai Metro - Line 13,2015
58,87,97,heavy_rail,Shanghai Metro - Line 13,2014
59,88,101,heavy_rail,Shanghai Metro - Line 13,2015
60,88,89,heavy_rail,Shanghai Metro - Line 13,2018
61,89,109,heavy_rail,Shanghai Metro - Line 13,2018
62,90,113,heavy_rail,Shanghai Metro - Line 13,2015
63,90,100,heavy_rail,Shanghai Metro - Line 13,2015
64,91,97,heavy_rail,Shanghai Metro - Line 13,2014
65,91,111,heavy_rail,Shanghai Metro - Line 13,2014
66,92,93,heavy_rail,Shanghai Metro - Line 13,2013
67,93,94,heavy_rail,Shanghai Metro - Line 13,2013
68,94,95,heavy_rail,Shanghai Metro - Line 13,2013
69,95,96,heavy_rail,Shanghai Metro - Line 13,2013
70,96,112,heavy_rail,Shanghai Metro - Line 13,2013
71,98,110,heavy_rail,Shanghai Metro - Line 13,2015
72,99,110,heavy_rail,Shanghai Metro - Line 13,2015
73,101,114,heavy_rail,Shanghai Metro - Line 13,2015
74,102,116,heavy_rail,Shanghai Metro - Line 13,2018
75,103,104,heavy_rail,Shanghai Metro - Line 13,2018
76,103,109,heavy_rail,Shanghai Metro - Line 13,2018
77,104,105,heavy_rail,Shanghai Metro - Line 13,2018
78,105,106,heavy_rail,Shanghai Metro - Line 13,2018
79,106,107,heavy_rail,Shanghai Metro - Line 13,2018
80,107,108,heavy_rail,Shanghai Metro - Line 13,2018
81,108,115,heavy_rail,Shanghai Metro - Line 13,2018
82,111,112,heavy_rail,Shanghai Metro - Line 13,2013
83,113,114,heavy_rail,Shanghai Metro - Line 13,2015
84,115,116,heavy_rail,Shanghai Metro - Line 13,2018
85,106,103,heavy_rail,Shanghai Metro - Line 13,2018
86,100,99,heavy_rail,Shanghai Metro - Line 13,2015
87,117,124,heavy_rail,Shanghai Metro - Line 12,2013
88,118,133,heavy_rail,Shanghai Metro - Line 12,2015
89,118,134,heavy_rail,Shanghai Metro - Line 12,2015
90,119,120,heavy_rail,Shanghai Metro - Line 12,2015
91,119,122,heavy_rail,Shanghai Metro - Line 12,2015
92,120,140,heavy_rail,Shanghai Metro - Line 12,2015
93,121,142,heavy_rail,Shanghai Metro - Line 12,2013
94,121,132,heavy_rail,Shanghai Metro - Line 12,2013
95,122,123,heavy_rail,Shanghai Metro - Line 12,2014
96,123,143,heavy_rail,Shanghai Metro - Line 12,2014
97,124,125,heavy_rail,Shanghai Metro - Line 12,2013
98,125,126,heavy_rail,Shanghai Metro - Line 12,2013
99,127,128,heavy_rail,Shanghai Metro - Line 12,2013
100,127,126,heavy_rail,Shanghai Metro - Line 12,2013
101,128,129,heavy_rail,Shanghai Metro - Line 12,2013
102,129,130,heavy_rail,Shanghai Metro - Line 12,2013
103,130,131,heavy_rail,Shanghai Metro - Line 12,2013
104,131,132,heavy_rail,Shanghai Metro - Line 12,2013
105,133,144,heavy_rail,Shanghai Metro - Line 12,2015
106,134,138,heavy_rail,Shanghai Metro - Line 12,2015
107,135,145,heavy_rail,Shanghai Metro - Line 12,2015
108,135,144,heavy_rail,Shanghai Metro - Line 12,2015
109,136,147,heavy_rail,Shanghai Metro - Line 12,2015
110,136,137,heavy_rail,Shanghai Metro - Line 12,2015
111,138,141,heavy_rail,Shanghai Metro - Line 12,2015
112,139,141,heavy_rail,Shanghai Metro - Line 12,2015
113,139,140,heavy_rail,Shanghai Metro - Line 12,2015
114,142,143,heavy_rail,Shanghai Metro - Line 12,2013
115,145,146,heavy_rail,Shanghai Metro - Line 12,2015
116,146,147,heavy_rail,Shanghai Metro - Line 12,2015
117,139,146,heavy_rail,Shanghai Metro - Line 12,2015
118,142,127,heavy_rail,Shanghai Metro - Line 12,2013
119,148,167,heavy_rail,Shanghai Metro - Line 11,2009
120,148,180,heavy_rail,Shanghai Metro - Line 11,2009
121,149,166,heavy_rail,Shanghai Metro - Line 11,2013
122,149,180,heavy_rail,Shanghai Metro - Line 11,2013
123,150,151,heavy_rail,Shanghai Metro - Line 11,2013
124,150,166,heavy_rail,Shanghai Metro - Line 11,2013
125,151,152,heavy_rail,Shanghai Metro - Line 11,2013
126,152,153,heavy_rail,Shanghai Metro - Line 11,2013
127,154,155,heavy_rail,Shanghai Metro - Line 11,2013
128,155,156,heavy_rail,Shanghai Metro - Line 11,2013
129,157,158,heavy_rail,Shanghai Metro - Line 11,2009
130,157,163,heavy_rail,Shanghai Metro - Line 11,2010
131,158,159,heavy_rail,Shanghai Metro - Line 11,2009
132,160,176,heavy_rail,Shanghai Metro - Line 11,2009
133,160,175,heavy_rail,Shanghai Metro - Line 11,2009
